Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
9,Þorsteinn Bachmann,occupation,actor,2822184,22,1114174,"[""Porsteinn Bachmann"",""Thorsteinn Bachmann""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q8079549,http://www.wikidata.org/entity/Q33999,Þorsteinn Bachmann,Actor,1252,81374,What is Þorsteinn Bachmann's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Þorsteinn Bachmann do for a living?', ""What is Þorsteinn Bachmann's occupation?"", ""What is Þorsteinn Bachmann's profession?"", ""What is Þorsteinn Bachmann's line of work?"", 'What job role is Þorsteinn Bachmann engaged in?', 'What career path has Þorsteinn Bachmann chosen?', 'What field of employment is Þorsteinn Bachmann part of?', ""What is Þorsteinn Bachmann's source of professional engagement?"", ""What is Þorsteinn Bachmann's vocational pursuit?"", 'What field of work is Þorsteinn Bachmann engaged in?']",82626,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0504466648694588, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.87578696, 1.0, 1.0, 1.0]"
470,Fernanda Vasconcellos,occupation,actor,1092969,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q3325394,http://www.wikidata.org/entity/Q33999,Fernanda Vasconcellos,Actor,1174,81374,What is Fernanda Vasconcellos's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Fernanda Vasconcellos do for a living?', ""What is Fernanda Vasconcellos's occupation?"", ""What is Fernanda Vasconcellos's profession?"", ""What is Fernanda Vasconcellos's line of work?"", 'What job role is Fernanda Vasconcellos engaged in?', 'What career path has Fernanda Vasconcellos chosen?', 'What field of employment is Fernanda Vasconcellos part of?', ""What is Fernanda Vasconcellos's source of professional engagement?"", ""What is Fernanda Vasconcellos's vocational pursuit?"", 'What field of work is Fernanda Vasconcellos engaged in?']",82548,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7081013733770788, 0.6309898470990761, 0.6040754780076567, 0.4353871925088912, 0.6933195783608581, 0.5030153901310963, 0.8326813119723699, 0.0, 0.4616038563155509, 0.6632869299073887]","[0.0133077465, 0.015737804, 0.0036614845, 0.0004719318, 0.003430626, 0.011596016, 0.00058768684, 1.0, 0.013815267, 0.0011356734]"
51,Robert Viharo,occupation,actor,413193,22,1114174,"[""George Viharo""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q16239300,http://www.wikidata.org/entity/Q33999,Robert Viharo,Actor,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Robert Viharo do for a living?', ""What is Robert Viharo's occupation?"", ""What is Robert Viharo's profession?"", ""What is Robert Viharo's line of work?"", 'What job role is Robert Viharo engaged in?', 'What career path has Robert Viharo chosen?', 'What field of employment is Robert Viharo part of?', ""What is Robert Viharo's source of professional engagement?"", ""What is Robert Viharo's vocational pursuit?"", 'What field of work is Robert Viharo engaged in?']",82446,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4035382121995883, 0.0, 0.0, 0.570134019266419, 0.6149313637692831, 0.1452627368590318, 0.6066603743138307, 0.0, 0.0, 0.0]","[0.09462741, 1.0, 1.0, 0.0037859245, 0.033437174, 0.22270013, 0.012731791, 1.0, 1.0, 1.0]"
388,Alfredo Narciso,occupation,actor,1410333,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q4723823,http://www.wikidata.org/entity/Q33999,Alfredo Narciso,Actor,985,81374,What is Alfredo Narciso's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Alfredo Narciso do for a living?', ""What is Alfredo Narciso's occupation?"", ""What is Alfredo Narciso's profession?"", ""What is Alfredo Narciso's line of work?"", 'What job role is Alfredo Narciso engaged in?', 'What career path has Alfredo Narciso chosen?', 'What field of employment is Alfredo Narciso part of?', ""What is Alfredo Narciso's source of professional engagement?"", ""What is Alfredo Narciso's vocational pursuit?"", 'What field of work is Alfredo Narciso engaged in?']",82359,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5345608852036229, 0.41596865199176475, 0.5705837076603721, 0.31522953868291065, 0.3567052073672805, 0.6199558554787177, 0.3920396350569585, 0.5476093385449805, 0.41827795669924706, 0.4909908385562266]","[0.019404497, 0.070554346, 0.008078796, 0.25121725, 0.008277413, 0.0055950335, 0.015672158, 0.019524006, 0.024527354, 0.040841468]"
47,Patrick O'Brien Demsey,occupation,actor,2398986,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q7147362,http://www.wikidata.org/entity/Q33999,Patrick O'Brien Demsey,Actor,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","[""What does Patrick O'Brien Demsey do for a living?"", ""What is Patrick O'Brien Demsey's occupation?"", ""What is Patrick O'Brien Demsey's profession?"", ""What is Patrick O'Brien Demsey's line of work?"", ""What job role is Patrick O'Brien Demsey engaged in?"", ""What career path has Patrick O'Brien Demsey chosen?"", ""What field of employment is Patrick O'Brien Demsey part of?"", ""What is Patrick O'Brien Demsey's source of professional engagement?"", ""What is Patrick O'Brien Demsey's vocational pursuit?"", ""What field of work is Patrick O'Brien Demsey engaged in?""]",82297,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5285170578149608, 0.6663621871690221, 0.14113861891647936, 0.4477127535700157, 0.697480685634439, 0.3151917070553822, 0.5972173365460574, 0.45873804789593536, 0.0, 0.6316309155871297]","[0.03549015, 0.0050882692, 0.2051898, 0.20199317, 0.038764685, 0.15847771, 0.030947326, 0.060639333, 1.0, 0.027317418]"
504,Dick Rude,occupation,actor,62467,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q1102003,http://www.wikidata.org/entity/Q33999,Dick Rude,Actor,909,81374,What is Dick Rude's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Dick Rude do for a living?', ""What is Dick Rude's occupation?"", ""What is Dick Rude's profession?"", ""What is Dick Rude's line of work?"", 'What job role is Dick Rude engaged in?', 'What career path has Dick Rude chosen?', 'What field of employment is Dick Rude part of?', ""What is Dick Rude's source of professional engagement?"", ""What is Dick Rude's vocational pursuit?"", 'What field of work is Dick Rude engaged in?']",82283,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4439456886943274, 0.6890139056445189, 0.3969544214478197, 0.5028223604081645, 0.5716535548806094, 0.15938661397773396, 0.6688934676258953, 0.12307948640679456, 0.1595993506112254, 0.8131062867887496]","[0.08529822, 0.03569873, 0.19498853, 0.050938092, 0.04386963, 0.34275454, 0.018271953, 0.14870541, 0.38491213, 0.0009953601]"
74,Ingrid Martinez,occupation,actor,1645985,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q516287,http://www.wikidata.org/entity/Q33999,Íngrid Martz,Actor,885,81374,What is Ingrid Martinez's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Ingrid Martinez do for a living?', ""What is Ingrid Martinez's occupation?"", ""What is Ingrid Martinez's profession?"", ""What is Ingrid Martinez's line of work?"", 'What job role is Ingrid Martinez engaged in?', 'What career path has Ingrid Martinez chosen?', 'What field of employment is Ingrid Martinez part of?', ""What is Ingrid Martinez's source of professional engagement?"", ""What is Ingrid Martinez's vocational pursuit?"", 'What field of work is Ingrid Martinez engaged in?']",82259,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0.4, 0, 0]","[0.7491471912176413, 0.14113870203645484, 0.5811403129693549, 0.6246428889788249, 0.5488662772897122, 0.7298157062145536, 0.4625195620847832, 0.4045996220758017, 0.4647353313762257, 0.2661177151440287]","[0.004285562, 0.20519012, 0.022889877, 0.025006939, 0.024821764, 0.03684759, 0.0071168835, 0.0012780664, 0.015242087, 0.15731245]"
426,Ava Deluca-Verley,occupation,actor,397181,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q16206644,http://www.wikidata.org/entity/Q33999,Ava Deluca-Verley,Actor,876,81374,What is Ava Deluca-Verley's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Ava Deluca-Verley do for a living?', ""What is Ava Deluca-Verley's occupation?"", ""What is Ava Deluca-Verley's profession?"", ""What is Ava Deluca-Verley's line of work?"", 'What job role is Ava Deluca-Verley engaged in?', 'What career path has Ava Deluca-Verley chosen?', 'What field of employment is Ava Deluca-Verley part of?', ""What is Ava Deluca-Verley's source of professional engagement?"", ""What is Ava Deluca-Verley's vocational pursuit?"", 'What field of work is Ava Deluca-Verley engaged in?']",82250,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7163239284028203, 0.15768439602633333, 0.6919530756957885, 0.15926971385590594, 0.15865812369737192, 0.8159714788971808, 0.6182341535804572, 0.6087256334380268, 0.15723810920448947, 0.5505524111578632]","[0.023337832, 0.42887142, 0.021742687, 0.39731437, 0.32537737, 0.001376203, 0.0040080203, 0.0007773656, 0.43526146, 0.0029963597]"
45,María Elena Marqués,occupation,actor,686774,22,1114174,"[""Mar\u00eda Elena Marqu\u00e9s Rangel"",""Maria Elena Marques"",""Maria Elena Marques Rangel""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q1964025,http://www.wikidata.org/entity/Q33999,María Elena Marqués,Actor,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does María Elena Marqués do for a living?', ""What is María Elena Marqués's occupation?"", ""What is María Elena Marqués's profession?"", ""What is María Elena Marqués's line of work?"", 'What job role is María Elena Marqués engaged in?', 'What career path has María Elena Marqués chosen?', 'What field of employment is María Elena Marqués part of?', ""What is María Elena Marqués's source of professional engagement?"", ""What is María Elena Marqués's vocational pursuit?"", 'What field of work is María Elena Marqués engaged in?']",82213,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.5465427391789771, 0.0, 0.49393824085673543, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.06951553, 1.0, 0.07353178, 1.0, 1.0, 1.0]"
346,Ashlie Walker,occupation,actor,1459352,22,1114174,[],"[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q4805657,http://www.wikidata.org/entity/Q33999,Ashlie Walker,Actor,797,81374,What is Ashlie Walker's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Ashlie Walker do for a living?', ""What is Ashlie Walker's occupation?"", ""What is Ashlie Walker's profession?"", ""What is Ashlie Walker's line of work?"", 'What job role is Ashlie Walker engaged in?', 'What career path has Ashlie Walker chosen?', 'What field of employment is Ashlie Walker part of?', ""What is Ashlie Walker's source of professional engagement?"", ""What is Ashlie Walker's vocational pursuit?"", 'What field of work is Ashlie Walker engaged in?']",82171,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.458362834349797, 0.4527960263051792, 0.5468725848111354, 0.7328356367429152, 0.6463158029479299, 0.6588446909469867, 0.10115946903706809, 0.7783005116799214, 0.1597545923457929, 0.4623831028540537]","[0.008297628, 0.058922935, 0.050924044, 0.0096971765, 0.0047437223, 0.011703298, 0.10206587, 0.008815821, 0.37265772, 0.05688852]"
