Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
11272,University of Portland,religion,Catholic Church,1634425,106,2918816,"[""U of Portland"",""UP""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q513658,http://www.wikidata.org/entity/Q9592,University of Portland,Catholic Church,6044,195995,What is the religion of University of Portland?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of University of Portland?', 'What faith does University of Portland follow?', 'What is the religious affiliation of University of Portland?', 'Which religious doctrine does University of Portland subscribe to?', 'What theology is University of Portland aligned with?', 'What is the religious identity of University of Portland?', 'What belief system does University of Portland ascribe to?', 'What religious school of thought does University of Portland follow?', ""What is University of Portland's spirituality?"", 'What is the religious allegiance of University of Portland?']",202039,"[1, 1, 1, 1, 0, 0, 1, 0, 0, 1]",,"[1.0, 1.0, 1.0, 1.0, 0.6666666666666666, 0.4444444444444444, 1.0, 0, 0, 1.0]","[0.0, 0.15191031475585864, 0.06445735377821177, 0.2021864913454226, 0.37979576240473895, 0.4794316581882817, 0.28777899690697134, 0.5989098453467877, 0.04834612587796018, 0.0493880042726673]","[1.0, 0.6463027, 0.83761996, 0.49006683, 0.12105136, 0.11276926, 0.05305328, 0.04082149, 0.88134295, 0.8785922]"
11108,Philip Neri,religion,Catholic Church,756431,106,2918816,"[""Felipe, Saint Neri"",""Filippo, Saint Neri"",""Saint Filippo Neri"",""Philipp, Saint Neri"",""Philip, Saint Neri"",""St. Philippo di Neri""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q217791,http://www.wikidata.org/entity/Q9592,Philip Neri,Catholic Church,5673,195995,What is the religion of Philip Neri?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Philip Neri?', 'What faith does Philip Neri follow?', 'What is the religious affiliation of Philip Neri?', 'Which religious doctrine does Philip Neri subscribe to?', 'What theology is Philip Neri aligned with?', 'What is the religious identity of Philip Neri?', 'What belief system does Philip Neri ascribe to?', 'What religious school of thought does Philip Neri follow?', ""What is Philip Neri's spirituality?"", 'What is the religious allegiance of Philip Neri?']",201668,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 0.4, 0.5, 0.4, 0.4444444444444444, 0.4444444444444444, 0.4, 0, 0, 0.4]","[0.0, 0.6920779758570597, 0.4800139787954343, 0.0, 0.49918533456718905, 0.5924391428112952, 0.0, 0.5020485481951776, 0.0, 0.10233608868501531]","[1.0, 0.025280468, 0.03183971, 1.0, 0.17121384, 0.021464936, 1.0, 0.15176225, 1.0, 0.104196176]"
11329,Xavier University of Louisiana,religion,Catholic Church,1242326,106,2918816,"[""XULA""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q390087,http://www.wikidata.org/entity/Q9592,Xavier University of Louisiana,Catholic Church,4639,195995,What is the religion of Xavier University of Louisiana?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Xavier University of Louisiana?', 'What faith does Xavier University of Louisiana follow?', 'What is the religious affiliation of Xavier University of Louisiana?', 'Which religious doctrine does Xavier University of Louisiana subscribe to?', 'What theology is Xavier University of Louisiana aligned with?', 'What is the religious identity of Xavier University of Louisiana?', 'What belief system does Xavier University of Louisiana ascribe to?', 'What religious school of thought does Xavier University of Louisiana follow?', ""What is Xavier University of Louisiana's spirituality?"", 'What is the religious allegiance of Xavier University of Louisiana?']",200634,"[1, 1, 1, 1, 0, 1, 1, 0, 0, 1]",,"[1.0, 1.0, 1.0, 1.0, 0.4, 1.0, 1.0, 0.4, 0.4, 1.0]","[0.0, 0.1005425516371908, 0.05485037213279186, 0.18634673037893446, 0.7047122014341368, 0.05152222609707215, 0.20702596579630506, 0.195123102875488, 0.12561469275675394, 0.0]","[1.0, 0.76710016, 0.86400473, 0.53711146, 0.03231791, 0.8729263, 0.42075473, 0.47203448, 0.6334103, 1.0]"
11315,Mount St. Mary's University,religion,Catholic Church,2312358,106,2918816,"[""Mount St. Mary's"",""The Mount"",""Mount Saint Mary's University""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q6923804,http://www.wikidata.org/entity/Q9592,Mount St. Mary's University,Catholic Church,3865,195995,What is the religion of Mount St. Mary's University?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","[""What is the religion of Mount St. Mary's University?"", ""What faith does Mount St. Mary's University follow?"", ""What is the religious affiliation of Mount St. Mary's University?"", ""Which religious doctrine does Mount St. Mary's University subscribe to?"", ""What theology is Mount St. Mary's University aligned with?"", ""What is the religious identity of Mount St. Mary's University?"", ""What belief system does Mount St. Mary's University ascribe to?"", ""What religious school of thought does Mount St. Mary's University follow?"", ""What is Mount St. Mary's University's spirituality?"", ""What is the religious allegiance of Mount St. Mary's University?""]",199860,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 1.0, 1.0, 0.4, 0.4, 0.4444444444444444, 0.4, 0.4, 0.4444444444444444, 0.36363636363636365]","[0.0, 0.20244463002242824, 0.21618715298243124, 0.07645447545092371, 0.5460679582355059, 0.7237635352597891, 0.0, 0.05261468345101865, 0.5707387588614877, 0.6161759295624234]","[1.0, 0.17115133, 0.12473284, 0.80317384, 0.04050929, 0.008262314, 1.0, 0.87000954, 0.044888757, 0.0012977927]"
11238,Alexander I,religion,Catholic Church,2784390,106,2918816,"[""Pope Alexander I"",""Alexander""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q80028,http://www.wikidata.org/entity/Q9592,Pope Alexander I,Catholic Church,3619,195995,What is the religion of Alexander I?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Alexander I?', 'What faith does Alexander I follow?', 'What is the religious affiliation of Alexander I?', 'Which religious doctrine does Alexander I subscribe to?', 'What theology is Alexander I aligned with?', 'What is the religious identity of Alexander I?', 'What belief system does Alexander I ascribe to?', 'What religious school of thought does Alexander I follow?', ""What is Alexander I's spirituality?"", 'What is the religious allegiance of Alexander I?']",199614,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666]","[0.0, 0.0, 0.0, 0.0, 0.03093930218706263, 0.0, 0.15756230714019964, 0.0, 0.1338624081273595, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.9259474, 1.0, 0.30846766, 1.0, 0.5964331, 1.0]"
11327,Regis University,religion,Catholic Church,2170297,106,2918816,"[""Regis"",""Regis College"",""Jesuit Denver Colorado"",""Regis Nursing"",""College for Professional Studies"",""RHCHP"",""Regis U"",""Regis in Colorado"",""Rueckert-Hartman College for Health Professions""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q649299,http://www.wikidata.org/entity/Q9592,Regis University,Catholic Church,3378,195995,What is the religion of Regis University?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Regis University?', 'What faith does Regis University follow?', 'What is the religious affiliation of Regis University?', 'Which religious doctrine does Regis University subscribe to?', 'What theology is Regis University aligned with?', 'What is the religious identity of Regis University?', 'What belief system does Regis University ascribe to?', 'What religious school of thought does Regis University follow?', ""What is Regis University's spirituality?"", 'What is the religious allegiance of Regis University?']",199373,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 1]",,"[1.0, 1.0, 1.0, 0.4, 1.0, 1.0, 0.4, 0, 0, 1.0]","[0.0, 0.12347021905799857, 0.05599345305919858, 0.14962913382195595, 0.23712052521976087, 0.12518939140039226, 0.14131891902859445, 0.20631794630660955, 0.04834612587796018, 0.1031563075193084]","[1.0, 0.7140876, 0.8609156, 0.5065099, 0.08696051, 0.71027464, 0.55832696, 0.5045716, 0.88134295, 0.10570191]"
11318,Spring Hill College,religion,Catholic Church,1873053,106,2918816,"[""Springhill"",""Springhill College"",""SHC"",""the Hill"",""The Hill""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q5591503,http://www.wikidata.org/entity/Q9592,Spring Hill College,Catholic Church,2613,195995,What is the religion of Spring Hill College?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Spring Hill College?', 'What faith does Spring Hill College follow?', 'What is the religious affiliation of Spring Hill College?', 'Which religious doctrine does Spring Hill College subscribe to?', 'What theology is Spring Hill College aligned with?', 'What is the religious identity of Spring Hill College?', 'What belief system does Spring Hill College ascribe to?', 'What religious school of thought does Spring Hill College follow?', ""What is Spring Hill College's spirituality?"", 'What is the religious allegiance of Spring Hill College?']",198608,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",,"[1.0, 0.4, 1.0, 0.4, 0, 0.4444444444444444, 0.4, 0, 0, 1.0]","[0.05261468345101865, 0.14787513826647897, 0.15483924682699937, 0.05261477257627948, 0.1262943393835956, 0.7736948415422906, 0.0, 0.1467854635871239, 0.12693017940756807, 0.13120709664319063]","[0.87000954, 0.5186853, 0.638849, 0.8700093, 0.15713686, 0.041699633, 1.0, 0.65757537, 0.15886919, 0.69245636]"
11110,Belmont Abbey College,religion,Catholic Church,1499184,106,2918816,"[""BAC""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q4884322,http://www.wikidata.org/entity/Q9592,Belmont Abbey College,Catholic Church,2561,195995,What is the religion of Belmont Abbey College?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Belmont Abbey College?', 'What faith does Belmont Abbey College follow?', 'What is the religious affiliation of Belmont Abbey College?', 'Which religious doctrine does Belmont Abbey College subscribe to?', 'What theology is Belmont Abbey College aligned with?', 'What is the religious identity of Belmont Abbey College?', 'What belief system does Belmont Abbey College ascribe to?', 'What religious school of thought does Belmont Abbey College follow?', ""What is Belmont Abbey College's spirituality?"", 'What is the religious allegiance of Belmont Abbey College?']",198556,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",,"[0.4, 0.4, 0.4, 1.0, 0.4, 0.4, 0.4, 0, 0.4, 1.0]","[0.14220452681707477, 0.11531948491018995, 0.7140851466537224, 0.17046100480602128, 0.15879548440253693, 0.15167216464706593, 0.0, 0.5315516104482876, 0.11682101531591244, 0.21440901173495602]","[0.20946966, 0.67462224, 0.01615471, 0.09793808, 0.32804227, 0.25716048, 1.0, 0.08961287, 0.6688803, 0.07629436]"
11190,Marian University,religion,Catholic Church,2246982,106,2918816,"[""Marian"",""Marian College""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q6761994,http://www.wikidata.org/entity/Q9592,Marian University (Indiana),Catholic Church,2535,195995,What is the religion of Marian University?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Marian University?', 'What faith does Marian University follow?', 'What is the religious affiliation of Marian University?', 'Which religious doctrine does Marian University subscribe to?', 'What theology is Marian University aligned with?', 'What is the religious identity of Marian University?', 'What belief system does Marian University ascribe to?', 'What religious school of thought does Marian University follow?', ""What is Marian University's spirituality?"", 'What is the religious allegiance of Marian University?']",198530,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 1]",,"[1.0, 1.0, 1.0, 0.4, 0.4, 1.0, 1.0, 0.4, 0.4, 1.0]","[0.0, 0.13146185350765519, 0.07927174942164535, 0.15844841062871906, 0.12368965751709393, 0.12377573869789732, 0.2172070044662409, 0.22391370410136938, 0.15736659157190552, 0.06573088437673351]","[1.0, 0.69563395, 0.7948099, 0.4161639, 0.15026551, 0.7100371, 0.36509594, 0.3275895, 0.30596685, 0.8340468]"
11161,Romanian Greek Catholic Church,religion,Catholic Church,2850993,106,2918816,"[""BRU""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q856349,http://www.wikidata.org/entity/Q9592,Romanian Greek Catholic Church,Catholic Church,2466,195995,What is the religion of Romanian Greek Catholic Church?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Romanian Greek Catholic Church?', 'What faith does Romanian Greek Catholic Church follow?', 'What is the religious affiliation of Romanian Greek Catholic Church?', 'Which religious doctrine does Romanian Greek Catholic Church subscribe to?', 'What theology is Romanian Greek Catholic Church aligned with?', 'What is the religious identity of Romanian Greek Catholic Church?', 'What belief system does Romanian Greek Catholic Church ascribe to?', 'What religious school of thought does Romanian Greek Catholic Church follow?', ""What is Romanian Greek Catholic Church's spirituality?"", 'What is the religious allegiance of Romanian Greek Catholic Church?']",198461,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.25, 0, 0.5, 0.25, 0, 0.5, 0, 0.22222222222222224]","[0.0, 0.46755600644256334, 0.6318460325266044, 0.3391563478837717, 0.15833300890008659, 0.359848345199415, 0.20507883761297557, 0.14005122098404718, 0.3780115625882313, 0.7187933577330381]","[1.0, 0.061369866, 0.028312223, 0.28778788, 0.31968737, 0.2511678, 0.36340705, 0.20097573, 0.23999618, 0.011649697]"
11351,Martin I,religion,Catholic Church,535203,106,2918816,"[""Pope Martin I"",""Pope Martin"",""Martin"",""St. Martin I""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q172390,http://www.wikidata.org/entity/Q9592,Pope Martin I,Catholic Church,2428,195995,What is the religion of Martin I?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Martin I?', 'What faith does Martin I follow?', 'What is the religious affiliation of Martin I?', 'Which religious doctrine does Martin I subscribe to?', 'What theology is Martin I aligned with?', 'What is the religious identity of Martin I?', 'What belief system does Martin I ascribe to?', 'What religious school of thought does Martin I follow?', ""What is Martin I's spirituality?"", 'What is the religious allegiance of Martin I?']",198423,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0, 0.5, 0.6666666666666666, 0.6666666666666666, 0, 0.6666666666666666]","[0.0, 0.0, 0.0, 0.0, 0.7567657715362706, 0.0, 0.0, 0.0, 0.5483087441030015, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0020359433, 1.0, 1.0, 1.0, 0.024756953, 1.0]"
11337,Innocent I,religion,Catholic Church,187285,106,2918816,"[""Pope Innocent I"",""Innocent"",""Pope, Saint Innocent I"",""Saint, Pope Innocentius I"",""Saint Innocent I"",""santo Innocentius PP. I"",""Innocentius I"",""papa Innocenzo\u200f I""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q134694,http://www.wikidata.org/entity/Q9592,Pope Innocent I,Catholic Church,2269,195995,What is the religion of Innocent I?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Innocent I?', 'What faith does Innocent I follow?', 'What is the religious affiliation of Innocent I?', 'Which religious doctrine does Innocent I subscribe to?', 'What theology is Innocent I aligned with?', 'What is the religious identity of Innocent I?', 'What belief system does Innocent I ascribe to?', 'What religious school of thought does Innocent I follow?', ""What is Innocent I's spirituality?"", 'What is the religious allegiance of Innocent I?']",198264,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",,"[1.0, 0.4, 0, 1.0, 0, 0, 0, 0, 0, 0]","[0.0, 0.1294458665006238, 0.44941678154455644, 0.298679189506335, 0.1572381440348006, 0.2523465036889433, 0.25951514098403816, 0.4884488049778366, 0.2651351220530323, 0.4673865541388227]","[1.0, 0.16595316, 0.220126, 0.070968494, 0.43526098, 0.13785899, 0.19217417, 0.1978347, 0.23441388, 0.1389265]"
11073,St. John Fisher College,religion,Catholic Church,2597377,106,2918816,"[""Fisher""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q7588902,http://www.wikidata.org/entity/Q9592,St. John Fisher College,Catholic Church,2259,195995,What is the religion of St. John Fisher College?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of St. John Fisher College?', 'What faith does St. John Fisher College follow?', 'What is the religious affiliation of St. John Fisher College?', 'Which religious doctrine does St. John Fisher College subscribe to?', 'What theology is St. John Fisher College aligned with?', 'What is the religious identity of St. John Fisher College?', 'What belief system does St. John Fisher College ascribe to?', 'What religious school of thought does St. John Fisher College follow?', ""What is St. John Fisher College's spirituality?"", 'What is the religious allegiance of St. John Fisher College?']",198254,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",,"[1.0, 1.0, 1.0, 0.4, 0.4444444444444444, 0.4444444444444444, 0.4, 0.4, 0.4, 1.0]","[0.0, 0.16202762228983503, 0.16403974706318847, 0.06445735377821177, 0.44266211443423825, 0.3907214951783573, 0.048346193727007034, 0.09675976245304091, 0.14983871301463433, 0.14970990979249224]","[1.0, 0.6157037, 0.613816, 0.83761996, 0.16168228, 0.23810613, 0.88134277, 0.7765449, 0.24605007, 0.63270915]"
11156,Thomas Aquinas College,religion,Catholic Church,2682518,106,2918816,"[""TAC""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q7787106,http://www.wikidata.org/entity/Q9592,Thomas Aquinas College,Catholic Church,1994,195995,What is the religion of Thomas Aquinas College?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Thomas Aquinas College?', 'What faith does Thomas Aquinas College follow?', 'What is the religious affiliation of Thomas Aquinas College?', 'Which religious doctrine does Thomas Aquinas College subscribe to?', 'What theology is Thomas Aquinas College aligned with?', 'What is the religious identity of Thomas Aquinas College?', 'What belief system does Thomas Aquinas College ascribe to?', 'What religious school of thought does Thomas Aquinas College follow?', ""What is Thomas Aquinas College's spirituality?"", 'What is the religious allegiance of Thomas Aquinas College?']",197989,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 1]",,"[1.0, 0.4, 1.0, 0.4, 0, 0.4444444444444444, 0, 0, 0, 1.0]","[0.0, 0.14897991299796648, 0.06832434069362919, 0.07506511655668584, 0.14897985019775714, 0.463881935753596, 0.07560030235346446, 0.1446764380060292, 0.0, 0.0]","[1.0, 0.24125084, 0.8267117, 0.8072577, 0.2412505, 0.044437308, 0.8253625, 0.5389832, 1.0, 1.0]"
11369,Wheeling University,religion,Catholic Church,865629,106,2918816,"[""Wheeling College"",""Wheeling Jesuit College"",""Wheeling Jesuit University"",""WU""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q2566683,http://www.wikidata.org/entity/Q9592,Wheeling University,Catholic Church,1946,195995,What is the religion of Wheeling University?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Wheeling University?', 'What faith does Wheeling University follow?', 'What is the religious affiliation of Wheeling University?', 'Which religious doctrine does Wheeling University subscribe to?', 'What theology is Wheeling University aligned with?', 'What is the religious identity of Wheeling University?', 'What belief system does Wheeling University ascribe to?', 'What religious school of thought does Wheeling University follow?', ""What is Wheeling University's spirituality?"", 'What is the religious allegiance of Wheeling University?']",197941,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 1]",,"[1.0, 1.0, 1.0, 0.4, 0.4, 1.0, 0.4, 1.0, 0.4, 1.0]","[0.0, 0.14686035957780394, 0.10854296897109506, 0.1595993506112254, 0.11238079060898168, 0.17145426595680335, 0.11531939072701324, 0.24803323640486746, 0.1435465318407603, 0.0488649582092633]","[1.0, 0.64330494, 0.74663997, 0.38491213, 0.12392608, 0.59407043, 0.6746226, 0.21615851, 0.54568654, 0.87997437]"
11301,Frank Pavone,religion,Catholic Church,1818800,106,2918816,"[""Frank Anthony Pavone""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q5488928,http://www.wikidata.org/entity/Q9592,Frank Pavone,Catholic Church,1770,195995,What is the religion of Frank Pavone?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Frank Pavone?', 'What faith does Frank Pavone follow?', 'What is the religious affiliation of Frank Pavone?', 'Which religious doctrine does Frank Pavone subscribe to?', 'What theology is Frank Pavone aligned with?', 'What is the religious identity of Frank Pavone?', 'What belief system does Frank Pavone ascribe to?', 'What religious school of thought does Frank Pavone follow?', ""What is Frank Pavone's spirituality?"", 'What is the religious allegiance of Frank Pavone?']",197765,"[1, 1, 1, 0, 0, 1, 0, 0, 0, 0]",,"[1.0, 1.0, 1.0, 0.4, 0.4, 1.0, 0.4, 0.4, 0.4, 0.4]","[0.0, 0.20655127221726596, 0.048346193727007034, 0.0424479192898036, 0.08818604985262525, 0.15091844633831394, 0.0, 0.05485037213279186, 0.05599345305919858, 0.12177881305664119]","[1.0, 0.31923148, 0.88134277, 0.89673454, 0.767551, 0.25243545, 1.0, 0.86400473, 0.8609156, 0.1454389]"
