Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
13915,Kentucky,capital,Frankfort,365708,422,951099,"[""Commonwealth of Kentucky"",""KY"",""Kentucky, United States"",""Bluegrass State"",""Ky.""]","[""Frankfort, Kentucky""]",http://www.wikidata.org/entity/Q1603,http://www.wikidata.org/entity/Q28603,Kentucky,"Frankfort, Kentucky",232022,12241,What is the capital of Kentucky?,"[""Frankfort"", ""Frankfort, Kentucky""]","['What is the capital of Kentucky?', 'What is the primary city in Kentucky?', 'Which urban center holds a central role in Kentucky?', 'Which city houses the main government of Kentucky?', 'What city is the main administrative center of Kentucky?', 'What urban area holds the capital status of Kentucky?', 'Which city is the political focal point of Kentucky?', 'Which city is the primary seat of authority for Kentucky?', 'What is the principal city of Kentucky?', 'What is the chief city of Kentucky?']",244263,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0, 0, 0.2857142857142857, 0.25, 0, 0.4, 0.33333333333333337, 0.4, 0.33333333333333337]","[0.3856020523887095, 0.0, 0.014698697039643159, 0.35293272303964063, 0.3854146202239125, 0.4729202278770464, 0.31404987257131456, 0.5922348817654379, 0.3050950631405347, 0.35173232523257814]","[0.0074898894, 1.0, 0.96555483, 6.613265e-05, 0.1613969, 0.06689179, 0.19172321, 0.06896364, 0.0957826, 0.0015217038]"
13824,occupation of Japan,capital,Tokyo,2326033,422,273933,"[""Japan"",""Allied occupation of Japan"",""Occupied Japan""]","[""T\u014dky\u014d"",""T\u00f4ky\u00f4"",""Tokyo-to"",""Tokyo Metropolitan prefecture"",""T\u014dky\u014d-to"",""T\u00f4ky\u00f4-to"",""Tokyo Metropolis"",""Tokio"",""Tokyo Prefecture""]",http://www.wikidata.org/entity/Q696251,http://www.wikidata.org/entity/Q1490,Occupation of Japan,Tokyo,37912,205487,What is the capital of occupation of Japan?,"[""Tokyo"", ""Tōkyō"", ""Tôkyô"", ""Tokyo-to"", ""Tokyo Metropolitan prefecture"", ""Tōkyō-to"", ""Tôkyô-to"", ""Tokyo Metropolis"", ""Tokio"", ""Tokyo Prefecture""]","['What is the capital of occupation of Japan?', 'What is the primary city in occupation of Japan?', 'Which urban center holds a central role in occupation of Japan?', 'Which city houses the main government of occupation of Japan?', 'What city is the main administrative center of occupation of Japan?', 'What urban area holds the capital status of occupation of Japan?', 'Which city is the political focal point of occupation of Japan?', 'Which city is the primary seat of authority for occupation of Japan?', 'What is the principal city of occupation of Japan?', 'What is the chief city of occupation of Japan?']",243399,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.2857142857142857, 0, 0, 0]","[0.29543092444213614, 0.3267488147867626, 0.3249258139577321, 0.5844721583836131, 0.34036860673498043, 0.5701472457291454, 0.471680714366701, 0.34618442147872386, 0.4730717635485164, 0.38686874088406137]","[0.07851557, 0.07069677, 0.06303583, 0.016843382, 0.20072757, 0.007934136, 0.00061214145, 0.14815097, 0.00026403787, 0.0010980907]"
13956,Kansas,capital,Topeka,323357,422,1273172,"[""Kansas, United States of America"",""KS"",""State of Kansas"",""Kans."",""Kan.""]","[""Topeka, Kansas"",""Topeka (Kansas)""]",http://www.wikidata.org/entity/Q1558,http://www.wikidata.org/entity/Q41057,Kansas,"Topeka, Kansas",222834,17219,What is the capital of Kansas?,"[""Topeka"", ""Topeka, Kansas"", ""Topeka (Kansas)""]","['What is the capital of Kansas?', 'What is the primary city in Kansas?', 'Which urban center holds a central role in Kansas?', 'Which city houses the main government of Kansas?', 'What city is the main administrative center of Kansas?', 'What urban area holds the capital status of Kansas?', 'Which city is the political focal point of Kansas?', 'Which city is the primary seat of authority for Kansas?', 'What is the principal city of Kansas?', 'What is the chief city of Kansas?']",240053,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.4, 0, 0.4, 0.4, 0, 0.33333333333333337, 0.4, 0, 0.25]","[0.3552958432052267, 0.3118385899889665, 0.393464719113753, 0.31928810740745217, 0.4972509017911997, 0.29052846556571293, 0.45236212291156846, 0.3180831887718808, 0.5077191571539686, 0.37797353317866433]","[0.00040033006, 0.08505615, 0.1414303, 0.13369761, 0.0019289597, 0.016945014, 0.02230686, 0.1427618, 0.0005471493, 0.21006484]"
13782,New Hampshire,capital,Concord,2597830,422,941030,"[""NH"",""State of New Hampshire"",""New Hampshire, United States"",""The Granite State"",""N.H.""]","[""Concord, New Hampshire"",""Concord N.H."",""Concord NH""]",http://www.wikidata.org/entity/Q759,http://www.wikidata.org/entity/Q28249,New Hampshire,"Concord, New Hampshire",225576,13020,What is the capital of New Hampshire?,"[""Concord"", ""Concord, New Hampshire"", ""Concord N.H."", ""Concord NH""]","['What is the capital of New Hampshire?', 'What is the primary city in New Hampshire?', 'Which urban center holds a central role in New Hampshire?', 'Which city houses the main government of New Hampshire?', 'What city is the main administrative center of New Hampshire?', 'What urban area holds the capital status of New Hampshire?', 'Which city is the political focal point of New Hampshire?', 'Which city is the primary seat of authority for New Hampshire?', 'What is the principal city of New Hampshire?', 'What is the chief city of New Hampshire?']",238596,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2222222222222222, 0.4, 0.4, 0.2857142857142857, 0.33333333333333337, 0, 0.2857142857142857, 0.2857142857142857, 0, 0.25]","[0.5174878471223167, 0.4769007286805126, 0.760859177890441, 0.5597775448076063, 0.42505829636737247, 0.7301979782387669, 0.5191595178467748, 0.5828361275184574, 0.449587681412167, 0.3359286164546157]","[0.11581897, 0.0004134103, 0.00023268728, 0.0014373237, 0.016413337, 0.003736449, 0.00055130705, 0.0014903258, 0.016235339, 0.00043899947]"
13668,Nebraska,capital,Lincoln,321638,422,941324,"[""NE"",""State of Nebraska"",""Nebr."",""Neb.""]","[""Lincoln, Nebraska""]",http://www.wikidata.org/entity/Q1553,http://www.wikidata.org/entity/Q28260,Nebraska,"Lincoln, Nebraska",209628,27240,What is the capital of Nebraska?,"[""Lincoln"", ""Lincoln, Nebraska""]","['What is the capital of Nebraska?', 'What is the primary city in Nebraska?', 'Which urban center holds a central role in Nebraska?', 'Which city houses the main government of Nebraska?', 'What city is the main administrative center of Nebraska?', 'What urban area holds the capital status of Nebraska?', 'Which city is the political focal point of Nebraska?', 'Which city is the primary seat of authority for Nebraska?', 'What is the principal city of Nebraska?', 'What is the chief city of Nebraska?']",236868,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.25, 0, 0.4, 0.25, 0.2857142857142857, 0.33333333333333337, 0.33333333333333337, 0, 0.33333333333333337]","[0.5686903123330108, 0.6321874724095291, 0.6161439559596184, 0.34048061869498103, 0.5111594717903087, 0.5202664240656332, 0.7197417162626478, 0.4303637710512459, 0.5272095616597768, 0.4147858318860388]","[0.025664428, 0.008791628, 8.7532855e-05, 0.0020497153, 0.12529743, 1.9401343e-05, 0.006378277, 0.07761093, 0.018175654, 0.038501278]"
14156,Belarus,capital,Minsk,621629,422,782955,"[""\ud83c\udde7\ud83c\uddfe"",""White Russia"",""White Ruthenia"",""Republic of Belarus"",""by"",""Byeloruss"",""BLR"",""Bielorussia"",""Belorussia"",""Byelorussia""]","[""\u041c\u0456\u043d\u0441\u043a"",""\u041c\u0435\u043d\u0441\u043a"",""\u041c\u0438\u043d\u0441\u043a"",""Mi\u0144sk"",""Minskas"",""Mensk"",""Miensk""]",http://www.wikidata.org/entity/Q184,http://www.wikidata.org/entity/Q2280,Belarus,Minsk,194249,40042,What is the capital of Belarus?,"[""Minsk"", ""Мінск"", ""Менск"", ""Минск"", ""Mińsk"", ""Minskas"", ""Mensk"", ""Miensk""]","['What is the capital of Belarus?', 'What is the primary city in Belarus?', 'Which urban center holds a central role in Belarus?', 'Which city houses the main government of Belarus?', 'What city is the main administrative center of Belarus?', 'What urban area holds the capital status of Belarus?', 'Which city is the political focal point of Belarus?', 'Which city is the primary seat of authority for Belarus?', 'What is the principal city of Belarus?', 'What is the chief city of Belarus?']",234291,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.25, 0.2857142857142857, 0.4, 0.25, 0.33333333333333337, 0.4]","[0.5204425727238198, 0.38665857661711817, 0.6347245610746955, 0.3755212707419364, 0.5332925622627125, 0.6159815177160889, 0.780793924734364, 0.5231006135711932, 0.4259806649642701, 0.41916533465081096]","[0.016615937, 0.009423795, 0.013105279, 0.030453889, 0.07779132, 0.08547545, 0.0017156982, 0.007205584, 0.048213307, 0.0016375522]"
14244,Armenia,capital,Yerevan,1257196,422,677081,"[""Republic of Armenia"",""\ud83c\udde6\ud83c\uddf2"",""ARM"",""AM""]","[""Erivan"",""Erevan"",""The Pink City"",""Irevan"",""Iravan""]",http://www.wikidata.org/entity/Q399,http://www.wikidata.org/entity/Q1953,Armenia,Yerevan,196468,35154,What is the capital of Armenia?,"[""Yerevan"", ""Erivan"", ""Erevan"", ""The Pink City"", ""Irevan"", ""Iravan""]","['What is the capital of Armenia?', 'What is the primary city in Armenia?', 'Which urban center holds a central role in Armenia?', 'Which city houses the main government of Armenia?', 'What city is the main administrative center of Armenia?', 'What urban area holds the capital status of Armenia?', 'Which city is the political focal point of Armenia?', 'Which city is the primary seat of authority for Armenia?', 'What is the principal city of Armenia?', 'What is the chief city of Armenia?']",231622,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.2857142857142857, 0.2857142857142857, 0.5, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.33333333333333337, 0.33333333333333337, 0.2857142857142857]","[0.37195425445092484, 0.45188107100964736, 0.445110616515759, 0.5773786939453402, 0.4909144098856504, 0.2792253886973769, 0.2943563706630479, 0.35306625585230417, 0.4822188064915077, 0.3892268100606688]","[0.20490615, 0.009934933, 0.0089727, 0.00017534198, 0.01803354, 0.016920734, 0.018040076, 6.2282456e-06, 0.003614226, 0.057830177]"
13729,Iraq,capital,Baghdad,2763787,422,307093,"[""Republic of Iraq"",""al-\u2018Ir\u0101q"",""Jumh\u016briyyat al-\u2018Ir\u0101q"",""Komar-i \u2018\u00caraq"",""iq"",""\ud83c\uddee\ud83c\uddf6"",""IRQ""]","[""Bagdad"",""Baghd\u0101d""]",http://www.wikidata.org/entity/Q796,http://www.wikidata.org/entity/Q1530,Iraq,Baghdad,176047,55543,What is the capital of Iraq?,"[""Baghdad"", ""Bagdad"", ""Baghdād""]","['What is the capital of Iraq?', 'What is the primary city in Iraq?', 'Which urban center holds a central role in Iraq?', 'Which city houses the main government of Iraq?', 'What city is the main administrative center of Iraq?', 'What urban area holds the capital status of Iraq?', 'Which city is the political focal point of Iraq?', 'Which city is the primary seat of authority for Iraq?', 'What is the principal city of Iraq?', 'What is the chief city of Iraq?']",231590,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.5, 0.25, 0.4, 0.25, 0.2857142857142857, 0.4, 0.2857142857142857, 0.2857142857142857, 0.33333333333333337]","[0.2518537209438782, 0.47649725928658726, 0.3864274682643242, 0.5078264016308325, 0.37580765071130795, 0.4030608349101158, 0.5266034881185352, 0.29573596715101497, 0.30296129112236936, 0.698012513409038]","[0.013935611, 1.4909157e-05, 0.16736412, 0.015225509, 0.19405177, 0.06775995, 6.927299e-05, 0.019557467, 0.022726176, 0.00436224]"
14108,Democratic Republic of the Congo,capital,Kinshasa,2929247,422,1228630,"[""DRC"",""DR Congo"",""Congo-Kinshasa"",""Zaire"",""Congo"",""Democratic Republic of Congo"",""cd"",""Dem. Republic of the Congo"",""Dem. Republic of Congo"",""Dem. Rep. Congo"",""\ud83c\udde8\ud83c\udde9"",""Congo (Kinshasa)"",""COD""]","[""L\u00e9opoldville"",""Leopoldstad"",""Leopoldville""]",http://www.wikidata.org/entity/Q974,http://www.wikidata.org/entity/Q3838,Democratic Republic of the Congo,Kinshasa,182435,46796,What is the capital of Democratic Republic of the Congo?,"[""Kinshasa"", ""Léopoldville"", ""Leopoldstad"", ""Leopoldville""]","['What is the capital of Democratic Republic of the Congo?', 'What is the primary city in Democratic Republic of the Congo?', 'Which urban center holds a central role in Democratic Republic of the Congo?', 'Which city houses the main government of Democratic Republic of the Congo?', 'What city is the main administrative center of Democratic Republic of the Congo?', 'What urban area holds the capital status of Democratic Republic of the Congo?', 'Which city is the political focal point of Democratic Republic of the Congo?', 'Which city is the primary seat of authority for Democratic Republic of the Congo?', 'What is the principal city of Democratic Republic of the Congo?', 'What is the chief city of Democratic Republic of the Congo?']",229231,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.33333333333333337, 0.2857142857142857, 0.5, 0.4, 0.4, 0.5, 0.5, 0.33333333333333337, 0.33333333333333337]","[0.32473044941506024, 0.3051710085630896, 0.34503069148099386, 0.43359276167324823, 0.3699623943304307, 0.31621956987702915, 0.40585963032266126, 0.22238017485034317, 0.31882801421185053, 0.20987651227260068]","[0.2584724, 0.041079465, 0.21716742, 0.00060770276, 0.018898437, 0.17627314, 0.00053208985, 0.0028317915, 0.08190197, 0.0110172955]"
13706,Wales,capital,Cardiff,847062,422,40007,"[""WAL"",""WLS"",""Cymru"",""Cambria""]","[""Caerdydd"",""Cardiff, Wales""]",http://www.wikidata.org/entity/Q25,http://www.wikidata.org/entity/Q10690,Wales,Cardiff,177730,50234,What is the capital of Wales?,"[""Cardiff"", ""Caerdydd"", ""Cardiff, Wales""]","['What is the capital of Wales?', 'What is the primary city in Wales?', 'Which urban center holds a central role in Wales?', 'Which city houses the main government of Wales?', 'What city is the main administrative center of Wales?', 'What urban area holds the capital status of Wales?', 'Which city is the political focal point of Wales?', 'Which city is the primary seat of authority for Wales?', 'What is the principal city of Wales?', 'What is the chief city of Wales?']",227964,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.4, 0.33333333333333337, 0.4, 0.2222222222222222, 0.25, 0.33333333333333337, 0.33333333333333337, 0.4, 0.2857142857142857]","[0.619766816753532, 0.33653998562080323, 0.452441297257455, 0.7135356067405629, 0.5349588720831056, 0.546552956773242, 0.45569078880783476, 0.45457307984351186, 0.5267654048862785, 0.41948522769914803]","[0.012169888, 0.002706157, 0.086596236, 0.00047739956, 0.083028875, 0.0076499158, 0.09529995, 0.104482606, 0.0021856874, 6.975321e-05]"
