Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
1119,Ilona,genre,rock music,255514,91,82098,"[""Nombre real : Liliana Castilla Cuellar"",""ilo""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q14702168,http://www.wikidata.org/entity/Q11399,Ilona (singer),Rock music,431,140450,What genre is Ilona?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does Ilona belong to?', 'What kind of classification does Ilona fall under?', 'What type does Ilona fall under?', 'What group does Ilona fall under?', 'What kind does Ilona fall under?', 'What class does Ilona fall under?', 'What style can Ilona be categorized into?', 'Which division does Ilona come under?', 'In what bracket does Ilona reside?', 'What domain does  Ilona fit within?']",140881,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.40011010079784176, 0.36750477363749834, 0.7726889104152954, 0.6277659300009472, 0.06981102960457108, 0.5022377977918124, 0.8704862312321644, 0.5665252900829783, 0.63227224791078, 0.24106618109320616]","[0.21295896, 0.09299085, 0.016966432, 2.0846873e-08, 0.8224705, 5.431966e-05, 0.00053792057, 0.06619992, 0.0012268262, 0.020573448]"
1256,ARB,genre,rock music,1368075,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q4653582,http://www.wikidata.org/entity/Q11399,ARB (band),Rock music,393,140450,What genre is ARB?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does ARB belong to?', 'What kind of classification does ARB fall under?', 'What type does ARB fall under?', 'What group does ARB fall under?', 'What kind does ARB fall under?', 'What class does ARB fall under?', 'What style can ARB be categorized into?', 'Which division does ARB come under?', 'In what bracket does ARB reside?', 'What domain does  ARB fit within?']",140843,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.19999999999999998, 0, 0, 0, 0.28571428571428575, 0.25, 0, 0, 0]","[0.5546522405098882, 0.7197836526471129, 0.4144393614441282, 0.4666833487814641, 0.4362676381585413, 0.7743846758950175, 0.38964458912877137, 0.6023238856253326, 0.6883280223588387, 0.5887952695183468]","[0.019022116, 0.020647878, 0.00021184095, 0.010229038, 0.12764902, 7.7801894e-07, 0.0011375416, 0.07696959, 0.00014095147, 0.0159791]"
1548,Eve,genre,rock music,1782376,91,82098,"[""\uc774\ube0c""]","[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q5416138,http://www.wikidata.org/entity/Q11399,Eve (South Korean band),Rock music,382,140450,What genre is Eve?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does Eve belong to?', 'What kind of classification does Eve fall under?', 'What type does Eve fall under?', 'What group does Eve fall under?', 'What kind does Eve fall under?', 'What class does Eve fall under?', 'What style can Eve be categorized into?', 'Which division does Eve come under?', 'In what bracket does Eve reside?', 'What domain does  Eve fit within?']",140832,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.42483615563934496, 0.783564843137668, 0.6627823875961598, 0.39386765322520634, 0.35532316203169806, 0.43818258333907545, 0.9442503145121499, 0.5696537212454063, 0.512461500623214, 0.592133608047011]","[6.894424e-05, 0.00025413808, 0.018085362, 0.089979015, 3.064814e-05, 0.052045174, 0.001606934, 4.899098e-06, 5.581598e-07, 0.053763982]"
1906,Time,genre,rock music,2053587,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q617572,http://www.wikidata.org/entity/Q11399,Time (Yugoslav band),Rock music,349,140450,What genre is Time?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does Time belong to?', 'What kind of classification does Time fall under?', 'What type does Time fall under?', 'What group does Time fall under?', 'What kind does Time fall under?', 'What class does Time fall under?', 'What style can Time be categorized into?', 'Which division does Time come under?', 'In what bracket does Time reside?', 'What domain does  Time fit within?']",140799,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0.16666666666666666, 0, 0]","[0.4779971259347252, 0.6301393496360133, 0.7822466447934715, 0.6999409076523906, 0.1536645623391752, 0.48774269104972257, 0.7916985988642296, 0.47772203531244534, 0.21320469513540413, 0.4223983780912358]","[0.0028813954, 0.001971564, 0.004254166, 6.651101e-05, 0.27099428, 0.017369086, 1.5392669e-05, 0.026828982, 0.037647516, 0.018420426]"
2591,The Checks,genre,rock music,2652971,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q7722277,http://www.wikidata.org/entity/Q11399,The Checks (band),Rock music,328,140450,What genre is The Checks?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does The Checks belong to?', 'What kind of classification does The Checks fall under?', 'What type does The Checks fall under?', 'What group does The Checks fall under?', 'What kind does The Checks fall under?', 'What class does The Checks fall under?', 'What style can The Checks be categorized into?', 'Which division does The Checks come under?', 'In what bracket does The Checks reside?', 'What domain does  The Checks fit within?']",140778,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4444444444444445, 0.2857142857142857, 0.33333333333333337, 0.2857142857142857, 0.2, 0, 0.4, 0.2857142857142857, 0.33333333333333337, 0.28571428571428575]","[0.5886831251240374, 0.46203846211433536, 0.2865903176443855, 0.537140174532353, 0.7864740190290331, 0.5972801356102193, 0.20873002992251766, 0.5520742338442868, 0.469801311093089, 0.7282125392652259]","[0.0041486556, 0.05467671, 0.14482409, 0.036133904, 0.00021526233, 0.0063630547, 0.0067069046, 0.027945563, 0.00020335159, 0.0010633919]"
1262,Dogs,genre,rock music,1772477,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q539327,http://www.wikidata.org/entity/Q11399,Dogs (French band),Rock music,270,140450,What genre is Dogs?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does Dogs belong to?', 'What kind of classification does Dogs fall under?', 'What type does Dogs fall under?', 'What group does Dogs fall under?', 'What kind does Dogs fall under?', 'What class does Dogs fall under?', 'What style can Dogs be categorized into?', 'Which division does Dogs come under?', 'In what bracket does Dogs reside?', 'What domain does  Dogs fit within?']",140720,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.42431964911201997, 0.658967613541874, 0.7481747197871145, 0.6741795317042428, 0.47776230774632433, 0.36911131913876105, 0.17520509130890796, 0.4458346218786783, 0.3710839600284413, 0.6781224303182429]","[0.0020086847, 0.019870482, 0.008358344, 0.031032503, 0.0683427, 0.17330928, 0.15320086, 0.008112617, 0.013508512, 0.003218642]"
2507,Golden,genre,rock music,460383,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q16839540,http://www.wikidata.org/entity/Q11399,Golden (band),Rock music,242,140450,What genre is Golden?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does Golden belong to?', 'What kind of classification does Golden fall under?', 'What type does Golden fall under?', 'What group does Golden fall under?', 'What kind does Golden fall under?', 'What class does Golden fall under?', 'What style can Golden be categorized into?', 'Which division does Golden come under?', 'In what bracket does Golden reside?', 'What domain does  Golden fit within?']",140692,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.33333333333333337, 0, 0, 0, 0, 0, 0, 0, 0.2857142857142857, 0]","[0.42884062439720044, 0.6371035797382052, 0.683744598814065, 0.7464996974731605, 0.15894241830307707, 0.6665047322970387, 0.7647187411028279, 0.5599070729109863, 0.5234489744173296, 0.8634672201796704]","[0.0141044175, 0.046523288, 0.0088514555, 0.004537478, 0.33111975, 0.009619781, 1.7469863e-05, 0.04120234, 0.00904162, 0.0017111246]"
1450,Jun,genre,rock music,2101569,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q6311426,http://www.wikidata.org/entity/Q11399,Jun (musician),Rock music,239,140450,What genre is Jun?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does Jun belong to?', 'What kind of classification does Jun fall under?', 'What type does Jun fall under?', 'What group does Jun fall under?', 'What kind does Jun fall under?', 'What class does Jun fall under?', 'What style can Jun be categorized into?', 'Which division does Jun come under?', 'In what bracket does Jun reside?', 'What domain does  Jun fit within?']",140689,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5632473078175894, 0.44500041477338337, 0.5487555706758128, 0.41041207833881005, 0.2683433746998144, 0.3111656416742318, 0.6896503344475241, 0.7601651077049902, 0.694252307179915, 0.6145375077559652]","[0.0022309993, 0.06956661, 0.069669686, 0.00065698, 3.7308297e-07, 0.0039486336, 0.029320193, 0.0026480916, 1.4645657e-05, 0.0017575]"
2114,The LeeVees,genre,rock music,1151411,91,82098,[],"[""rock and roll"",""rock"",""Rock""]",http://www.wikidata.org/entity/Q3521553,http://www.wikidata.org/entity/Q11399,The LeeVees,Rock music,234,140450,What genre is The LeeVees?,"[""rock music"", ""rock and roll"", ""rock"", ""Rock""]","['What category does The LeeVees belong to?', 'What kind of classification does The LeeVees fall under?', 'What type does The LeeVees fall under?', 'What group does The LeeVees fall under?', 'What kind does The LeeVees fall under?', 'What class does The LeeVees fall under?', 'What style can The LeeVees be categorized into?', 'Which division does The LeeVees come under?', 'In what bracket does The LeeVees reside?', 'What domain does  The LeeVees fit within?']",140684,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0.5, 0.25, 0.33333333333333337, 0.5, 0.5, 0.3333333333333333, 0.2857142857142857, 0.5, 0.33333333333333337]","[0.06162997979412421, 0.05541976730418897, 0.5198349187875895, 0.35084969975838404, 0.07316613851779034, 0.06430954545206496, 0.5792486550976813, 0.5152227120784802, 0.076825256388891, 0.6778485251836349]","[0.8579031, 0.8624676, 0.011222422, 0.055089, 0.8127974, 0.8499653, 0.0012797496, 0.002011075, 0.8190993, 0.00012346606]"
1497,Moist,genre,alternative rock,1091001,91,79782,[],"[""alternative music"",""alt-rock"",""alternative"",""alt rock"",""pop\/rock"",""Alternative Rock""]",http://www.wikidata.org/entity/Q3319287,http://www.wikidata.org/entity/Q11366,Moist (band),Alternative rock,1834,138822,What genre is Moist?,"[""alternative rock"", ""alternative music"", ""alt-rock"", ""alternative"", ""alt rock"", ""pop/rock"", ""Alternative Rock""]","['What category does Moist belong to?', 'What kind of classification does Moist fall under?', 'What type does Moist fall under?', 'What group does Moist fall under?', 'What kind does Moist fall under?', 'What class does Moist fall under?', 'What style can Moist be categorized into?', 'Which division does Moist come under?', 'In what bracket does Moist reside?', 'What domain does  Moist fit within?']",140656,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.22222222222222224, 0.4, 0.25, 0.25, 0.6666666666666666, 0, 0.5, 0.25, 0.5714285714285715, 0]","[0.6006201570131087, 0.23089631299001498, 0.535152742304386, 0.2904363626206854, 0.19012968902672772, 0.5304039724899795, 0.348893395869898, 0.7604299865725046, 0.657829681726649, 0.41971859543529055]","[0.00491421, 0.3849611, 0.039997, 0.0028572846, 0.13362958, 0.02571987, 0.07179739, 0.023058131, 0.00019640762, 0.07056574]"
