Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
11468,Vladislav Matviyenko,sport,association football,440524,560,920845,"[""Vladislav Ivanovich Matviyenko""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q166166,http://www.wikidata.org/entity/Q2736,Vladislav Matviyenko,Association football,28,197767,What sport does Vladislav Matviyenko play?,"[""association football"", ""football"", ""soccer""]","['What sport does Vladislav Matviyenko play?', 'What athletic activity does Vladislav Matviyenko participate in?', 'What game does Vladislav Matviyenko compete in?', 'What field of sports is Vladislav Matviyenko involved with?', 'Which athletic endeavour does Vladislav Matviyenko pursue?', 'What physical activity does Vladislav Matviyenko perform as a sport?', 'What recreational sport does Vladislav Matviyenko enjoy?', 'What sport does Vladislav Matviyenko enjoy playing?', 'What professional sport does Vladislav Matviyenko play?', 'What game does Vladislav Matviyenko actively participate in?']",197795,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.6666666666666666, 0.5, 0, 0, 0, 0.33333333333333337, 0]","[0.32820134230865255, 0.49083534270926865, 0.581944884162248, 0.29044986652060345, 0.4265017254939416, 0.3434478223461202, 0.31203053626189525, 0.29709605546897794, 0.43208784465315536, 0.46428015503751585]","[0.14615874, 0.00013748805, 0.010558605, 0.07731525, 0.000101319725, 0.0015508314, 0.14011149, 0.09052453, 0.0004986706, 0.00078795734]"
11873,Miroslav Milutinović,sport,association football,2296030,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q6874010,http://www.wikidata.org/entity/Q2736,Miroslav Milutinović,Association football,28,197767,What sport does Miroslav Milutinović play?,"[""association football"", ""football"", ""soccer""]","['What sport does Miroslav Milutinović play?', 'What athletic activity does Miroslav Milutinović participate in?', 'What game does Miroslav Milutinović compete in?', 'What field of sports is Miroslav Milutinović involved with?', 'Which athletic endeavour does Miroslav Milutinović pursue?', 'What physical activity does Miroslav Milutinović perform as a sport?', 'What recreational sport does Miroslav Milutinović enjoy?', 'What sport does Miroslav Milutinović enjoy playing?', 'What professional sport does Miroslav Milutinović play?', 'What game does Miroslav Milutinović actively participate in?']",197795,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0.25]","[0.6188397770444336, 0.3145722076030348, 0.7126144469715877, 0.30185169487055846, 0.3080138672878264, 0.6821879409305763, 0.4953189889554578, 0.2963343723691556, 0.30183375307477534, 0.6804476088324052]","[1.2133544e-06, 0.00044123406, 0.00013205086, 0.06607912, 0.12564333, 0.0018260098, 0.05689595, 0.05847396, 0.0805459, 0.02122235]"
11424,Gerd Schwidrowski,sport,association football,1854229,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q5550460,http://www.wikidata.org/entity/Q2736,Gerd Schwidrowski,Association football,27,197767,What sport does Gerd Schwidrowski play?,"[""association football"", ""football"", ""soccer""]","['What sport does Gerd Schwidrowski play?', 'What athletic activity does Gerd Schwidrowski participate in?', 'What game does Gerd Schwidrowski compete in?', 'What field of sports is Gerd Schwidrowski involved with?', 'Which athletic endeavour does Gerd Schwidrowski pursue?', 'What physical activity does Gerd Schwidrowski perform as a sport?', 'What recreational sport does Gerd Schwidrowski enjoy?', 'What sport does Gerd Schwidrowski enjoy playing?', 'What professional sport does Gerd Schwidrowski play?', 'What game does Gerd Schwidrowski actively participate in?']",197794,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.33333333333333337, 0.25, 0, 0, 0, 0, 0, 0]","[0.45580551227957, 0.30909208624184337, 0.44398534737298656, 0.7347732923879953, 0.8101745067181276, 0.4244800177658883, 0.3456867567509945, 0.3540758943750263, 0.5068929383737026, 0.6084672292325815]","[0.003152961, 0.10572159, 0.023650186, 0.002425264, 4.897724e-06, 0.007266681, 0.05162175, 0.04484814, 0.001623918, 0.0016868418]"
11701,1995 Cook Islands Round Cup,sport,association football,459818,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q16837718,http://www.wikidata.org/entity/Q2736,1995 Cook Islands Round Cup,Association football,27,197767,What sport does 1995 Cook Islands Round Cup play?,"[""association football"", ""football"", ""soccer""]","['What sport does 1995 Cook Islands Round Cup play?', 'What athletic activity does 1995 Cook Islands Round Cup participate in?', 'What game does 1995 Cook Islands Round Cup compete in?', 'What field of sports is 1995 Cook Islands Round Cup involved with?', 'Which athletic endeavour does 1995 Cook Islands Round Cup pursue?', 'What physical activity does 1995 Cook Islands Round Cup perform as a sport?', 'What recreational sport does 1995 Cook Islands Round Cup enjoy?', 'What sport does 1995 Cook Islands Round Cup enjoy playing?', 'What professional sport does 1995 Cook Islands Round Cup play?', 'What game does 1995 Cook Islands Round Cup actively participate in?']",197794,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.5, 0, 0, 0]","[0.36143719779673694, 0.41743317178627926, 0.565421671497406, 0.4187230783326388, 0.3097706958214624, 0.5201288032812663, 0.9147717717931185, 0.3508605216489873, 0.4948486381162479, 0.5388144645713603]","[0.103404015, 0.003178798, 0.0021725118, 0.00048942136, 0.00013500146, 8.232476e-05, 0.0012369489, 0.12018241, 0.00062223274, 0.06078481]"
11866,Wojciech Jarmuż,sport,association football,1261731,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q4020624,http://www.wikidata.org/entity/Q2736,Wojciech Jarmuż,Association football,24,197767,What sport does Wojciech Jarmuż play?,"[""association football"", ""football"", ""soccer""]","['What sport does Wojciech Jarmuż play?', 'What athletic activity does Wojciech Jarmuż participate in?', 'What game does Wojciech Jarmuż compete in?', 'What field of sports is Wojciech Jarmuż involved with?', 'Which athletic endeavour does Wojciech Jarmuż pursue?', 'What physical activity does Wojciech Jarmuż perform as a sport?', 'What recreational sport does Wojciech Jarmuż enjoy?', 'What sport does Wojciech Jarmuż enjoy playing?', 'What professional sport does Wojciech Jarmuż play?', 'What game does Wojciech Jarmuż actively participate in?']",197791,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.2857142857142857, 0, 0, 0.2857142857142857, 0, 0, 0.5, 0, 0.33333333333333337]","[0.1695754527828414, 0.6313323784003227, 0.4011888574910487, 0.31297352375164, 0.48674375058369673, 0.3032280926819587, 0.36117630359004416, 0.4287589855182294, 0.4484277347963025, 0.5265175277070973]","[0.0022256167, 7.919392e-05, 0.0011099015, 0.10841259, 0.019774728, 0.07103038, 0.09551259, 0.012641612, 0.021714713, 0.044037037]"
11848,Nelson Semperena,sport,association football,2337680,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q6990740,http://www.wikidata.org/entity/Q2736,Nelson Semperena,Association football,23,197767,What sport does Nelson Semperena play?,"[""association football"", ""football"", ""soccer""]","['What sport does Nelson Semperena play?', 'What athletic activity does Nelson Semperena participate in?', 'What game does Nelson Semperena compete in?', 'What field of sports is Nelson Semperena involved with?', 'Which athletic endeavour does Nelson Semperena pursue?', 'What physical activity does Nelson Semperena perform as a sport?', 'What recreational sport does Nelson Semperena enjoy?', 'What sport does Nelson Semperena enjoy playing?', 'What professional sport does Nelson Semperena play?', 'What game does Nelson Semperena actively participate in?']",197790,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0.5, 0.25, 0, 0, 0, 0]","[0.5638351305440478, 0.2827913830019396, 0.3694830035807826, 0.3517214868144381, 0.3202271890822362, 0.6329061056287137, 0.0, 0.3324385576960467, 0.36331606519589194, 0.23131631308591705]","[0.0027010802, 0.042748068, 0.00029505594, 0.04987175, 0.00022958194, 0.00037665712, 1.0, 0.18491584, 0.020334665, 0.017277487]"
11740,Roland Repiský,sport,association football,2506035,560,920845,"[""Roland Repisky""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q7360402,http://www.wikidata.org/entity/Q2736,Roland Repiský,Association football,20,197767,What sport does Roland Repiský play?,"[""association football"", ""football"", ""soccer""]","['What sport does Roland Repiský play?', 'What athletic activity does Roland Repiský participate in?', 'What game does Roland Repiský compete in?', 'What field of sports is Roland Repiský involved with?', 'Which athletic endeavour does Roland Repiský pursue?', 'What physical activity does Roland Repiský perform as a sport?', 'What recreational sport does Roland Repiský enjoy?', 'What sport does Roland Repiský enjoy playing?', 'What professional sport does Roland Repiský play?', 'What game does Roland Repiský actively participate in?']",197787,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5708798700513129, 0.4732214145988522, 0.5112052947075301, 0.05568328328072943, 0.314360818539144, 0.2284738298203727, 0.48114035341408223, 0.30043711164700293, 0.35890051459203076, 0.3680987928923969]","[0.0012448732, 0.0015177884, 0.06701591, 0.0154701155, 0.001538197, 0.11140352, 0.042581238, 0.103817575, 0.09602231, 0.12507567]"
11427,Vasili Penyasov,sport,association football,2743058,560,920845,"[""Vasili Nikolayevich Penyasov""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q7916690,http://www.wikidata.org/entity/Q2736,Vasili Penyasov,Association football,18,197767,What sport does Vasili Penyasov play?,"[""association football"", ""football"", ""soccer""]","['What sport does Vasili Penyasov play?', 'What athletic activity does Vasili Penyasov participate in?', 'What game does Vasili Penyasov compete in?', 'What field of sports is Vasili Penyasov involved with?', 'Which athletic endeavour does Vasili Penyasov pursue?', 'What physical activity does Vasili Penyasov perform as a sport?', 'What recreational sport does Vasili Penyasov enjoy?', 'What sport does Vasili Penyasov enjoy playing?', 'What professional sport does Vasili Penyasov play?', 'What game does Vasili Penyasov actively participate in?']",197785,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6286051202700941, 0.5700315566403762, 0.4974766775637033, 0.308397868952992, 0.7066007847490368, 0.34025809600032314, 0.3775662677248083, 0.4737494257176617, 0.3447643953053977, 0.506272863523932]","[0.010610525, 0.0006245373, 0.075024284, 0.076010965, 0.007686825, 0.09998715, 0.00061515946, 0.03937424, 0.00017013312, 0.064996764]"
11875,Jerry West,sport,basketball,1025953,560,1762290,"[""Jerry Alan West"",""Mr. Clutch"",""Zeke from Cabin Creek"",""The Logo"",""Mr. Outside"",""Jerome Alan West""]","[""hoops"",""b-ball"",""basket ball"",""BB"",""Basketball""]",http://www.wikidata.org/entity/Q311195,http://www.wikidata.org/entity/Q5372,Jerry West,Basketball,35717,149310,What sport does Jerry West play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]","['What sport does Jerry West play?', 'What athletic activity does Jerry West participate in?', 'What game does Jerry West compete in?', 'What field of sports is Jerry West involved with?', 'Which athletic endeavour does Jerry West pursue?', 'What physical activity does Jerry West perform as a sport?', 'What recreational sport does Jerry West enjoy?', 'What sport does Jerry West enjoy playing?', 'What professional sport does Jerry West play?', 'What game does Jerry West actively participate in?']",185027,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.25, 0.25, 0.5, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.2857142857142857, 0.5, 0.2857142857142857]","[0.5598478808830344, 0.27716593240123794, 0.45132117906989994, 0.30065762164850407, 0.32238592986429193, 0.5675651003191579, 0.3625901843047035, 0.4483448383284471, 0.4177353017861533, 0.44772412883820345]","[0.01551003, 0.00015939193, 0.0018111278, 0.10441487, 0.007375809, 0.00063265406, 0.023609582, 0.04045118, 0.0002690474, 0.013309377]"
11613,Jacob Eason,sport,American football,651998,560,1278160,[],"[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q18977946,http://www.wikidata.org/entity/Q41323,Jacob Eason,American football,34533,149108,What sport does Jacob Eason play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]","['What sport does Jacob Eason play?', 'What athletic activity does Jacob Eason participate in?', 'What game does Jacob Eason compete in?', 'What field of sports is Jacob Eason involved with?', 'Which athletic endeavour does Jacob Eason pursue?', 'What physical activity does Jacob Eason perform as a sport?', 'What recreational sport does Jacob Eason enjoy?', 'What sport does Jacob Eason enjoy playing?', 'What professional sport does Jacob Eason play?', 'What game does Jacob Eason actively participate in?']",183641,"[0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",,"[0.6666666666666666, 0.2857142857142857, 1.0, 0.2857142857142857, 0.33333333333333337, 1.0, 0, 0, 0.5, 0.2857142857142857]","[0.0, 0.46529169172037355, 0.0, 0.578581279517212, 0.8550802355269271, 0.033152381714586183, 0.3751693472153876, 0.3396784981482745, 0.42807960711709964, 0.4639542321904352]","[1.0, 0.048282325, 1.0, 0.0060992013, 0.00011025878, 0.9204089, 0.15135907, 0.0008197707, 0.010688819, 0.10324016]"
