Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
496,Donald Trump,occupation,real estate development,779697,22,2324204,"[""Donald John Trump"",""Donald J. Trump"",""Trump"",""The Donald"",""POTUS 45"",""Donald J Trump"",""President Donald Trump"",""President Trump"",""President Donald J. Trump"",""President Donald John Trump"",""DJT"",""Mr Trump"",""President Donald J Trump"",""John Barron"",""John Miller"",""David Dennison""]","[""property development"",""Real estate development""]",http://www.wikidata.org/entity/Q22686,http://www.wikidata.org/entity/Q695829,Donald Trump,Real estate development,15101521,16427,What is Donald Trump's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""socialite"", ""prominent person"", ""real estate development"", ""property development"", ""Real estate development"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol"", ""business magnate"", ""businessperson"", ""tycoon"", ""magnate""]","['What does Donald Trump do for a living?', ""What is Donald Trump's occupation?"", ""What is Donald Trump's profession?"", ""What is Donald Trump's line of work?"", 'What job role is Donald Trump engaged in?', 'What career path has Donald Trump chosen?', 'What field of employment is Donald Trump part of?', ""What is Donald Trump's source of professional engagement?"", ""What is Donald Trump's vocational pursuit?"", 'What field of work is Donald Trump engaged in?']",15117948,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.2857142857142857, 0, 0.36363636363636365, 0.25, 0, 0.4, 0.36363636363636365, 0, 0.22222222222222224]","[0.627007460452824, 0.5157675308549956, 0.29851900058115166, 0.6163022067926098, 0.5876297348982542, 0.5513901445423075, 0.7008643060777573, 0.5327216578561137, 0.617171316023439, 0.7007234953959914]","[0.0056226132, 0.026256178, 0.027780738, 0.042070054, 0.00016468605, 0.058438584, 0.011409113, 0.015072607, 0.041246817, 4.2068696e-06]"
211,Kanye West,occupation,record producer,345517,22,620958,"[""Kanye Omari West"",""Yeezy"",""Ye"",""Yeezus"",""The Fly Malcolm X"",""Malcolm West"",""Mr. West""]","[""music producer""]",http://www.wikidata.org/entity/Q15935,http://www.wikidata.org/entity/Q183945,Kanye West,Record producer,940772,42844,What is Kanye West's occupation?,"[""record producer"", ""music producer"", ""songwriter"", ""song writer""]","['What does Kanye West do for a living?', ""What is Kanye West's occupation?"", ""What is Kanye West's profession?"", ""What is Kanye West's line of work?"", 'What job role is Kanye West engaged in?', 'What career path has Kanye West chosen?', 'What field of employment is Kanye West part of?', ""What is Kanye West's source of professional engagement?"", ""What is Kanye West's vocational pursuit?"", 'What field of work is Kanye West engaged in?']",983616,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.4444444444444445, 0, 0.4, 0, 0.4, 0.25, 0.25, 0.22222222222222224]","[0.7321276172375071, 0.5942599196076979, 0.5732409607478889, 0.7096843989223636, 0.5962420093131542, 0.6780013010251504, 0.4214958606470436, 0.8612089385302302, 0.5928221056009046, 0.644826570536793]","[0.012841845, 1.545816e-05, 0.01622535, 0.03434397, 0.038850293, 0.03619947, 0.041402437, 0.007561004, 0.024646968, 0.0018300483]"
369,Michael Jackson,occupation,actor,942710,22,1114174,"[""MJ"",""The King of Pop"",""Michael Joe Jackson"",""Michael Joseph Jackson"",""M.J."",""M. J."",""King of Pop"",""King of Music"",""The King""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q2831,http://www.wikidata.org/entity/Q33999,Michael Jackson,Actor,753723,81374,What is Michael Jackson's occupation?,"[""record producer"", ""music producer"", ""beatboxing"", ""Human beat box"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""actor"", ""actress"", ""actors"", ""actresses"", ""composer"", ""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter"", ""poet"", ""poetess"", ""bard"", ""musician"", ""musical artist"", ""songwriter"", ""song writer""]","['What does Michael Jackson do for a living?', ""What is Michael Jackson's occupation?"", ""What is Michael Jackson's profession?"", ""What is Michael Jackson's line of work?"", 'What job role is Michael Jackson engaged in?', 'What career path has Michael Jackson chosen?', 'What field of employment is Michael Jackson part of?', ""What is Michael Jackson's source of professional engagement?"", ""What is Michael Jackson's vocational pursuit?"", 'What field of work is Michael Jackson engaged in?']",835097,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0, 1.0, 0, 0.4, 0.3333333333333333, 0.2857142857142857, 0.22222222222222224, 0.6666666666666666, 0.28571428571428575]","[0.9585253374309284, 0.5152423622007429, 0.14246804134009217, 0.4266449825229438, 0.9050004003433059, 0.41428409442437564, 0.774418426503537, 0.8023427430222292, 0.5796977760502241, 0.0424719761380696]","[0.0004970499, 0.076004736, 0.5518955, 0.010341371, 6.506335e-05, 3.9481438e-05, 0.010232452, 0.010294626, 0.12307699, 0.027104806]"
531,Mike Flanagan,occupation,screenwriter,691525,22,945070,[],"[""scenarist"",""writer"",""screen writer"",""script writer"",""scriptwriter""]",http://www.wikidata.org/entity/Q19668417,http://www.wikidata.org/entity/Q28389,Mike Flanagan (filmmaker),Screenwriter,449587,26544,What is Mike Flanagan's occupation?,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]","['What does Mike Flanagan do for a living?', ""What is Mike Flanagan's occupation?"", ""What is Mike Flanagan's profession?"", ""What is Mike Flanagan's line of work?"", 'What job role is Mike Flanagan engaged in?', 'What career path has Mike Flanagan chosen?', 'What field of employment is Mike Flanagan part of?', ""What is Mike Flanagan's source of professional engagement?"", ""What is Mike Flanagan's vocational pursuit?"", 'What field of work is Mike Flanagan engaged in?']",476131,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.33333333333333337, 0.4, 0, 0.33333333333333337, 0, 0, 0, 0]","[0.14870725927547115, 0.40002051661718213, 0.4028354647443169, 0.5094643431965395, 0.5283695372599776, 0.590319120715291, 0.507709509848728, 0.7972720251671768, 0.5136053686976908, 0.09454459729062076]","[0.51301754, 0.039177597, 0.017701628, 0.030300139, 0.044099655, 0.10532673, 0.005340545, 0.00029332627, 0.10341012, 0.0009283733]"
149,Will Smith,occupation,film producer,1260028,22,1077200,"[""Fresh Prince"",""The Fresh Prince"",""Willard Carroll Smith Jr.""]","[""movie producer"",""producer""]",http://www.wikidata.org/entity/Q40096,http://www.wikidata.org/entity/Q3282637,Will Smith,Film producer,345519,58642,What is Will Smith's occupation?,"[""record producer"", ""music producer"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]","['What does Will Smith do for a living?', ""What is Will Smith's occupation?"", ""What is Will Smith's profession?"", ""What is Will Smith's line of work?"", 'What job role is Will Smith engaged in?', 'What career path has Will Smith chosen?', 'What field of employment is Will Smith part of?', ""What is Will Smith's source of professional engagement?"", ""What is Will Smith's vocational pursuit?"", 'What field of work is Will Smith engaged in?']",404161,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0, 0.4, 0, 0.33333333333333337, 0.5714285714285715, 0, 0, 0.2857142857142857, 0]","[0.5679827098532806, 0.46663809198026773, 0.3772424736063264, 0.7417882956980157, 0.32046406309846764, 0.5472879316346364, 0.5676460655241589, 0.8178493447758012, 0.7553632335886215, 0.619113974296143]","[2.5114207e-06, 1.097764e-05, 0.06291911, 0.0030718546, 0.02476099, 0.00014446958, 0.00085688586, 0.0012575819, 0.029166367, 0.025478436]"
506,Michael Lynton,occupation,chief executive officer,275272,22,1480209,"[""Michael Mark Lynton""]","[""CEO"",""CE"",""CEx"",""chief executive""]",http://www.wikidata.org/entity/Q14927550,http://www.wikidata.org/entity/Q484876,Michael Lynton,Chief executive officer,3812,385976,What is Michael Lynton's occupation?,"[""chief executive officer"", ""CEO"", ""CE"", ""CEx"", ""chief executive""]","['What does Michael Lynton do for a living?', ""What is Michael Lynton's occupation?"", ""What is Michael Lynton's profession?"", ""What is Michael Lynton's line of work?"", 'What job role is Michael Lynton engaged in?', 'What career path has Michael Lynton chosen?', 'What field of employment is Michael Lynton part of?', ""What is Michael Lynton's source of professional engagement?"", ""What is Michael Lynton's vocational pursuit?"", 'What field of work is Michael Lynton engaged in?']",389788,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0.22222222222222224, 0, 0, 0, 0.4, 0]","[0.5409264445248622, 0.5651592873770434, 0.6059950995030927, 0.48294169467589676, 0.6873503149747546, 0.630650407048065, 0.4517678461155935, 0.4815042824526101, 0.3577133046975516, 0.5446623063754811]","[0.0004471664, 0.053718906, 0.036481846, 0.021118317, 0.022450035, 0.05816938, 0.031681437, 1.2693575e-06, 0.0055184993, 0.015512057]"
325,Amitabh Bachchan,occupation,film producer,2917223,22,1077200,"[""Big B""]","[""movie producer"",""producer""]",http://www.wikidata.org/entity/Q9570,http://www.wikidata.org/entity/Q3282637,Amitabh Bachchan,Film producer,306074,58642,What is Amitabh Bachchan's occupation?,"[""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]","['What does Amitabh Bachchan do for a living?', ""What is Amitabh Bachchan's occupation?"", ""What is Amitabh Bachchan's profession?"", ""What is Amitabh Bachchan's line of work?"", 'What job role is Amitabh Bachchan engaged in?', 'What career path has Amitabh Bachchan chosen?', 'What field of employment is Amitabh Bachchan part of?', ""What is Amitabh Bachchan's source of professional engagement?"", ""What is Amitabh Bachchan's vocational pursuit?"", 'What field of work is Amitabh Bachchan engaged in?']",364716,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.25, 0.4, 0.5, 0, 0, 0, 0.2222222222222222, 0.4]","[0.621096019284065, 0.0, 0.4493578502220669, 0.5336521501916841, 0.31582812906493046, 0.5655625846579853, 0.5754090939096397, 0.4477931762652204, 0.4616343026726303, 0.6419145315669199]","[0.010720824, 1.0, 0.009235337, 0.024735624, 0.00058409525, 0.0060551176, 0.009613957, 0.014956147, 0.015406114, 0.01723857]"
16,Edgar Allan Poe,occupation,playwright,468494,22,748919,"[""Poe"",""Edgar Poe"",""E. A. Poe""]","[""dramatist"",""playwrite"",""scriptwriter""]",http://www.wikidata.org/entity/Q16867,http://www.wikidata.org/entity/Q214917,Edgar Allan Poe,Playwright,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","['What does Edgar Allan Poe do for a living?', ""What is Edgar Allan Poe's occupation?"", ""What is Edgar Allan Poe's profession?"", ""What is Edgar Allan Poe's line of work?"", 'What job role is Edgar Allan Poe engaged in?', 'What career path has Edgar Allan Poe chosen?', 'What field of employment is Edgar Allan Poe part of?', ""What is Edgar Allan Poe's source of professional engagement?"", ""What is Edgar Allan Poe's vocational pursuit?"", 'What field of work is Edgar Allan Poe engaged in?']",299056,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.2222222222222222, 0, 0.2222222222222222, 0, 0, 0, 0.25, 0, 0]","[0.7578449918371082, 0.34857884541080164, 0.15768439602633333, 0.35895537224172247, 0.14626287403690608, 0.13148791839892002, 0.6478658106211337, 0.5084442614037679, 0.15433025823086524, 0.5457759355637841]","[0.0002223004, 0.013220314, 0.42887142, 0.03363295, 0.22738576, 0.1719964, 3.5157364e-09, 0.004049712, 0.27616978, 0.051690854]"
290,Ruby Rose,occupation,disc jockey,1250433,22,163605,"[""Ruby Rose Langenheim"",""Ruby""]","[""DJ"",""dee jay"",""dj"",""D.J."",""disk jockey"",""dee-jay"",""deejay"",""disquaire"",""discaire""]",http://www.wikidata.org/entity/Q3942185,http://www.wikidata.org/entity/Q130857,Ruby Rose,Disc jockey,245402,38478,What is Ruby Rose's occupation?,"[""disc jockey"", ""DJ"", ""dee jay"", ""dj"", ""D.J."", ""disk jockey"", ""dee-jay"", ""deejay"", ""disquaire"", ""discaire"", ""actor"", ""actress"", ""actors"", ""actresses"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]","['What does Ruby Rose do for a living?', ""What is Ruby Rose's occupation?"", ""What is Ruby Rose's profession?"", ""What is Ruby Rose's line of work?"", 'What job role is Ruby Rose engaged in?', 'What career path has Ruby Rose chosen?', 'What field of employment is Ruby Rose part of?', ""What is Ruby Rose's source of professional engagement?"", ""What is Ruby Rose's vocational pursuit?"", 'What field of work is Ruby Rose engaged in?']",283880,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0.33333333333333337, 0, 0.25]","[0.6575153391169667, 0.3781410931086081, 0.4026873886183773, 0.7026957705601591, 0.7764438342726524, 0.6736557767463165, 0.6597219768623926, 0.7465594966405603, 0.6991342255978322, 0.7055047489344312]","[0.002410386, 0.006825594, 0.0038129424, 0.012124761, 0.003399095, 0.021431334, 0.008119165, 1.2993213e-05, 0.02876452, 0.004779196]"
462,Dennis Rodman,occupation,actor,708379,22,1114174,"[""Dennis Keith Rodman"",""Worm"",""Dennis the Menace"",""The Worm"",""Rodzilla"",""Demolition Man"",""Country"",""Psycho""]","[""actress"",""actors"",""actresses""]",http://www.wikidata.org/entity/Q201608,http://www.wikidata.org/entity/Q33999,Dennis Rodman,Actor,157667,81374,What is Dennis Rodman's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","['What does Dennis Rodman do for a living?', ""What is Dennis Rodman's occupation?"", ""What is Dennis Rodman's profession?"", ""What is Dennis Rodman's line of work?"", 'What job role is Dennis Rodman engaged in?', 'What career path has Dennis Rodman chosen?', 'What field of employment is Dennis Rodman part of?', ""What is Dennis Rodman's source of professional engagement?"", ""What is Dennis Rodman's vocational pursuit?"", 'What field of work is Dennis Rodman engaged in?']",239041,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5175876868335112, 0.38438134876778574, 0.46411932056801547, 0.4543296146982393, 0.5241242885258457, 0.4686046603629571, 0.5716059014497368, 0.7605093948753923, 0.3545883477354393, 0.5865834432241216]","[0.05299791, 0.11351976, 0.04076398, 0.09936677, 0.08238494, 0.008836628, 0.00030519933, 0.014889706, 0.04123742, 0.015230854]"
