Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
11050,Dinesh D'Souza,religion,Christianity,130129,106,1582175,"[""Dinesh Joseph D'Souza""]","[""Christian faith""]",http://www.wikidata.org/entity/Q1226328,http://www.wikidata.org/entity/Q5043,Dinesh D'Souza,Christianity,50623,213455,What is the religion of Dinesh D'Souza?,"[""Christianity"", ""Christian faith""]","[""What is the religion of Dinesh D'Souza?"", ""What faith does Dinesh D'Souza follow?"", ""What is the religious affiliation of Dinesh D'Souza?"", ""Which religious doctrine does Dinesh D'Souza subscribe to?"", ""What theology is Dinesh D'Souza aligned with?"", ""What is the religious identity of Dinesh D'Souza?"", ""What belief system does Dinesh D'Souza ascribe to?"", ""What religious school of thought does Dinesh D'Souza follow?"", ""What is Dinesh D'Souza's spirituality?"", ""What is the religious allegiance of Dinesh D'Souza?""]",264078,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.6666666666666666, 0, 0, 0.6666666666666666, 0, 0, 0, 0]","[0.18109823268378075, 0.1595993506112254, 0.2086825119936953, 0.2047728480994854, 0.10287109999046988, 0.2410113037317348, 0.9060996137796122, 0.17645394005586804, 0.5959859221807756, 0.5576579235420744]","[0.4634176, 0.38491213, 0.4730395, 0.5171718, 0.75979924, 0.40515736, 0.0001464128, 0.5152883, 0.00062982744, 0.0034861958]"
11054,Saint Patrick,religion,Christianity,436897,106,1582175,"[""Patricius"",""Magonus"",""Succetus"",""St. Patrick"",""St Patrick"",""Patrick"",""Apostle of Ireland"",""Enlightener of Ireland"",""Maewyn Succat"",""Cothirthiacus""]","[""Christian faith""]",http://www.wikidata.org/entity/Q165479,http://www.wikidata.org/entity/Q5043,Saint Patrick,Christianity,43319,213455,What is the religion of Saint Patrick?,"[""Celtic Christianity"", ""Celtic Church"", ""Insular Christianity"", ""Christianity"", ""Christian faith""]","['What is the religion of Saint Patrick?', 'What faith does Saint Patrick follow?', 'What is the religious affiliation of Saint Patrick?', 'Which religious doctrine does Saint Patrick subscribe to?', 'What theology is Saint Patrick aligned with?', 'What is the religious identity of Saint Patrick?', 'What belief system does Saint Patrick ascribe to?', 'What religious school of thought does Saint Patrick follow?', ""What is Saint Patrick's spirituality?"", 'What is the religious allegiance of Saint Patrick?']",256774,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2688926398840385, 0.19347762759190118, 0.6833435917490899, 0.207230032320027, 0.7075573604337005, 0.18642048147896778, 0.15759642338763244, 0.21371784863390492, 0.4772622400803423, 0.4861225459057325]","[0.19981325, 0.41789174, 1.7367054e-05, 0.5023305, 0.0004062502, 0.008910666, 0.6194902, 0.44627854, 0.05104458, 0.0006743678]"
11244,Tokugawa Shogunate,religion,Buddhism,721665,106,2558565,"[""Tokugawa shogunate"",""Shogunate of Japan"",""Japan"",""Edo Japan""]","[""Buddha Dharma""]",http://www.wikidata.org/entity/Q205662,http://www.wikidata.org/entity/Q748,Tokugawa shogunate,Buddhism,53238,202198,What is the religion of Tokugawa Shogunate?,"[""Buddhism"", ""Buddha Dharma""]","['What is the religion of Tokugawa Shogunate?', 'What faith does Tokugawa Shogunate follow?', 'What is the religious affiliation of Tokugawa Shogunate?', 'Which religious doctrine does Tokugawa Shogunate subscribe to?', 'What theology is Tokugawa Shogunate aligned with?', 'What is the religious identity of Tokugawa Shogunate?', 'What belief system does Tokugawa Shogunate ascribe to?', 'What religious school of thought does Tokugawa Shogunate follow?', ""What is Tokugawa Shogunate's spirituality?"", 'What is the religious allegiance of Tokugawa Shogunate?']",255436,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.5, 0, 0, 0, 0, 0.4, 0.4, 0.5, 0.4]","[0.37871923796860324, 0.13344716909646537, 0.7104315099450081, 0.3756129305634513, 0.14750060329528297, 0.6987333997816327, 0.24737069868115502, 0.25933558070188656, 0.2711695217824235, 0.32322197673314806]","[0.007209516, 0.04140365, 0.021305101, 0.00031015815, 0.5211782, 9.267991e-05, 0.0072353934, 0.355468, 0.009639949, 0.06259208]"
11209,Austrian Empire,religion,Catholic Church,169128,106,2918816,"[""Austria""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q131964,http://www.wikidata.org/entity/Q9592,Austrian Empire,Catholic Church,56223,195995,What is the religion of Austrian Empire?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Austrian Empire?', 'What faith does Austrian Empire follow?', 'What is the religious affiliation of Austrian Empire?', 'Which religious doctrine does Austrian Empire subscribe to?', 'What theology is Austrian Empire aligned with?', 'What is the religious identity of Austrian Empire?', 'What belief system does Austrian Empire ascribe to?', 'What religious school of thought does Austrian Empire follow?', ""What is Austrian Empire's spirituality?"", 'What is the religious allegiance of Austrian Empire?']",252218,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5714285714285715, 0.4, 0.4, 0.28571428571428575, 0.4, 0.4, 0.4, 0.4, 0.4, 0.5714285714285715]","[0.4943957107730814, 0.2290928120904403, 0.3113010566087089, 0.5415338361963005, 0.14726245446251351, 0.31112594208751065, 0.1743006825393425, 0.17405560637659762, 0.2683863476970891, 0.6116100575341676]","[0.0012542115, 0.45853716, 0.16085838, 0.054975696, 0.65445954, 0.18313575, 0.588073, 0.59079546, 0.2973299, 0.000763161]"
11298,John Paul I,religion,Catholic Church,1200001,106,2918816,"[""Albino Luciani"",""John Paul"",""Pope John Paul I"",""papa Giovanni Paolo I"",""Pope Giovanni Paolo I"",""Iohannes Paulus PP. I"",""Johannes Paulus""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q37278,http://www.wikidata.org/entity/Q9592,Pope John Paul I,Catholic Church,56118,195995,What is the religion of John Paul I?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of John Paul I?', 'What faith does John Paul I follow?', 'What is the religious affiliation of John Paul I?', 'Which religious doctrine does John Paul I subscribe to?', 'What theology is John Paul I aligned with?', 'What is the religious identity of John Paul I?', 'What belief system does John Paul I ascribe to?', 'What religious school of thought does John Paul I follow?', ""What is John Paul I's spirituality?"", 'What is the religious allegiance of John Paul I?']",252113,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",,"[0.36363636363636365, 0.4, 1.0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4]","[0.534853318216135, 0.2009180493075566, 0.15493360435480408, 0.10123050401107996, 0.17364838743509356, 0.10737294169827863, 0.11787196540978748, 0.12848504694061588, 0.15894241830307707, 0.1254689888790891]","[0.001138019, 0.37963384, 0.46201822, 0.7627314, 0.27862146, 0.11372531, 0.71016884, 0.6753106, 0.33111975, 0.15492117]"
11170,Bilal ibn Ribah,religion,Islam,1525793,106,1299818,"[""Bilal ibn Rabah al-Habashi"",""Bilal ibn Rabah"",""Bilal-i Habe\u015fi"",""Bilal, son of Rabah"",""Bilal""]","[""Islamic religion"",""Mohammedanism"",""Muslim religion"",""al-\u2019isl\u0101m"",""religion of the Muslims""]",http://www.wikidata.org/entity/Q493136,http://www.wikidata.org/entity/Q432,Bilal ibn Rabah,Islam,17049,233485,What is the religion of Bilal ibn Ribah?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]","['What is the religion of Bilal ibn Ribah?', 'What faith does Bilal ibn Ribah follow?', 'What is the religious affiliation of Bilal ibn Ribah?', 'Which religious doctrine does Bilal ibn Ribah subscribe to?', 'What theology is Bilal ibn Ribah aligned with?', 'What is the religious identity of Bilal ibn Ribah?', 'What belief system does Bilal ibn Ribah ascribe to?', 'What religious school of thought does Bilal ibn Ribah follow?', ""What is Bilal ibn Ribah's spirituality?"", 'What is the religious allegiance of Bilal ibn Ribah?']",250534,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.2857142857142857, 0.2857142857142857, 0.33333333333333337, 0.2857142857142857, 0.2857142857142857, 0.5, 0.2857142857142857, 0, 0.5]","[0.43195911401506326, 0.48864380373689675, 0.6941779064114723, 0.6991732636673605, 0.3992907008109189, 0.5368836069409871, 0.285822289188974, 0.4817020080406651, 0.2648072040255942, 0.3917812018291227]","[0.022989783, 0.16536745, 0.010152567, 0.00459837, 0.097227976, 0.15344374, 0.0010123368, 0.08107249, 0.33925226, 3.3216565e-05]"
11359,Georgetown University,religion,Catholic Church,1096563,106,2918816,"[""Georgetown"",""GU"",""georgetown.edu""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q333886,http://www.wikidata.org/entity/Q9592,Georgetown University,Catholic Church,52990,195995,What is the religion of Georgetown University?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Georgetown University?', 'What faith does Georgetown University follow?', 'What is the religious affiliation of Georgetown University?', 'Which religious doctrine does Georgetown University subscribe to?', 'What theology is Georgetown University aligned with?', 'What is the religious identity of Georgetown University?', 'What belief system does Georgetown University ascribe to?', 'What religious school of thought does Georgetown University follow?', ""What is Georgetown University's spirituality?"", 'What is the religious allegiance of Georgetown University?']",248985,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,"[0.4, 0.36363636363636365, 0.5, 0.5, 0, 0, 0.4444444444444444, 0, 1.0, 0]","[0.4583942161444418, 0.33331212468773785, 0.6684033204463256, 0.5112719283634904, 0.37633097098968976, 0.4727036336706313, 0.2831814338467953, 0.18025008928775887, 0.20632106808776085, 0.22645586098713602]","[0.0033038827, 0.046322513, 9.565135e-05, 0.0002751659, 0.19913699, 0.0013156302, 0.009327271, 0.004393909, 0.07816534, 0.0016678956]"
11278,Sanyika Shakur,religion,Islam,2051547,106,1299818,"[""Kody Dejohn Scott"",""Monster""]","[""Islamic religion"",""Mohammedanism"",""Muslim religion"",""al-\u2019isl\u0101m"",""religion of the Muslims""]",http://www.wikidata.org/entity/Q6171002,http://www.wikidata.org/entity/Q432,Sanyika Shakur,Islam,12430,233485,What is the religion of Sanyika Shakur?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]","['What is the religion of Sanyika Shakur?', 'What faith does Sanyika Shakur follow?', 'What is the religious affiliation of Sanyika Shakur?', 'Which religious doctrine does Sanyika Shakur subscribe to?', 'What theology is Sanyika Shakur aligned with?', 'What is the religious identity of Sanyika Shakur?', 'What belief system does Sanyika Shakur ascribe to?', 'What religious school of thought does Sanyika Shakur follow?', ""What is Sanyika Shakur's spirituality?"", 'What is the religious allegiance of Sanyika Shakur?']",245915,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.25, 0.2222222222222222, 0, 0, 0, 0, 0.33333333333333337, 0]","[0.07097775942021788, 0.08651479085605623, 0.4965643898315532, 0.31293167119582954, 0.4062331254861356, 0.3745132228643116, 0.42735036634701595, 0.5404793057752366, 0.7363581160165737, 0.2714242932993307]","[0.8191229, 0.7727595, 0.06386797, 0.107691556, 0.00705418, 0.010251074, 0.035899587, 0.0439353, 0.03880879, 0.008548078]"
11363,Padre Pio,religion,Catholic Church,668138,106,2918816,"[""Padre Pio di Pietralcina"",""Padre Pio"",""Francesco Forgione"",""Pio"",""San Pio di Pietrelcina"",""santo Pio da Pietrelcina""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q193754,http://www.wikidata.org/entity/Q9592,Padre Pio,Catholic Church,49453,195995,What is the religion of Padre Pio?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Padre Pio?', 'What faith does Padre Pio follow?', 'What is the religious affiliation of Padre Pio?', 'Which religious doctrine does Padre Pio subscribe to?', 'What theology is Padre Pio aligned with?', 'What is the religious identity of Padre Pio?', 'What belief system does Padre Pio ascribe to?', 'What religious school of thought does Padre Pio follow?', ""What is Padre Pio's spirituality?"", 'What is the religious allegiance of Padre Pio?']",245448,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",,"[0.4, 0.5, 1.0, 0.4, 0.5, 0.5714285714285715, 0.4444444444444444, 0.4, 0.4, 1.0]","[0.19358198528488466, 0.5489755141373066, 0.14020091177855584, 0.1767324711212974, 0.1436865495649962, 0.48353209460081437, 0.3012596633014478, 0.5343601362732362, 0.24417030575658158, 0.1397398395941232]","[0.3256765, 0.00040882273, 0.5644182, 0.56450677, 0.0063064783, 0.002329966, 0.0047026207, 0.00039127897, 0.4101624, 0.5668859]"
11089,Claus Schenk Graf von Stauffenberg,religion,Catholic Church,742269,106,2918816,"[""Claus von Stauffenberg"",""Klaus von Stauffenberg"",""Claus Schenk"",""Col. Claus von Stauffenberg"",""Claus"",""Claus Schenk von Stauffenberg"",""Claus von Staufenberg"",""Colonel Claus Von Stauffenberg"",""Claus Stauffenberg"",""von Stauffenberg"",""claus philipp Marie Schenk von Stauffenberg"",""Claus Philipp Maria Justinian Schenk Graf von Stauffenberg""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q21209,http://www.wikidata.org/entity/Q9592,Claus von Stauffenberg,Catholic Church,47789,195995,What is the religion of Claus Schenk Graf von Stauffenberg?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Claus Schenk Graf von Stauffenberg?', 'What faith does Claus Schenk Graf von Stauffenberg follow?', 'What is the religious affiliation of Claus Schenk Graf von Stauffenberg?', 'Which religious doctrine does Claus Schenk Graf von Stauffenberg subscribe to?', 'What theology is Claus Schenk Graf von Stauffenberg aligned with?', 'What is the religious identity of Claus Schenk Graf von Stauffenberg?', 'What belief system does Claus Schenk Graf von Stauffenberg ascribe to?', 'What religious school of thought does Claus Schenk Graf von Stauffenberg follow?', ""What is Claus Schenk Graf von Stauffenberg's spirituality?"", 'What is the religious allegiance of Claus Schenk Graf von Stauffenberg?']",243784,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",,"[0.4, 0.4, 0.5, 0.25, 0.5, 0.36363636363636365, 0.4, 0.4, 0.4, 1.0]","[0.7198442295856585, 0.16539730972570493, 0.6984865534117267, 0.42346991942363993, 0.40764395657348385, 0.3125605969822365, 0.11651401879653908, 0.18910734565127224, 0.18256830182888845, 0.10924939358798788]","[0.022775479, 0.5474892, 4.217372e-05, 0.023476817, 0.0034410243, 0.095868595, 0.7158886, 0.51791716, 0.4307718, 0.11745732]"
