Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
1437,The Mushroom,genre,crime film,1060845,91,2919224,"[""Mushroom"",""Le Champignon""]","[""crime movie""]",http://www.wikidata.org/entity/Q3220979,http://www.wikidata.org/entity/Q959790,The Mushroom (film),Crime film,179,28275,What genre is The Mushroom?,"[""crime film"", ""crime movie""]","['What category does The Mushroom belong to?', 'What kind of classification does The Mushroom fall under?', 'What type does The Mushroom fall under?', 'What group does The Mushroom fall under?', 'What kind does The Mushroom fall under?', 'What class does The Mushroom fall under?', 'What style can The Mushroom be categorized into?', 'Which division does The Mushroom come under?', 'In what bracket does The Mushroom reside?', 'What domain does  The Mushroom fit within?']",28454,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.18231587058448853, 0.35367662587773596, 0.35864396216754013, 0.4386684474502562, 0.3071725766306374, 0.5942200114304965, 0.42388021701609957, 0.35528644115956487, 0.2899929195419821, 0.20443171354903536]","[0.1483193, 0.14132276, 0.105486885, 0.08761499, 0.13705489, 0.011267259, 0.062444992, 0.075642556, 0.12003739, 0.2677331]"
2688,Silence,genre,crime film,667150,91,2919224,[],"[""crime movie""]",http://www.wikidata.org/entity/Q19363827,http://www.wikidata.org/entity/Q959790,Silence (1931 film),Crime film,115,28275,What genre is Silence?,"[""crime film"", ""crime movie""]","['What category does Silence belong to?', 'What kind of classification does Silence fall under?', 'What type does Silence fall under?', 'What group does Silence fall under?', 'What kind does Silence fall under?', 'What class does Silence fall under?', 'What style can Silence be categorized into?', 'Which division does Silence come under?', 'In what bracket does Silence reside?', 'What domain does  Silence fit within?']",28390,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.5]","[0.1371865130731042, 0.3049342309001386, 0.22260108326124542, 0.3658154837109272, 0.07785676265019065, 0.2654185849115446, 0.534148172006102, 0.3678381415951192, 0.35244335466180454, 0.05952256500309305]","[0.68106544, 0.11461806, 0.18616143, 0.1283048, 0.7990248, 0.18143542, 0.13955697, 0.0894662, 0.07486999, 0.85129476]"
2659,The Copper,genre,crime film,114401,91,2919224,"[""Copper""]","[""crime movie""]",http://www.wikidata.org/entity/Q1194004,http://www.wikidata.org/entity/Q959790,The Copper (1958 film),Crime film,94,28275,What genre is The Copper?,"[""crime film"", ""crime movie""]","['What category does The Copper belong to?', 'What kind of classification does The Copper fall under?', 'What type does The Copper fall under?', 'What group does The Copper fall under?', 'What kind does The Copper fall under?', 'What class does The Copper fall under?', 'What style can The Copper be categorized into?', 'Which division does The Copper come under?', 'In what bracket does The Copper reside?', 'What domain does  The Copper fit within?']",28369,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5]","[0.10449073705254251, 0.5181334640494331, 0.2590482704392909, 0.3943825680536512, 0.4393030278419065, 0.2224203717402588, 0.5647180312927402, 0.2548734090167548, 0.39417187573992596, 0.1579675636698899]","[0.10818895, 0.042757865, 0.027647039, 0.025937641, 0.05000865, 0.014749937, 0.008011681, 0.10743736, 0.013498777, 0.31405053]"
2383,Betrayal,genre,crime film,1507416,91,2919224,[],"[""crime movie""]",http://www.wikidata.org/entity/Q4898193,http://www.wikidata.org/entity/Q959790,Betrayal (1932 film),Crime film,72,28275,What genre is Betrayal?,"[""crime film"", ""crime movie""]","['What category does Betrayal belong to?', 'What kind of classification does Betrayal fall under?', 'What type does Betrayal fall under?', 'What group does Betrayal fall under?', 'What kind does Betrayal fall under?', 'What class does Betrayal fall under?', 'What style can Betrayal be categorized into?', 'Which division does Betrayal come under?', 'In what bracket does Betrayal reside?', 'What domain does  Betrayal fit within?']",28347,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6957246552453421, 0.6462696385952172, 0.16792402239956544, 0.40165504299308585, 0.12565605463451854, 0.16670870150447412, 0.5190642223912814, 0.5778405616237703, 0.3869321077485069, 0.22782867692017417]","[0.015774973, 0.040607534, 0.21813194, 0.043054126, 0.15542015, 0.19617376, 0.027507925, 0.08199884, 0.01050422, 0.3083481]"
2382,The King and I,genre,musical film,1380038,91,2842261,"[""King and I""]","[""musical movie""]",http://www.wikidata.org/entity/Q467516,http://www.wikidata.org/entity/Q842256,The King and I (1999 film),Musical film,5407,22860,What genre is The King and I?,"[""musical film"", ""musical movie""]","['What category does The King and I belong to?', 'What kind of classification does The King and I fall under?', 'What type does The King and I fall under?', 'What group does The King and I fall under?', 'What kind does The King and I fall under?', 'What class does The King and I fall under?', 'What style can The King and I be categorized into?', 'Which division does The King and I come under?', 'In what bracket does The King and I reside?', 'What domain does  The King and I fit within?']",28267,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.28571428571428575, 0.25, 0.28571428571428575, 0.28571428571428575, 0.28571428571428575, 0.25, 0.28571428571428575, 0.3333333333333333, 0.25, 0.25]","[0.6159291916855387, 0.7570390867110843, 0.7108395198231543, 0.7363121227065136, 0.7204681256705123, 0.45986565646695604, 0.31078409109498206, 0.520976948049092, 0.36038842460146825, 0.4290787308282965]","[0.08291618, 0.0047969217, 0.041258715, 0.03771822, 0.044606075, 0.06078412, 0.31407383, 0.10879526, 0.019584613, 0.053306013]"
2285,Carrie,genre,film adaptation,23239,91,141564,[],"[""based upon"",""adapted for the screen"",""cinematic adaptation""]",http://www.wikidata.org/entity/Q1045023,http://www.wikidata.org/entity/Q1257444,Carrie (2002 film),Film adaptation,13057,15117,What genre is Carrie?,"[""film adaptation"", ""based upon"", ""adapted for the screen"", ""cinematic adaptation""]","['What category does Carrie belong to?', 'What kind of classification does Carrie fall under?', 'What type does Carrie fall under?', 'What group does Carrie fall under?', 'What kind does Carrie fall under?', 'What class does Carrie fall under?', 'What style can Carrie be categorized into?', 'Which division does Carrie come under?', 'In what bracket does Carrie reside?', 'What domain does  Carrie fit within?']",28174,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5]","[0.576326203629993, 0.600177990174276, 0.6919448457545835, 0.13230851796137638, 0.3612664559029475, 0.858389538878844, 0.5203494723850818, 0.21051433279469658, 0.4096895287035199, 0.10377693227243152]","[0.0214733, 0.0057044094, 0.013432385, 0.17450562, 0.11850693, 0.00082706515, 0.048664395, 0.22262824, 0.04456636, 0.7602446]"
2467,Peggle 2,genre,puzzle video game,421162,91,1812440,[],"[""puzzle game"",""Puzzle video games"",""puzzle\/jigsaw video game""]",http://www.wikidata.org/entity/Q16267649,http://www.wikidata.org/entity/Q54767,Peggle 2,Puzzle video game,1680,26431,What genre is Peggle 2?,"[""puzzle video game"", ""puzzle game"", ""Puzzle video games"", ""puzzle/jigsaw video game""]","['What category does Peggle 2 belong to?', 'What kind of classification does Peggle 2 fall under?', 'What type does Peggle 2 fall under?', 'What group does Peggle 2 fall under?', 'What kind does Peggle 2 fall under?', 'What class does Peggle 2 fall under?', 'What style can Peggle 2 be categorized into?', 'Which division does Peggle 2 come under?', 'In what bracket does Peggle 2 reside?', 'What domain does  Peggle 2 fit within?']",28111,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5714285714285715, 0.7499999999999999, 0.6666666666666666, 0.5, 0.5714285714285715, 0.5714285714285715, 0.5, 0.5714285714285715, 0.5714285714285715, 0.7499999999999999]","[0.3831055415561181, 0.4225946862480843, 0.5107024786122532, 0.19504344803421364, 0.37539698653287074, 0.3180134779854228, 0.21616815804987533, 0.3879376412438032, 0.1962526696665855, 0.4040050779181382]","[0.09594564, 0.08045934, 0.021398678, 0.12388114, 0.15251581, 0.21371354, 0.073418155, 0.040510856, 0.14029267, 0.065774046]"
1225,The Wake,genre,gothic rock,2677036,91,1483024,[],"[""goth rock"",""goth"",""Gothic rock"",""Goth rock"",""Gothic Rock""]",http://www.wikidata.org/entity/Q7773242,http://www.wikidata.org/entity/Q485395,The Wake (US band),Gothic rock,178,27760,What genre is The Wake?,"[""gothic rock"", ""goth rock"", ""goth"", ""Gothic rock"", ""Goth rock"", ""Gothic Rock""]","['What category does The Wake belong to?', 'What kind of classification does The Wake fall under?', 'What type does The Wake fall under?', 'What group does The Wake fall under?', 'What kind does The Wake fall under?', 'What class does The Wake fall under?', 'What style can The Wake be categorized into?', 'Which division does The Wake come under?', 'In what bracket does The Wake reside?', 'What domain does  The Wake fit within?']",27938,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.25, 0, 0, 0, 0, 0, 0]","[0.09854322857754312, 0.2940567923764965, 0.24534547648461003, 0.29335821106865045, 0.5308058801890763, 0.42862695460687694, 0.45832255893859486, 0.41264983385744064, 0.1391616473337506, 0.14246804134009217]","[0.73411953, 0.06518391, 0.021924013, 0.15815108, 0.03659561, 0.036246106, 0.015028974, 0.16871646, 0.56994575, 0.5518955]"
2571,Light Years,genre,pop punk,638951,91,1496443,[],"[""punk-pop"",""pop-punk""]",http://www.wikidata.org/entity/Q18719099,http://www.wikidata.org/entity/Q487914,Light Years (band),Pop-punk,274,27492,What genre is Light Years?,"[""pop punk"", ""punk-pop"", ""pop-punk""]","['What category does Light Years belong to?', 'What kind of classification does Light Years fall under?', 'What type does Light Years fall under?', 'What group does Light Years fall under?', 'What kind does Light Years fall under?', 'What class does Light Years fall under?', 'What style can Light Years be categorized into?', 'Which division does Light Years come under?', 'In what bracket does Light Years reside?', 'What domain does  Light Years fit within?']",27766,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.5, 0.22222222222222224, 0, 0, 0, 0.5, 0.5, 0.5]","[0.433326436818799, 0.6666802887481986, 0.0, 0.35415811400282304, 0.7030640995245028, 0.29942620036411133, 0.14827931907692088, 0.0, 0.0, 0.0]","[0.16158767, 0.010520806, 1.0, 0.08999189, 0.025580253, 0.10781334, 0.23749699, 1.0, 1.0, 1.0]"
1181,Roper,genre,pop punk,2509801,91,1496443,[],"[""punk-pop"",""pop-punk""]",http://www.wikidata.org/entity/Q7366732,http://www.wikidata.org/entity/Q487914,Roper (band),Pop-punk,253,27492,What genre is Roper?,"[""pop punk"", ""punk-pop"", ""pop-punk""]","['What category does Roper belong to?', 'What kind of classification does Roper fall under?', 'What type does Roper fall under?', 'What group does Roper fall under?', 'What kind does Roper fall under?', 'What class does Roper fall under?', 'What style can Roper be categorized into?', 'Which division does Roper come under?', 'In what bracket does Roper reside?', 'What domain does  Roper fit within?']",27745,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.25, 0, 0, 0, 0, 0.28571428571428575, 0]","[0.0, 0.0677136418674886, 0.657064638172202, 0.2938226228493768, 0.0, 0.2501917976828091, 0.6314039670848997, 0.1903958843014582, 0.44521332070332387, 0.05152213662522725]","[1.0, 0.8386366, 0.012070668, 0.16868505, 1.0, 0.17310975, 0.00072752964, 0.079125315, 0.12175002, 0.87292653]"
