Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
8779,Soft Light,screenwriter,Vince Gilligan,2583936,533,1324782,[],"[""George Vincent Gilligan, Jr.""]",http://www.wikidata.org/entity/Q7553905,http://www.wikidata.org/entity/Q4500,Soft Light (The X-Files),Vince Gilligan,2295,36182,Who was the screenwriter for Soft Light?,"[""Vince Gilligan"", ""George Vincent Gilligan, Jr.""]","['Who was the screenwriter for Soft Light?', 'Who wrote the screenplay for Soft Light?', 'Who was the scribe of the screenplay in Soft Light?', ""Who took on the role of crafting Soft Light's script?"", 'Who was responsible for composing the screenplay of Soft Light?', 'Who was the wordsmith behind the screenplay of Soft Light?', 'Who penned the script for Soft Light?', 'Who authored the screenplay of Soft Light?', ""Who was the primary influencer in shaping Soft Light's screenplay composition?"", ""Who scripted Soft Light's story?""]",38477,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5592608284033446, 0.23350330580083, 0.17665546009146194, 0.4356168560701477, 0.04244787316076685, 0.04868538885217547, 0.3971398980771952, 0.5053383252284975, 0.08898719938714618, 0.49679078603333754]","[0.025900638, 0.3890568, 0.21522476, 0.11027417, 0.89673465, 0.88781893, 0.20720144, 0.005113329, 0.7650371, 0.12292364]"
8612,Mass,screenwriter,Raghava Lawrence,1156561,533,2461843,[],"[""Lawrence""]",http://www.wikidata.org/entity/Q3536789,http://www.wikidata.org/entity/Q7282937,Mass (2004 film),Raghava Lawrence,7453,30825,Who was the screenwriter for Mass?,"[""Raghava Lawrence"", ""Lawrence""]","['Who was the screenwriter for Mass?', 'Who wrote the screenplay for Mass?', 'Who was the scribe of the screenplay in Mass?', ""Who took on the role of crafting Mass's script?"", 'Who was responsible for composing the screenplay of Mass?', 'Who was the wordsmith behind the screenplay of Mass?', 'Who penned the script for Mass?', 'Who authored the screenplay of Mass?', ""Who was the primary influencer in shaping Mass's screenplay composition?"", ""Who scripted Mass's story?""]",38278,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6360707527959837, 0.48820104823275284, 0.14762632440741233, 0.3746756151606303, 0.44002820321611713, 0.17990384178624522, 0.3380818480241632, 0.2991692796130828, 0.32958019772789915, 0.5531109160728546]","[0.008507051, 0.1149035, 0.0688736, 0.090904795, 0.00032235138, 0.13077173, 0.09595121, 0.037721034, 0.027558086, 0.036275752]"
8808,A Wedding,screenwriter,Robert Altman,162758,533,1833398,"[""Wedding""]",[],http://www.wikidata.org/entity/Q1306424,http://www.wikidata.org/entity/Q55163,A Wedding (1978 film),Robert Altman,1932,36265,Who was the screenwriter for A Wedding?,"[""Robert Altman""]","['Who was the screenwriter for A Wedding?', 'Who wrote the screenplay for A Wedding?', 'Who was the scribe of the screenplay in A Wedding?', ""Who took on the role of crafting A Wedding's script?"", 'Who was responsible for composing the screenplay of A Wedding?', 'Who was the wordsmith behind the screenplay of A Wedding?', 'Who penned the script for A Wedding?', 'Who authored the screenplay of A Wedding?', ""Who was the primary influencer in shaping A Wedding's screenplay composition?"", ""Who scripted A Wedding's story?""]",38197,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0, 0.5714285714285715, 0, 0, 0, 0, 0.6666666666666666, 0.5, 0]","[0.19791672884885567, 0.12032088706427248, 0.3810514306123258, 0.2351542505299572, 0.21954726405451858, 0.1946734267217332, 0.32602714556186163, 0.4002490586331729, 0.22112266632118144, 0.2579720713722442]","[0.18169728, 0.14186904, 0.15289882, 0.41016334, 0.12808321, 0.11176451, 0.10511863, 0.115263954, 0.08665415, 0.38222045]"
9705,2010: The Year We Make Contact,screenwriter,Peter Hyams,741273,533,1346399,"[""2010""]",[],http://www.wikidata.org/entity/Q211784,http://www.wikidata.org/entity/Q458766,2010: The Year We Make Contact,Peter Hyams,29716,8366,Who was the screenwriter for 2010: The Year We Make Contact?,"[""Peter Hyams""]","['Who was the screenwriter for 2010: The Year We Make Contact?', 'Who wrote the screenplay for 2010: The Year We Make Contact?', 'Who was the scribe of the screenplay in 2010: The Year We Make Contact?', ""Who took on the role of crafting 2010: The Year We Make Contact's script?"", 'Who was responsible for composing the screenplay of 2010: The Year We Make Contact?', 'Who was the wordsmith behind the screenplay of 2010: The Year We Make Contact?', 'Who penned the script for 2010: The Year We Make Contact?', 'Who authored the screenplay of 2010: The Year We Make Contact?', ""Who was the primary influencer in shaping 2010: The Year We Make Contact's screenplay composition?"", ""Who scripted 2010: The Year We Make Contact's story?""]",38082,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0.5714285714285715, 0, 0]","[0.3344426260552763, 0.32050811226264253, 0.29059573685487006, 0.4892852284454754, 0.32886843319911563, 0.028189106037124698, 0.28278272739935845, 0.2328139363988562, 0.06983439603195232, 0.4105166110007152]","[0.09203084, 0.11567299, 0.40033674, 0.107684106, 0.22989342, 0.93278056, 0.043079436, 0.13041127, 0.8224036, 0.18136314]"
8319,Cocktails,screenwriter,Paul Lieberstein,1635804,533,899385,[],"[""Paul Bevan Lieberstein""]",http://www.wikidata.org/entity/Q5139707,http://www.wikidata.org/entity/Q2671438,Cocktails (The Office),Paul Lieberstein,2418,35418,Who was the screenwriter for Cocktails?,"[""Paul Lieberstein"", ""Paul Bevan Lieberstein""]","['Who was the screenwriter for Cocktails?', 'Who wrote the screenplay for Cocktails?', 'Who was the scribe of the screenplay in Cocktails?', ""Who took on the role of crafting Cocktails's script?"", 'Who was responsible for composing the screenplay of Cocktails?', 'Who was the wordsmith behind the screenplay of Cocktails?', 'Who penned the script for Cocktails?', 'Who authored the screenplay of Cocktails?', ""Who was the primary influencer in shaping Cocktails's screenplay composition?"", ""Who scripted Cocktails's story?""]",37836,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.45546681142800116, 0.30767653879873424, 0.4332809144391415, 0.49349081737997613, 0.2687939317395783, 0.4168652209777685, 0.3679718190345248, 0.36214551972152526, 0.23415431859630959, 0.3778827721874093]","[0.005849278, 0.14710513, 0.0018931077, 0.01636496, 0.17158817, 0.009400663, 0.32205948, 0.18864177, 0.4714473, 0.15017052]"
8958,Paprika,screenwriter,Tinto Brass,2647459,533,1030141,[],[],http://www.wikidata.org/entity/Q771069,http://www.wikidata.org/entity/Q312472,Paprika (1991 film),Tinto Brass,13505,24132,Who was the screenwriter for Paprika?,"[""Tinto Brass""]","['Who was the screenwriter for Paprika?', 'Who wrote the screenplay for Paprika?', 'Who was the scribe of the screenplay in Paprika?', ""Who took on the role of crafting Paprika's script?"", 'Who was responsible for composing the screenplay of Paprika?', 'Who was the wordsmith behind the screenplay of Paprika?', 'Who penned the script for Paprika?', 'Who authored the screenplay of Paprika?', ""Who was the primary influencer in shaping Paprika's screenplay composition?"", ""Who scripted Paprika's story?""]",37637,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.26753544727424533, 0.3398646559553794, 0.08645682773712014, 0.03714128752267393, 0.1528849759336944, 0.029194183395805286, 0.10733458497206312, 0.0871680610838443, 0.08563458782004725, 0.18967591003993992]","[0.053628292, 0.02116576, 0.0780597, 0.9103331, 0.1064915, 0.9302896, 0.7039087, 0.77072924, 0.07684459, 0.5227252]"
8028,Star Trek: First Contact,screenwriter,Brannon Braga,764174,533,1777608,"[""Star Trek 8"",""Star Trek VIII"",""First Contact"",""ST:FC""]",[],http://www.wikidata.org/entity/Q221236,http://www.wikidata.org/entity/Q540510,Star Trek: First Contact,Brannon Braga,28689,8483,Who was the screenwriter for Star Trek: First Contact?,"[""Brannon Braga""]","['Who was the screenwriter for Star Trek: First Contact?', 'Who wrote the screenplay for Star Trek: First Contact?', 'Who was the scribe of the screenplay in Star Trek: First Contact?', ""Who took on the role of crafting Star Trek: First Contact's script?"", 'Who was responsible for composing the screenplay of Star Trek: First Contact?', 'Who was the wordsmith behind the screenplay of Star Trek: First Contact?', 'Who penned the script for Star Trek: First Contact?', 'Who authored the screenplay of Star Trek: First Contact?', ""Who was the primary influencer in shaping Star Trek: First Contact's screenplay composition?"", ""Who scripted Star Trek: First Contact's story?""]",37172,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3633811131030985, 0.38585171634820914, 0.18624006883888486, 0.3159255811981031, 0.2224728791940026, 0.1742777190805862, 0.3612236546529017, 0.27074601544402976, 0.28079191757290434, 0.3606738961759742]","[0.0042962446, 0.059796482, 0.52883124, 0.17754182, 0.3191226, 0.23687156, 0.124563776, 0.34525332, 0.17044948, 0.058537282]"
8386,Salt,screenwriter,Kurt Wimmer,2091178,533,438563,[],[],http://www.wikidata.org/entity/Q628139,http://www.wikidata.org/entity/Q165760,Salt (2010 film),Kurt Wimmer,32275,4894,Who was the screenwriter for Salt?,"[""Kurt Wimmer""]","['Who was the screenwriter for Salt?', 'Who wrote the screenplay for Salt?', 'Who was the scribe of the screenplay in Salt?', ""Who took on the role of crafting Salt's script?"", 'Who was responsible for composing the screenplay of Salt?', 'Who was the wordsmith behind the screenplay of Salt?', 'Who penned the script for Salt?', 'Who authored the screenplay of Salt?', ""Who was the primary influencer in shaping Salt's screenplay composition?"", ""Who scripted Salt's story?""]",37169,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.17048727085295237, 0.12526697416222085, 0.22359778993366672, 0.0, 0.08698745599325515, 0.2876341392366506, 0.1689456492141599, 0.12215682546947829, 0.38882855937954797, 0.21925430378516766]","[0.5834815, 0.0972, 0.014971709, 1.0, 0.0788504, 0.13432622, 0.5899762, 0.7048334, 0.019308409, 0.46045884]"
9451,In the Loop,screenwriter,Armando Iannucci,2646156,533,2162477,[],[],http://www.wikidata.org/entity/Q770741,http://www.wikidata.org/entity/Q646929,In the Loop,Armando Iannucci,14982,22116,Who was the screenwriter for In the Loop?,"[""Armando Iannucci""]","['Who was the screenwriter for In the Loop?', 'Who wrote the screenplay for In the Loop?', 'Who was the scribe of the screenplay in In the Loop?', ""Who took on the role of crafting In the Loop's script?"", 'Who was responsible for composing the screenplay of In the Loop?', 'Who was the wordsmith behind the screenplay of In the Loop?', 'Who penned the script for In the Loop?', 'Who authored the screenplay of In the Loop?', ""Who was the primary influencer in shaping In the Loop's screenplay composition?"", ""Who scripted In the Loop's story?""]",37098,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3473638883258072, 0.1463406368013786, 0.13241114335439885, 0.24690280143534024, 0.13409563360072857, 0.21718302453564287, 0.31193754910512383, 0.22412714748718215, 0.41098301770525236, 0.3919330635617714]","[0.067062, 0.114775, 0.07327017, 0.3575833, 0.097874396, 0.28618512, 0.12652032, 0.3629171, 0.11205719, 0.05919383]"
9262,Heavy,screenwriter,James Mangold,828288,533,1302060,[],[],http://www.wikidata.org/entity/Q2442226,http://www.wikidata.org/entity/Q433893,Heavy (film),James Mangold,4761,32329,Who was the screenwriter for Heavy?,"[""James Mangold""]","['Who was the screenwriter for Heavy?', 'Who wrote the screenplay for Heavy?', 'Who was the scribe of the screenplay in Heavy?', ""Who took on the role of crafting Heavy's script?"", 'Who was responsible for composing the screenplay of Heavy?', 'Who was the wordsmith behind the screenplay of Heavy?', 'Who penned the script for Heavy?', 'Who authored the screenplay of Heavy?', ""Who was the primary influencer in shaping Heavy's screenplay composition?"", ""Who scripted Heavy's story?""]",37090,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0.25, 0, 0, 0, 0]","[0.4989186802848061, 0.17366136881748725, 0.2571053502737323, 0.1723670181786699, 0.13187235449326562, 0.38003206348732327, 0.6216113619187021, 0.4904886857296188, 0.3731700227690261, 0.29373077656062885]","[0.049329124, 0.103678435, 0.2957606, 0.12768145, 0.07993294, 0.082062766, 0.014657613, 0.14249547, 0.19712344, 0.27297017]"
