Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
11483,Łukasz Szukała,sport,association football,1229384,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q384119,http://www.wikidata.org/entity/Q2736,Łukasz Szukała,Association football,380,197767,What sport does Łukasz Szukała play?,"[""association football"", ""football"", ""soccer""]","['What sport does Łukasz Szukała play?', 'What athletic activity does Łukasz Szukała participate in?', 'What game does Łukasz Szukała compete in?', 'What field of sports is Łukasz Szukała involved with?', 'Which athletic endeavour does Łukasz Szukała pursue?', 'What physical activity does Łukasz Szukała perform as a sport?', 'What recreational sport does Łukasz Szukała enjoy?', 'What sport does Łukasz Szukała enjoy playing?', 'What professional sport does Łukasz Szukała play?', 'What game does Łukasz Szukała actively participate in?']",198147,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,"[0.2222222222222222, 0, 0, 0, 0, 0, 0, 1.0, 0.25, 0.33333333333333337]","[0.4099897935032165, 0.15955230205906454, 0.15624644697545692, 0.15551839698090428, 0.0, 0.29435956051642376, 0.20690133705102706, 0.0, 0.39820403193182163, 0.3609681498962156]","[0.021628898, 0.38716087, 0.44777772, 0.45593172, 1.0, 0.1377338, 0.30957347, 1.0, 0.066311724, 0.054357417]"
11602,Gregor Zabret,sport,association football,300905,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q15244350,http://www.wikidata.org/entity/Q2736,Gregor Zabret,Association football,377,197767,What sport does Gregor Zabret play?,"[""association football"", ""football"", ""soccer""]","['What sport does Gregor Zabret play?', 'What athletic activity does Gregor Zabret participate in?', 'What game does Gregor Zabret compete in?', 'What field of sports is Gregor Zabret involved with?', 'Which athletic endeavour does Gregor Zabret pursue?', 'What physical activity does Gregor Zabret perform as a sport?', 'What recreational sport does Gregor Zabret enjoy?', 'What sport does Gregor Zabret enjoy playing?', 'What professional sport does Gregor Zabret play?', 'What game does Gregor Zabret actively participate in?']",198144,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.25068806113101755, 0.15507077435867775, 0.30367236704776857, 0.13637692683043165, 0.26781326152256096, 0.4343707671480537, 0.22540579008469552, 0.313654694870046, 0.1579780343508417, 0.1793763258739397]","[0.15520592, 0.46062276, 0.16013247, 0.5841891, 0.27388015, 0.038244415, 0.317356, 0.07033371, 0.4243048, 0.49725637]"
11907,FK Radnički Pirot,sport,association football,1009778,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q3063283,http://www.wikidata.org/entity/Q2736,FK Radnički Pirot,Association football,373,197767,What sport does FK Radnički Pirot play?,"[""association football"", ""football"", ""soccer""]","['What sport does FK Radnički Pirot play?', 'What athletic activity does FK Radnički Pirot participate in?', 'What game does FK Radnički Pirot compete in?', 'What field of sports is FK Radnički Pirot involved with?', 'Which athletic endeavour does FK Radnički Pirot pursue?', 'What physical activity does FK Radnički Pirot perform as a sport?', 'What recreational sport does FK Radnički Pirot enjoy?', 'What sport does FK Radnički Pirot enjoy playing?', 'What professional sport does FK Radnički Pirot play?', 'What game does FK Radnički Pirot actively participate in?']",198140,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,"[0.2857142857142857, 0.2222222222222222, 0, 0.2222222222222222, 0.4, 0.25, 0, 1.0, 0.2222222222222222, 0]","[0.4094329724559642, 0.2870472686213861, 0.31781648970877807, 0.2837469498830424, 0.542566560420755, 0.6661953651947813, 0.30065603427463694, 0.0, 0.28873220450737264, 0.3338199412936444]","[0.0035269938, 0.2799221, 0.11873952, 0.30814713, 0.00980094, 0.0024786505, 0.1564064, 1.0, 0.2833538, 0.106322564]"
11635,Abdoul Camara,sport,association football,855615,560,920845,"[""Abdoul Razzagui Camara""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q2530313,http://www.wikidata.org/entity/Q2736,Abdoul Camara,Association football,370,197767,What sport does Abdoul Camara play?,"[""association football"", ""football"", ""soccer""]","['What sport does Abdoul Camara play?', 'What athletic activity does Abdoul Camara participate in?', 'What game does Abdoul Camara compete in?', 'What field of sports is Abdoul Camara involved with?', 'Which athletic endeavour does Abdoul Camara pursue?', 'What physical activity does Abdoul Camara perform as a sport?', 'What recreational sport does Abdoul Camara enjoy?', 'What sport does Abdoul Camara enjoy playing?', 'What professional sport does Abdoul Camara play?', 'What game does Abdoul Camara actively participate in?']",198137,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",,"[1.0, 0, 0, 0, 0, 0.6666666666666666, 0, 1.0, 0.6666666666666666, 0.4]","[0.0, 0.23650955117639252, 0.15504053038291313, 0.2417383389367142, 0.2421218021487077, 0.45297111455472905, 0.46018911540940893, 0.0, 0.5995088261100192, 0.5839285079496812]","[1.0, 0.19885814, 0.46093205, 0.15680154, 0.15800217, 0.029156223, 0.048696823, 1.0, 0.016466038, 0.0073204967]"
11538,Pablo Cepellini,sport,association football,886785,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q2633057,http://www.wikidata.org/entity/Q2736,Pablo Ceppelini,Association football,365,197767,What sport does Pablo Cepellini play?,"[""association football"", ""football"", ""soccer""]","['What sport does Pablo Cepellini play?', 'What athletic activity does Pablo Cepellini participate in?', 'What game does Pablo Cepellini compete in?', 'What field of sports is Pablo Cepellini involved with?', 'Which athletic endeavour does Pablo Cepellini pursue?', 'What physical activity does Pablo Cepellini perform as a sport?', 'What recreational sport does Pablo Cepellini enjoy?', 'What sport does Pablo Cepellini enjoy playing?', 'What professional sport does Pablo Cepellini play?', 'What game does Pablo Cepellini actively participate in?']",198132,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",,"[1.0, 0, 0, 0, 0, 0, 0, 0.2857142857142857, 0.2222222222222222, 1.0]","[0.0, 0.0, 0.15014550365259557, 0.15634055396670096, 0.15854619422338553, 0.19658985664183745, 0.0, 0.6739490874911165, 0.4422410920059067, 0.0]","[1.0, 1.0, 0.5027481, 0.4466682, 0.41430444, 0.3139375, 1.0, 0.010746457, 0.15432304, 1.0]"
11675,Alexis Mendoza,sport,association football,2928334,560,920845,"[""Alexis Antonio Mendoza Barrina""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q972611,http://www.wikidata.org/entity/Q2736,Alexis Mendoza,Association football,359,197767,What sport does Alexis Mendoza play?,"[""association football"", ""football"", ""soccer""]","['What sport does Alexis Mendoza play?', 'What athletic activity does Alexis Mendoza participate in?', 'What game does Alexis Mendoza compete in?', 'What field of sports is Alexis Mendoza involved with?', 'Which athletic endeavour does Alexis Mendoza pursue?', 'What physical activity does Alexis Mendoza perform as a sport?', 'What recreational sport does Alexis Mendoza enjoy?', 'What sport does Alexis Mendoza enjoy playing?', 'What professional sport does Alexis Mendoza play?', 'What game does Alexis Mendoza actively participate in?']",198126,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.22387467694182514, 0.14093295285496937, 0.331343891408863, 0.0, 0.0, 0.0, 0.1833752834752342, 0.33716084544774877, 0.18713884004725986]","[1.0, 0.15782791, 0.5604476, 0.0474113, 1.0, 1.0, 1.0, 0.40224016, 0.0057711285, 0.4391486]"
11800,Henk Timmer,sport,association football,1097876,560,920845,"[""Hendrik Timmer""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q334341,http://www.wikidata.org/entity/Q2736,Henk Timmer,Association football,355,197767,What sport does Henk Timmer play?,"[""association football"", ""football"", ""soccer""]","['What sport does Henk Timmer play?', 'What athletic activity does Henk Timmer participate in?', 'What game does Henk Timmer compete in?', 'What field of sports is Henk Timmer involved with?', 'Which athletic endeavour does Henk Timmer pursue?', 'What physical activity does Henk Timmer perform as a sport?', 'What recreational sport does Henk Timmer enjoy?', 'What sport does Henk Timmer enjoy playing?', 'What professional sport does Henk Timmer play?', 'What game does Henk Timmer actively participate in?']",198122,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.14878613280635972, 0.15815022540523818, 0.0, 0.14613452140734726, 0.15957546691077656, 0.0, 0.0, 0.43207233844308934, 0.20955240464009625, 0.41557413468054055]","[0.51247054, 0.4214593, 1.0, 0.5299954, 0.3860876, 1.0, 1.0, 0.04086829, 0.41613248, 0.0099689765]"
11476,Housain Al-Mogahwi,sport,association football,31976,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q10558666,http://www.wikidata.org/entity/Q2736,Housain Al-Mogahwi,Association football,354,197767,What sport does Housain Al-Mogahwi play?,"[""association football"", ""football"", ""soccer""]","['What sport does Housain Al-Mogahwi play?', 'What athletic activity does Housain Al-Mogahwi participate in?', 'What game does Housain Al-Mogahwi compete in?', 'What field of sports is Housain Al-Mogahwi involved with?', 'Which athletic endeavour does Housain Al-Mogahwi pursue?', 'What physical activity does Housain Al-Mogahwi perform as a sport?', 'What recreational sport does Housain Al-Mogahwi enjoy?', 'What sport does Housain Al-Mogahwi enjoy playing?', 'What professional sport does Housain Al-Mogahwi play?', 'What game does Housain Al-Mogahwi actively participate in?']",198121,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 0, 0, 0, 0, 0, 0, 0.2222222222222222, 0.2857142857142857, 0.2222222222222222]","[0.0, 0.29570889160329034, 0.14600965304233712, 0.1507102521886367, 0.31510114401315076, 0.19131811599988655, 0.0, 0.27366565333917103, 0.5961374848406993, 0.30746599455494655]","[1.0, 0.061658848, 0.53078127, 0.49852777, 0.113342054, 0.35279563, 1.0, 0.05030599, 0.005389959, 0.3020482]"
11607,Fabien Farnolle,sport,association football,1009855,560,920845,"[""Fabien Ceddy Farnolle""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q3063598,http://www.wikidata.org/entity/Q2736,Fabien Farnolle,Association football,347,197767,What sport does Fabien Farnolle play?,"[""association football"", ""football"", ""soccer""]","['What sport does Fabien Farnolle play?', 'What athletic activity does Fabien Farnolle participate in?', 'What game does Fabien Farnolle compete in?', 'What field of sports is Fabien Farnolle involved with?', 'Which athletic endeavour does Fabien Farnolle pursue?', 'What physical activity does Fabien Farnolle perform as a sport?', 'What recreational sport does Fabien Farnolle enjoy?', 'What sport does Fabien Farnolle enjoy playing?', 'What professional sport does Fabien Farnolle play?', 'What game does Fabien Farnolle actively participate in?']",198114,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.14612049246691, 0.15855591709099623, 0.20303335430659122, 0.1508443107865724, 0.0, 0.2506297483530047, 0.0, 0.2326562798125381, 0.29326184384771703, 0.3696196188277043]","[0.53008384, 0.4141157, 0.13439654, 0.49750862, 1.0, 0.12074709, 1.0, 0.16301107, 0.06305028, 0.05411651]"
11537,Tommy Ord,sport,association football,2700584,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q7819765,http://www.wikidata.org/entity/Q2736,Tommy Ord,Association football,335,197767,What sport does Tommy Ord play?,"[""association football"", ""football"", ""soccer""]","['What sport does Tommy Ord play?', 'What athletic activity does Tommy Ord participate in?', 'What game does Tommy Ord compete in?', 'What field of sports is Tommy Ord involved with?', 'Which athletic endeavour does Tommy Ord pursue?', 'What physical activity does Tommy Ord perform as a sport?', 'What recreational sport does Tommy Ord enjoy?', 'What sport does Tommy Ord enjoy playing?', 'What professional sport does Tommy Ord play?', 'What game does Tommy Ord actively participate in?']",198102,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2927066514617901, 0.4898685571175812, 0.13219393443326416, 0.29972315089951007, 0.4230365806631393, 0.3833164164443913, 0.5159301441129772, 0.48844656894021315, 0.6245135629378458, 0.38483976456944885]","[0.2793708, 0.00601872, 0.6042774, 0.25006706, 0.010439894, 0.06998857, 0.010636329, 0.018941054, 0.0019720888, 0.024390465]"
