Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
11076,Clemente Isnard,religion,Catholic Church,1303414,106,2918816,[],"[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q434777,http://www.wikidata.org/entity/Q9592,Clemente Isnard,Catholic Church,47,195995,What is the religion of Clemente Isnard?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Clemente Isnard?', 'What faith does Clemente Isnard follow?', 'What is the religious affiliation of Clemente Isnard?', 'Which religious doctrine does Clemente Isnard subscribe to?', 'What theology is Clemente Isnard aligned with?', 'What is the religious identity of Clemente Isnard?', 'What belief system does Clemente Isnard ascribe to?', 'What religious school of thought does Clemente Isnard follow?', ""What is Clemente Isnard's spirituality?"", 'What is the religious allegiance of Clemente Isnard?']",196042,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 1.0, 1.0, 0.4, 0.5, 0.4, 0.4, 0, 0.4, 0.4]","[0.04152294549503339, 0.20382408888386677, 0.21124416804909182, 0.09247749496992178, 0.7380951962298693, 0.62214127440012, 0.0, 0.0, 0.10925025286574472, 0.15632705606700215]","[0.89912134, 0.27292168, 0.28261572, 0.7539503, 0.0009952035, 0.014975658, 1.0, 1.0, 0.69705945, 0.44682822]"
11266,José Palmeira Lessa,religion,Catholic Church,523451,106,2918816,"[""Jose Palmeira Lessa""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q1709552,http://www.wikidata.org/entity/Q9592,José Palmeira Lessa,Catholic Church,46,195995,What is the religion of José Palmeira Lessa?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of José Palmeira Lessa?', 'What faith does José Palmeira Lessa follow?', 'What is the religious affiliation of José Palmeira Lessa?', 'Which religious doctrine does José Palmeira Lessa subscribe to?', 'What theology is José Palmeira Lessa aligned with?', 'What is the religious identity of José Palmeira Lessa?', 'What belief system does José Palmeira Lessa ascribe to?', 'What religious school of thought does José Palmeira Lessa follow?', ""What is José Palmeira Lessa's spirituality?"", 'What is the religious allegiance of José Palmeira Lessa?']",196041,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 0.8, 0.5, 0, 0, 0.8, 0, 0, 0.8, 0.75]","[0.0, 0.1207945952106789, 0.5235608729984932, 0.09701985003986746, 0.0, 0.0488649582092633, 0.04338928873074451, 0.035499619634346447, 0.17156025811569994, 0.1550322323914373]","[1.0, 0.71463084, 0.01198093, 0.7391713, 1.0, 0.87997437, 0.8942981, 0.91449463, 0.60066587, 0.46101674]"
11265,Cosmo Francesco Ruppi,religion,Catholic Church,79462,106,2918816,[],"[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q1136150,http://www.wikidata.org/entity/Q9592,Cosmo Francesco Ruppi,Catholic Church,45,195995,What is the religion of Cosmo Francesco Ruppi?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Cosmo Francesco Ruppi?', 'What faith does Cosmo Francesco Ruppi follow?', 'What is the religious affiliation of Cosmo Francesco Ruppi?', 'Which religious doctrine does Cosmo Francesco Ruppi subscribe to?', 'What theology is Cosmo Francesco Ruppi aligned with?', 'What is the religious identity of Cosmo Francesco Ruppi?', 'What belief system does Cosmo Francesco Ruppi ascribe to?', 'What religious school of thought does Cosmo Francesco Ruppi follow?', ""What is Cosmo Francesco Ruppi's spirituality?"", 'What is the religious allegiance of Cosmo Francesco Ruppi?']",196040,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0]",,"[1.0, 0.6666666666666666, 1.0, 0.4, 0.6666666666666666, 0.4444444444444444, 1.0, 0.6666666666666666, 0, 0.4]","[0.0, 0.0, 0.21589949892141394, 0.16233741569251725, 0.0, 0.7591560897375649, 0.2223312301924063, 0.0, 0.06573096913092168, 0.6010858823498706]","[1.0, 1.0, 0.45474094, 0.5864123, 1.0, 0.029223626, 0.31409904, 1.0, 0.83404654, 5.162149e-05]"
11186,Angelo Maria Rivato,religion,Catholic Church,1756110,106,2918816,[],"[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q536175,http://www.wikidata.org/entity/Q9592,Angelo Maria Rivato,Catholic Church,44,195995,What is the religion of Angelo Maria Rivato?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Angelo Maria Rivato?', 'What faith does Angelo Maria Rivato follow?', 'What is the religious affiliation of Angelo Maria Rivato?', 'Which religious doctrine does Angelo Maria Rivato subscribe to?', 'What theology is Angelo Maria Rivato aligned with?', 'What is the religious identity of Angelo Maria Rivato?', 'What belief system does Angelo Maria Rivato ascribe to?', 'What religious school of thought does Angelo Maria Rivato follow?', ""What is Angelo Maria Rivato's spirituality?"", 'What is the religious allegiance of Angelo Maria Rivato?']",196039,"[1, 0, 1, 1, 0, 0, 0, 0, 0, 1]",,"[1.0, 0.4, 1.0, 1.0, 0, 0.5, 0.4, 0, 0, 1.0]","[0.0, 0.7352206660844218, 0.10882135781393887, 0.21992138009504317, 0.7342237126461892, 0.5293064217281904, 0.09701985003986746, 0.05952260843990755, 0.0, 0.06981298159632458]","[1.0, 0.011668862, 0.7462956, 0.18435533, 0.0062164553, 0.018744841, 0.7391713, 0.85129464, 1.0, 0.8381856]"
11338,Benjamin Marc Ramaroson,religion,Catholic Church,1076672,106,2918816,[],"[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q328166,http://www.wikidata.org/entity/Q9592,Benjamin Marc Ramaroson,Catholic Church,38,195995,What is the religion of Benjamin Marc Ramaroson?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Benjamin Marc Ramaroson?', 'What faith does Benjamin Marc Ramaroson follow?', 'What is the religious affiliation of Benjamin Marc Ramaroson?', 'Which religious doctrine does Benjamin Marc Ramaroson subscribe to?', 'What theology is Benjamin Marc Ramaroson aligned with?', 'What is the religious identity of Benjamin Marc Ramaroson?', 'What belief system does Benjamin Marc Ramaroson ascribe to?', 'What religious school of thought does Benjamin Marc Ramaroson follow?', ""What is Benjamin Marc Ramaroson's spirituality?"", 'What is the religious allegiance of Benjamin Marc Ramaroson?']",196033,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 0.4, 0.4444444444444444, 0.4, 0.33333333333333337, 0.8, 0.4, 0, 0, 0.4]","[0.12703384088909603, 0.12467992438240207, 0.6632446129740127, 0.04152294549503339, 0.29840803300429863, 0.09653201057029567, 0.04152294549503339, 0.0493880042726673, 0.0, 0.12418027747015291]","[0.62734276, 0.637349, 0.030652003, 0.89912134, 0.110662125, 0.094010174, 0.89912134, 0.8785922, 1.0, 0.63943624]"
11183,Bellino Giusto Ghirard,religion,Catholic Church,2827471,106,2918816,[],"[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q815990,http://www.wikidata.org/entity/Q9592,Bellino Giusto Ghirard,Catholic Church,37,195995,What is the religion of Bellino Giusto Ghirard?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Bellino Giusto Ghirard?', 'What faith does Bellino Giusto Ghirard follow?', 'What is the religious affiliation of Bellino Giusto Ghirard?', 'Which religious doctrine does Bellino Giusto Ghirard subscribe to?', 'What theology is Bellino Giusto Ghirard aligned with?', 'What is the religious identity of Bellino Giusto Ghirard?', 'What belief system does Bellino Giusto Ghirard ascribe to?', 'What religious school of thought does Bellino Giusto Ghirard follow?', ""What is Bellino Giusto Ghirard's spirituality?"", 'What is the religious allegiance of Bellino Giusto Ghirard?']",196032,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",,"[1.0, 0.6666666666666666, 0.6666666666666666, 1.0, 0.6666666666666666, 0.6666666666666666, 0, 0, 0.4, 0.4444444444444444]","[0.0, 0.0, 0.0, 0.2172053574598719, 0.11905726056869918, 0.0, 0.0937946739116032, 0.0, 0.6336952097406674, 0.47558523574208844]","[1.0, 1.0, 1.0, 0.16100311, 0.6601723, 1.0, 0.749707, 1.0, 0.061739605, 0.09414125]"
11317,Pedro Lisímaco de Jesús Vílchez Vílchez,religion,Catholic Church,725359,106,2918816,"[""Pedro Lisimaco de Jesus Vilchez Vilchez""]","[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q2066604,http://www.wikidata.org/entity/Q9592,Pedro Lisímaco de Jesús Vílchez Vílchez,Catholic Church,28,195995,What is the religion of Pedro Lisímaco de Jesús Vílchez Vílchez?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Pedro Lisímaco de Jesús Vílchez Vílchez?', 'What faith does Pedro Lisímaco de Jesús Vílchez Vílchez follow?', 'What is the religious affiliation of Pedro Lisímaco de Jesús Vílchez Vílchez?', 'Which religious doctrine does Pedro Lisímaco de Jesús Vílchez Vílchez subscribe to?', 'What theology is Pedro Lisímaco de Jesús Vílchez Vílchez aligned with?', 'What is the religious identity of Pedro Lisímaco de Jesús Vílchez Vílchez?', 'What belief system does Pedro Lisímaco de Jesús Vílchez Vílchez ascribe to?', 'What religious school of thought does Pedro Lisímaco de Jesús Vílchez Vílchez follow?', ""What is Pedro Lisímaco de Jesús Vílchez Vílchez's spirituality?"", 'What is the religious allegiance of Pedro Lisímaco de Jesús Vílchez Vílchez?']",196023,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 1.0, 0.4444444444444444, 0.4, 0, 0.4444444444444444, 0, 0, 0, 0.4]","[0.028189106037124698, 0.18158595391678548, 0.3753671855957901, 0.04834612587796018, 0.0, 0.6670423693242149, 0.23418719651689698, 0.1306857614686486, 0.11305369534696968, 0.563607646468417]","[0.93278056, 0.17182763, 0.25739092, 0.88134295, 1.0, 0.0002173806, 0.34387243, 0.16958925, 0.68313754, 0.09050624]"
11184,Heinrich Fasching,religion,Catholic Church,2870317,106,2918816,[],"[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q89160,http://www.wikidata.org/entity/Q9592,Heinrich Fasching,Catholic Church,20,195995,What is the religion of Heinrich Fasching?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Heinrich Fasching?', 'What faith does Heinrich Fasching follow?', 'What is the religious affiliation of Heinrich Fasching?', 'Which religious doctrine does Heinrich Fasching subscribe to?', 'What theology is Heinrich Fasching aligned with?', 'What is the religious identity of Heinrich Fasching?', 'What belief system does Heinrich Fasching ascribe to?', 'What religious school of thought does Heinrich Fasching follow?', ""What is Heinrich Fasching's spirituality?"", 'What is the religious allegiance of Heinrich Fasching?']",196015,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 0.33333333333333337, 1.0, 0.4, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0, 0, 0.33333333333333337]","[0.0, 0.4124574873389475, 0.08976913640774045, 0.10619258513375333, 0.1958306764822776, 0.48183601526305897, 0.40737784613047395, 0.13893614122732773, 0.1562185377901241, 0.21818073213727948]","[1.0, 0.24949814, 0.7927487, 0.70794326, 0.5225377, 0.11394901, 0.06483354, 0.571129, 0.44810408, 0.276992]"
11353,Ecclesiastical Statistics,religion,Catholic Church,1739573,106,2918816,[],"[""Roman Catholic Church"",""Church"",""Roman Apostolic Catholic Church""]",http://www.wikidata.org/entity/Q5332261,http://www.wikidata.org/entity/Q9592,Ecclesiastical statistics,Catholic Church,3,195995,What is the religion of Ecclesiastical Statistics?,"[""Catholic Church"", ""Roman Catholic Church"", ""Church"", ""Roman Apostolic Catholic Church""]","['What is the religion of Ecclesiastical Statistics?', 'What faith does Ecclesiastical Statistics follow?', 'What is the religious affiliation of Ecclesiastical Statistics?', 'Which religious doctrine does Ecclesiastical Statistics subscribe to?', 'What theology is Ecclesiastical Statistics aligned with?', 'What is the religious identity of Ecclesiastical Statistics?', 'What belief system does Ecclesiastical Statistics ascribe to?', 'What religious school of thought does Ecclesiastical Statistics follow?', ""What is Ecclesiastical Statistics's spirituality?"", 'What is the religious allegiance of Ecclesiastical Statistics?']",195998,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0, 0.5, 0, 0, 0.25, 0, 0, 0, 0]","[0.15066740895188546, 0.0, 0.15723810920448947, 0.0, 0.0, 0.4256389668826164, 0.0, 0.0, 0.0, 0.0]","[0.2509128, 1.0, 0.43526146, 1.0, 1.0, 0.13943362, 1.0, 1.0, 1.0, 1.0]"
11182,Brigham Young University,religion,The Church of Jesus Christ of Latter-day Saints,1092828,106,1290128,"[""BYU"",""The Y""]","[""Church of Jesus Christ of Latter-day Saints"",""Church of Jesus Christ"",""Latter-day Saints Church"",""LDS Church"",""Mormon Church""]",http://www.wikidata.org/entity/Q332498,http://www.wikidata.org/entity/Q42504,Brigham Young University,The Church of Jesus Christ of Latter-day Saints,56504,132761,What is the religion of Brigham Young University?,"[""The Church of Jesus Christ of Latter-day Saints"", ""Church of Jesus Christ of Latter-day Saints"", ""Church of Jesus Christ"", ""Latter-day Saints Church"", ""LDS Church"", ""Mormon Church""]","['What is the religion of Brigham Young University?', 'What faith does Brigham Young University follow?', 'What is the religious affiliation of Brigham Young University?', 'Which religious doctrine does Brigham Young University subscribe to?', 'What theology is Brigham Young University aligned with?', 'What is the religious identity of Brigham Young University?', 'What belief system does Brigham Young University ascribe to?', 'What religious school of thought does Brigham Young University follow?', ""What is Brigham Young University's spirituality?"", 'What is the religious allegiance of Brigham Young University?']",189265,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
