Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
8564,The Constant,screenwriter,Damon Lindelof,27002,533,1023448,[],"[""Damon Laurence Lindelof""]",http://www.wikidata.org/entity/Q1050310,http://www.wikidata.org/entity/Q310556,The Constant,Damon Lindelof,2448,23687,Who was the screenwriter for The Constant?,"[""Damon Lindelof"", ""Damon Laurence Lindelof"", ""Carlton Cuse"", ""Arthur Carlton Cuse""]","['Who was the screenwriter for The Constant?', 'Who wrote the screenplay for The Constant?', 'Who was the scribe of the screenplay in The Constant?', ""Who took on the role of crafting The Constant's script?"", 'Who was responsible for composing the screenplay of The Constant?', 'Who was the wordsmith behind the screenplay of The Constant?', 'Who penned the script for The Constant?', 'Who authored the screenplay of The Constant?', ""Who was the primary influencer in shaping The Constant's screenplay composition?"", ""Who scripted The Constant's story?""]",26135,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.21098780653141191, 0.6871097337559882, 0.818409544259186, 0.7174890657735165, 0.6913449282592999, 0.28628650052654736, 0.516240919238506, 0.32224462152229355, 0.6191961308732091, 0.358513076340213]","[0.21779436, 0.0082225045, 0.014760251, 0.0025776885, 0.009615998, 0.1436529, 0.025792515, 0.047111902, 0.016607927, 0.083860226]"
9275,Ever After,screenwriter,Andy Tennant,2059559,533,1711036,[],"[""Andrew Wellman Tennant""]",http://www.wikidata.org/entity/Q619374,http://www.wikidata.org/entity/Q527862,Ever After,Andy Tennant,21937,4146,Who was the screenwriter for Ever After?,"[""Susannah Grant"", ""Andy Tennant"", ""Andrew Wellman Tennant""]","['Who was the screenwriter for Ever After?', 'Who wrote the screenplay for Ever After?', 'Who was the scribe of the screenplay in Ever After?', ""Who took on the role of crafting Ever After's script?"", 'Who was responsible for composing the screenplay of Ever After?', 'Who was the wordsmith behind the screenplay of Ever After?', 'Who penned the script for Ever After?', 'Who authored the screenplay of Ever After?', ""Who was the primary influencer in shaping Ever After's screenplay composition?"", ""Who scripted Ever After's story?""]",26083,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5714285714285715]","[0.7815257040462065, 0.7936582027659878, 0.43626540735189023, 0.31267716773279003, 0.41064957262479584, 0.48991313560601074, 0.8180165118055094, 1.044058795615783, 1.1124019433190382, 0.6836231444960041]","[0.0022309707, 0.00106698, 0.10406142, 0.09524556, 0.0048447084, 0.040578764, 0.033283453, 0.00018958883, 0.00139435, 0.063943036]"
8437,Parker,screenwriter,Donald E. Westlake,1241297,533,1768512,[],"[""John B. Allan"",""Judson Jack Carmichael"",""Curt Clark"",""Timothy J. Culver"",""J. Morgan Cunningham"",""Richard Stark"",""Edwin West"",""Tucker Coe"",""Sheldon Lord"",""Donald Edwin Westlake""]",http://www.wikidata.org/entity/Q3896119,http://www.wikidata.org/entity/Q538508,Parker (2013 film),Donald E. Westlake,19134,6935,Who was the screenwriter for Parker?,"[""Donald E. Westlake"", ""John B. Allan"", ""Judson Jack Carmichael"", ""Curt Clark"", ""Timothy J. Culver"", ""J. Morgan Cunningham"", ""Richard Stark"", ""Edwin West"", ""Tucker Coe"", ""Sheldon Lord"", ""Donald Edwin Westlake""]","['Who was the screenwriter for Parker?', 'Who wrote the screenplay for Parker?', 'Who was the scribe of the screenplay in Parker?', ""Who took on the role of crafting Parker's script?"", 'Who was responsible for composing the screenplay of Parker?', 'Who was the wordsmith behind the screenplay of Parker?', 'Who penned the script for Parker?', 'Who authored the screenplay of Parker?', ""Who was the primary influencer in shaping Parker's screenplay composition?"", ""Who scripted Parker's story?""]",26069,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",,"[0, 0.8571428571428571, 0.6666666666666666, 0, 0.8571428571428571, 1.0, 0, 0.7499999999999999, 0, 0.5714285714285715]","[0.7540535871654865, 0.37807136246302586, 0.45605615432877533, 0.7889194756468293, 0.5157558384919338, 0.20181071211217128, 0.8287562461301815, 0.4695921870771318, 0.7459938766099512, 0.4225490205425775]","[0.0037102792, 0.2563617, 0.042285625, 0.009505712, 0.11409665, 0.4321922, 0.0018327041, 0.15715049, 0.028877748, 0.21610454]"
9734,The Incident,screenwriter,Damon Lindelof,2716074,533,1023448,[],"[""Damon Laurence Lindelof""]",http://www.wikidata.org/entity/Q785465,http://www.wikidata.org/entity/Q310556,The Incident (Lost),Damon Lindelof,2362,23687,Who was the screenwriter for The Incident?,"[""Damon Lindelof"", ""Damon Laurence Lindelof"", ""Carlton Cuse"", ""Arthur Carlton Cuse""]","['Who was the screenwriter for The Incident?', 'Who wrote the screenplay for The Incident?', 'Who was the scribe of the screenplay in The Incident?', ""Who took on the role of crafting The Incident's script?"", 'Who was responsible for composing the screenplay of The Incident?', 'Who was the wordsmith behind the screenplay of The Incident?', 'Who penned the script for The Incident?', 'Who authored the screenplay of The Incident?', ""Who was the primary influencer in shaping The Incident's screenplay composition?"", ""Who scripted The Incident's story?""]",26049,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.20227242882762944, 0.7502298903324474, 0.46596722432025234, 0.478198936020615, 0.31240532615691574, 0.3701132752467476, 0.714909820691258, 0.5796379771616074, 0.5239175754398497, 0.8494759375449515]","[0.16144453, 0.00043021134, 0.05592769, 0.062614664, 0.08649427, 0.017163388, 0.015002203, 0.035089016, 0.053455077, 0.02352129]"
9429,Memories,screenwriter,Katsuhiro Otomo,1898126,533,1215420,[],"[""Katsuhiro \u014ctomo""]",http://www.wikidata.org/entity/Q564403,http://www.wikidata.org/entity/Q378710,Memories (1995 film),Katsuhiro Otomo,12387,13536,Who was the screenwriter for Memories?,"[""Satoshi Kon"", ""Katsuhiro Otomo"", ""Katsuhiro Ōtomo""]","['Who was the screenwriter for Memories?', 'Who wrote the screenplay for Memories?', 'Who was the scribe of the screenplay in Memories?', ""Who took on the role of crafting Memories's script?"", 'Who was responsible for composing the screenplay of Memories?', 'Who was the wordsmith behind the screenplay of Memories?', 'Who penned the script for Memories?', 'Who authored the screenplay of Memories?', ""Who was the primary influencer in shaping Memories's screenplay composition?"", ""Who scripted Memories's story?""]",25923,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.15865812369737192, 0.6842097429221996, 0.2596180515257596, 0.6240304657960505, 0.9052922185556367, 0.31395466528528904, 0.7029922717325463, 0.6603182581513933, 0.1489799757979644, 0.5589250681911191]","[0.32537737, 0.05175061, 0.3138961, 0.03093801, 0.0123135485, 0.18046114, 0.007653498, 0.00941238, 0.24125119, 0.034069058]"
10021,The Plumber,screenwriter,Peter Weir,1094536,533,1849386,"[""Plumber""]","[""Peter Lindsay Weir""]",http://www.wikidata.org/entity/Q3331431,http://www.wikidata.org/entity/Q55424,The Plumber (1979 film),Peter Weir,1502,24259,Who was the screenwriter for The Plumber?,"[""Peter Weir"", ""Peter Lindsay Weir""]","['Who was the screenwriter for The Plumber?', 'Who wrote the screenplay for The Plumber?', 'Who was the scribe of the screenplay in The Plumber?', ""Who took on the role of crafting The Plumber's script?"", 'Who was responsible for composing the screenplay of The Plumber?', 'Who was the wordsmith behind the screenplay of The Plumber?', 'Who penned the script for The Plumber?', 'Who authored the screenplay of The Plumber?', ""Who was the primary influencer in shaping The Plumber's screenplay composition?"", ""Who scripted The Plumber's story?""]",25761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.4444444444444445, 0, 0, 0.3333333333333333, 0, 0.5, 0.4, 0, 0]","[0.6372462914476397, 0.8245654502355996, 0.6420485772315535, 0.8896603690115099, 0.6419835259806809, 0.5664966162763732, 0.5917532690333179, 0.7617856907010668, 0.282165213668385, 0.2478497702203963]","[0.008196605, 0.024929222, 0.04116442, 0.0007677681, 0.004452908, 0.015500707, 0.05281445, 0.013061227, 0.3052663, 0.037612356]"
8227,Without,screenwriter,Mark Jackson,1166381,533,183162,[],"[""Mark Arrol Jackson"",""Action Jackson""]",http://www.wikidata.org/entity/Q3569501,http://www.wikidata.org/entity/Q1342300,Without (film),Mark Jackson,2413,23159,Who was the screenwriter for Without?,"[""Mark Jackson"", ""Mark Arrol Jackson"", ""Action Jackson""]","['Who was the screenwriter for Without?', 'Who wrote the screenplay for Without?', 'Who was the scribe of the screenplay in Without?', ""Who took on the role of crafting Without's script?"", 'Who was responsible for composing the screenplay of Without?', 'Who was the wordsmith behind the screenplay of Without?', 'Who penned the script for Without?', 'Who authored the screenplay of Without?', ""Who was the primary influencer in shaping Without's screenplay composition?"", ""Who scripted Without's story?""]",25572,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1.0456627674778514, 0.7057860801340265, 0.28766474199450315, 0.3040016302132378, 0.2774498535589347, 0.3174756283270924, 0.3123098707781099, 0.651573374854104, 0.4212416209610354, 0.9676561347814884]","[0.0025042973, 0.000709961, 0.35235223, 0.04510339, 0.14308196, 0.27754572, 0.16429338, 0.005971597, 0.1332679, 8.210602e-05]"
9002,A.D.,screenwriter,Anthony Burgess,931935,533,756044,"[""AD"",""A D"",""A. D.""]","[""John Anthony Burgess Wilson"",""John Burgess Wilson"",""Joseph Kell""]",http://www.wikidata.org/entity/Q278193,http://www.wikidata.org/entity/Q217619,A.D. (miniseries),Anthony Burgess,1463,24098,Who was the screenwriter for A.D.?,"[""Anthony Burgess"", ""John Anthony Burgess Wilson"", ""John Burgess Wilson"", ""Joseph Kell""]","['Who was the screenwriter for A.D.?', 'Who wrote the screenplay for A.D.?', 'Who was the scribe of the screenplay in A.D.?', ""Who took on the role of crafting A.D.'s script?"", 'Who was responsible for composing the screenplay of A.D.?', 'Who was the wordsmith behind the screenplay of A.D.?', 'Who penned the script for A.D.?', 'Who authored the screenplay of A.D.?', ""Who was the primary influencer in shaping A.D.'s screenplay composition?"", ""Who scripted A.D.'s story?""]",25561,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.2895869804008253, 0.6581473112024484, 0.7205235519398723, 0.319642268162544, 0.7803157310838587, 0.3195041508817753, 0.172666892582104, 0.6316372056239828, 0.10466133693473302, 0.9032017464673369]","[0.14332533, 0.0093081705, 0.006488081, 0.025681915, 0.00315417, 0.13251658, 0.58947426, 0.0049881525, 0.71329856, 0.0039420566]"
8917,The Pilot,screenwriter,David Crane,2931671,533,1101728,"[""The One Where it All Began"",""The One Where Monica Gets a New Roommate"",""The First One"",""Friends pilot""]",[],http://www.wikidata.org/entity/Q977804,http://www.wikidata.org/entity/Q335672,The Pilot (Friends),David Crane (producer),7456,18103,Who was the screenwriter for The Pilot?,"[""Marta Kauffman"", ""Marta Fran Kauffman"", ""David Crane""]","['Who was the screenwriter for The Pilot?', 'Who wrote the screenplay for The Pilot?', 'Who was the scribe of the screenplay in The Pilot?', ""Who took on the role of crafting The Pilot's script?"", 'Who was responsible for composing the screenplay of The Pilot?', 'Who was the wordsmith behind the screenplay of The Pilot?', 'Who penned the script for The Pilot?', 'Who authored the screenplay of The Pilot?', ""Who was the primary influencer in shaping The Pilot's screenplay composition?"", ""Who scripted The Pilot's story?""]",25559,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5433560848495633, 0.21595545736896632, 0.8556568254337539, 0.197259742721053, 0.7798962675745134, 0.24627611222048076, 0.9033446651164327, 0.3631454444561262, 0.7477818258263879, 0.6210598386027129]","[0.08799027, 0.28415015, 0.008273164, 0.069346614, 0.0005381433, 0.2816848, 0.0022558256, 0.15931922, 0.01693503, 0.011666235]"
8774,The Commitments,screenwriter,Dick Clement,2153804,533,2384621,"[""Commitments""]",[],http://www.wikidata.org/entity/Q644065,http://www.wikidata.org/entity/Q711682,The Commitments (film),Dick Clement,21912,3532,Who was the screenwriter for The Commitments?,"[""Ian La Frenais"", ""Dick Clement"", ""Roddy Doyle"", ""Ruaidhrí Ó Dúill"", ""Ruaidhri O Duill""]","['Who was the screenwriter for The Commitments?', 'Who wrote the screenplay for The Commitments?', 'Who was the scribe of the screenplay in The Commitments?', ""Who took on the role of crafting The Commitments's script?"", 'Who was responsible for composing the screenplay of The Commitments?', 'Who was the wordsmith behind the screenplay of The Commitments?', 'Who penned the script for The Commitments?', 'Who authored the screenplay of The Commitments?', ""Who was the primary influencer in shaping The Commitments's screenplay composition?"", ""Who scripted The Commitments's story?""]",25444,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",,"[0.5714285714285715, 1.0, 1.0, 0.5, 0.5, 0.5714285714285715, 0.6666666666666666, 0.5714285714285715, 0.5714285714285715, 0.5]","[0.6328416304466065, 0.15366460981252741, 0.15611389124937886, 0.4986399761643651, 0.5200542379252413, 0.680215565814914, 0.5472783969521771, 0.4879397267561787, 0.65147809875217, 0.5771995535795232]","[0.01328078, 0.27099463, 0.29205668, 0.02348508, 0.025076505, 0.006878748, 0.12203174, 0.04443165, 0.052488852, 0.03374959]"
