Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
11900,Mr. Olympia,sport,bodybuilding,914444,560,136168,[],"[""body building"",""body-building""]",http://www.wikidata.org/entity/Q271725,http://www.wikidata.org/entity/Q124100,Mr. Olympia,Bodybuilding,316448,38685,What sport does Mr. Olympia play?,"[""bodybuilding"", ""body building"", ""body-building""]","['What sport does Mr. Olympia play?', 'What athletic activity does Mr. Olympia participate in?', 'What game does Mr. Olympia compete in?', 'What field of sports is Mr. Olympia involved with?', 'Which athletic endeavour does Mr. Olympia pursue?', 'What physical activity does Mr. Olympia perform as a sport?', 'What recreational sport does Mr. Olympia enjoy?', 'What sport does Mr. Olympia enjoy playing?', 'What professional sport does Mr. Olympia play?', 'What game does Mr. Olympia actively participate in?']",355133,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 1]",,"[0.33333333333333337, 1.0, 0.33333333333333337, 1.0, 0.33333333333333337, 0.25, 1.0, 1.0, 0.2857142857142857, 1.0]","[0.4944277542471093, 0.12565605463451854, 0.4872984122414252, 0.11915658732184904, 0.8107912951882438, 0.6648103809588677, 0.15366460981252741, 0.1452627368590318, 0.7633247470844489, 0.12944596438147657]","[0.057761844, 0.15542015, 0.015919657, 0.13908435, 0.009070103, 0.0022662156, 0.27099463, 0.22270013, 0.001405306, 0.16595344]"
11850,James Rodríguez,sport,association football,1189196,560,920845,"[""James Rodriguez"",""James David Rodriguez Rubio"",""James"",""James David Rodr\u00edguez Rubio""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q368441,http://www.wikidata.org/entity/Q2736,James Rodríguez,Association football,151571,197767,What sport does James Rodríguez play?,"[""association football"", ""football"", ""soccer""]","['What sport does James Rodríguez play?', 'What athletic activity does James Rodríguez participate in?', 'What game does James Rodríguez compete in?', 'What field of sports is James Rodríguez involved with?', 'Which athletic endeavour does James Rodríguez pursue?', 'What physical activity does James Rodríguez perform as a sport?', 'What recreational sport does James Rodríguez enjoy?', 'What sport does James Rodríguez enjoy playing?', 'What professional sport does James Rodríguez play?', 'What game does James Rodríguez actively participate in?']",349338,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0.19999999999999998, 0.25, 0, 0, 0.2857142857142857, 0.2857142857142857]","[0.48997736812068204, 0.5171347304370951, 0.5127863524771659, 0.61911010751527, 0.9563003523989689, 0.7560455702262323, 0.36841242211586767, 0.7531126950917202, 0.8881396892249654, 0.5830537746771631]","[0.05138476, 0.030236863, 0.021532867, 0.009958757, 0.00061674014, 0.00075826625, 0.117450655, 0.045621656, 0.00013789408, 0.052790243]"
11560,Atlético de Madrid,sport,association football,2858886,560,920845,"[""Club Atl\u00e9tico de Madrid, SAD"",""Atletico Madrid"",""Club Atl\u00e9tico de Madrid"",""Atletico"",""Atl\u00e9tico Madrid"",""El Atleti"",""ATM Football Club"",""Atletico of Madrid"",""Atleti de Madrid"",""ATM"",""Atl. de Madrid"",""The Atletico"",""ATM 1903""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q8701,http://www.wikidata.org/entity/Q2736,Atlético Madrid,Association football,144999,197767,What sport does Atlético de Madrid play?,"[""association football"", ""football"", ""soccer""]","['What sport does Atlético de Madrid play?', 'What athletic activity does Atlético de Madrid participate in?', 'What game does Atlético de Madrid compete in?', 'What field of sports is Atlético de Madrid involved with?', 'Which athletic endeavour does Atlético de Madrid pursue?', 'What physical activity does Atlético de Madrid perform as a sport?', 'What recreational sport does Atlético de Madrid enjoy?', 'What sport does Atlético de Madrid enjoy playing?', 'What professional sport does Atlético de Madrid play?', 'What game does Atlético de Madrid actively participate in?']",342766,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[1.0, 0.2857142857142857, 0.25, 0.19999999999999998, 0.2222222222222222, 0.33333333333333337, 0.2222222222222222, 0, 0.25, 0.33333333333333337]","[0.044832473722966816, 0.7934837200150471, 0.8726392830260012, 0.46273991992822855, 0.7183400132129533, 0.8979064010146467, 0.6142877911015124, 0.6710772814984385, 0.6998926651345213, 0.5556725481109112]","[0.8905482, 0.003891095, 9.007473e-05, 0.041697334, 0.0017638485, 0.002254501, 0.0015478792, 0.02302294, 0.008710077, 0.008041012]"
11546,David Coulthard,sport,Formula One,536924,560,692238,"[""David Marshall Coulthard"",""DC""]","[""FIA Formula One World Championship"",""F1"",""Formula 1""]",http://www.wikidata.org/entity/Q172832,http://www.wikidata.org/entity/Q1968,David Coulthard,Formula One,38271,237047,What sport does David Coulthard play?,"[""Formula One"", ""FIA Formula One World Championship"", ""F1"", ""Formula 1""]","['What sport does David Coulthard play?', 'What athletic activity does David Coulthard participate in?', 'What game does David Coulthard compete in?', 'What field of sports is David Coulthard involved with?', 'Which athletic endeavour does David Coulthard pursue?', 'What physical activity does David Coulthard perform as a sport?', 'What recreational sport does David Coulthard enjoy?', 'What sport does David Coulthard enjoy playing?', 'What professional sport does David Coulthard play?', 'What game does David Coulthard actively participate in?']",275318,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0.5, 0.4, 0.4444444444444445, 0.5714285714285715, 0.4, 0, 0.5714285714285715, 0.8, 0.5714285714285715]","[0.4879766646693185, 0.5673370155050014, 0.4150661900369212, 0.5283275999250996, 0.6127539955970146, 0.40572224453083583, 0.6955880974336451, 0.5400845078575284, 0.24070075190152945, 0.4617107893215151]","[0.11088206, 0.059814688, 0.035354923, 0.0048803873, 0.009712994, 0.04112533, 0.016284278, 0.064287655, 0.020948943, 0.017920054]"
11871,Scuderia Toro Rosso,sport,Formula One,229148,560,692238,"[""Toro Rosso"",""STR""]","[""FIA Formula One World Championship"",""F1"",""Formula 1""]",http://www.wikidata.org/entity/Q141818,http://www.wikidata.org/entity/Q1968,Scuderia Toro Rosso,Formula One,28559,237047,What sport does Scuderia Toro Rosso play?,"[""Formula One"", ""FIA Formula One World Championship"", ""F1"", ""Formula 1""]","['What sport does Scuderia Toro Rosso play?', 'What athletic activity does Scuderia Toro Rosso participate in?', 'What game does Scuderia Toro Rosso compete in?', 'What field of sports is Scuderia Toro Rosso involved with?', 'Which athletic endeavour does Scuderia Toro Rosso pursue?', 'What physical activity does Scuderia Toro Rosso perform as a sport?', 'What recreational sport does Scuderia Toro Rosso enjoy?', 'What sport does Scuderia Toro Rosso enjoy playing?', 'What professional sport does Scuderia Toro Rosso play?', 'What game does Scuderia Toro Rosso actively participate in?']",265606,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5714285714285715, 0.6666666666666666, 0.5, 0.4, 0.5, 0.4, 0, 0.5, 0.4, 0.5]","[0.38094306717658205, 0.5529730940223097, 0.6811251380493891, 0.861356350040353, 0.5278637138805956, 0.44578588262136526, 0.9053459304104281, 0.6435687418241822, 0.7258560132825066, 0.7958421313014934]","[0.026931334, 0.008432516, 0.0268135, 0.007524139, 0.10468358, 0.004295031, 0.00076742884, 0.018384932, 0.010176878, 0.00059227867]"
11819,Coventry City F.C.,sport,association football,681983,560,920845,"[""Coventry City Football Club"",""Coventry City FC"",""Coventry City"",""Coventry"",""City"",""CCFC"",""Sky Blues""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q19580,http://www.wikidata.org/entity/Q2736,Coventry City F.C.,Association football,50783,197767,What sport does Coventry City F.C. play?,"[""association football"", ""football"", ""soccer""]","['What sport does Coventry City F.C. play?', 'What athletic activity does Coventry City F.C. participate in?', 'What game does Coventry City F.C. compete in?', 'What field of sports is Coventry City F.C. involved with?', 'Which athletic endeavour does Coventry City F.C. pursue?', 'What physical activity does Coventry City F.C. perform as a sport?', 'What recreational sport does Coventry City F.C. enjoy?', 'What sport does Coventry City F.C. enjoy playing?', 'What professional sport does Coventry City F.C. play?', 'What game does Coventry City F.C. actively participate in?']",248550,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.2857142857142857, 0.2857142857142857, 0.25, 0.33333333333333337, 0.25, 0.2857142857142857, 0.33333333333333337, 0.25, 0.2857142857142857]","[0.7843277026804374, 0.48105896672972626, 0.8119486769895796, 0.6427797922209616, 0.8353057346843541, 0.47539584802113133, 0.9632274005094494, 0.7568610188364523, 0.7842548230718718, 0.72002478430037]","[0.01947913, 0.14312813, 0.0057164445, 0.005839599, 0.013828193, 0.121417984, 9.5136704e-05, 0.015844192, 0.0002515959, 0.0003901806]"
11399,Birmingham City F.C.,sport,association football,671344,560,920845,"[""Birmingham City Football Club"",""Birmingham City FC"",""Birmingham City"",""Birmingham"",""Blues"",""City"",""BCFC""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q19444,http://www.wikidata.org/entity/Q2736,Birmingham City F.C.,Association football,50643,197767,What sport does Birmingham City F.C. play?,"[""association football"", ""football"", ""soccer""]","['What sport does Birmingham City F.C. play?', 'What athletic activity does Birmingham City F.C. participate in?', 'What game does Birmingham City F.C. compete in?', 'What field of sports is Birmingham City F.C. involved with?', 'Which athletic endeavour does Birmingham City F.C. pursue?', 'What physical activity does Birmingham City F.C. perform as a sport?', 'What recreational sport does Birmingham City F.C. enjoy?', 'What sport does Birmingham City F.C. enjoy playing?', 'What professional sport does Birmingham City F.C. play?', 'What game does Birmingham City F.C. actively participate in?']",248410,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",,"[0.33333333333333337, 0.33333333333333337, 0.2222222222222222, 0.5, 0.25, 1.0, 0.2857142857142857, 0.25, 0.2857142857142857, 0.2857142857142857]","[0.5578985427127499, 0.7952643332001654, 0.5422816456660515, 0.680395880108237, 0.5805327376905658, 0.0958754906864512, 0.4766564690393098, 0.8780915013540539, 0.8368436750804227, 0.6997019257480722]","[0.02083855, 0.008348028, 0.005108084, 0.0015829571, 0.030197434, 0.092906944, 0.15285419, 0.0003050559, 0.013333408, 0.0034928217]"
11525,Los Angeles Galaxy,sport,association football,717927,560,920845,"[""LA Galaxy"",""Galaxy"",""L.A. Galaxy""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q204357,http://www.wikidata.org/entity/Q2736,LA Galaxy,Association football,49982,197767,What sport does Los Angeles Galaxy play?,"[""association football"", ""football"", ""soccer""]","['What sport does Los Angeles Galaxy play?', 'What athletic activity does Los Angeles Galaxy participate in?', 'What game does Los Angeles Galaxy compete in?', 'What field of sports is Los Angeles Galaxy involved with?', 'Which athletic endeavour does Los Angeles Galaxy pursue?', 'What physical activity does Los Angeles Galaxy perform as a sport?', 'What recreational sport does Los Angeles Galaxy enjoy?', 'What sport does Los Angeles Galaxy enjoy playing?', 'What professional sport does Los Angeles Galaxy play?', 'What game does Los Angeles Galaxy actively participate in?']",247749,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.33333333333333337, 0.2222222222222222, 0.33333333333333337, 0.2857142857142857, 0.2857142857142857, 0.33333333333333337, 0.2857142857142857, 0.33333333333333337, 0.4]","[0.5816019729118116, 0.6371408957679816, 0.36308397390065905, 0.6454586197261832, 0.9055121061882266, 0.7324674505564572, 0.7514930579164356, 0.5936393356982745, 0.9320021618948782, 0.8322843530198165]","[0.03261393, 0.0041967654, 0.060329862, 0.0013367657, 0.004509391, 0.004238686, 6.222674e-05, 0.0683625, 0.0010587806, 0.0033797459]"
11561,Jason Kidd,sport,basketball,764532,560,1762290,"[""Jason Frederick Kidd"",""Jason \""The\"" Kidd"",""J-Kidd"",""Ason Kidd"",""The Engine"",""Mr. Triple Double""]","[""hoops"",""b-ball"",""basket ball"",""BB"",""Basketball""]",http://www.wikidata.org/entity/Q221341,http://www.wikidata.org/entity/Q5372,Jason Kidd,Basketball,75179,149310,What sport does Jason Kidd play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]","['What sport does Jason Kidd play?', 'What athletic activity does Jason Kidd participate in?', 'What game does Jason Kidd compete in?', 'What field of sports is Jason Kidd involved with?', 'Which athletic endeavour does Jason Kidd pursue?', 'What physical activity does Jason Kidd perform as a sport?', 'What recreational sport does Jason Kidd enjoy?', 'What sport does Jason Kidd enjoy playing?', 'What professional sport does Jason Kidd play?', 'What game does Jason Kidd actively participate in?']",224489,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",,"[0.33333333333333337, 1.0, 0.33333333333333337, 0.2857142857142857, 0.25, 0.2857142857142857, 1.0, 0.2857142857142857, 0.2857142857142857, 0.25]","[0.4447863439392678, 0.11651192831654639, 0.7309171298807808, 0.7837793428480807, 0.7182558017081571, 0.4476554018813049, 0.1294458665006238, 0.5905697949942011, 0.6729985662996125, 0.5822707879435833]","[0.0362191, 0.13296424, 0.04820574, 0.0002134888, 0.009171222, 0.15299372, 0.16595316, 0.009195297, 0.003094566, 0.001240118]"
11616,Crease,sport,cricket,1655515,560,1763930,[],[],http://www.wikidata.org/entity/Q5183411,http://www.wikidata.org/entity/Q5375,Crease (cricket),Cricket,4202,220008,What sport does Crease play?,"[""cricket""]","['What sport does Crease play?', 'What athletic activity does Crease participate in?', 'What game does Crease compete in?', 'What field of sports is Crease involved with?', 'Which athletic endeavour does Crease pursue?', 'What physical activity does Crease perform as a sport?', 'What recreational sport does Crease enjoy?', 'What sport does Crease enjoy playing?', 'What professional sport does Crease play?', 'What game does Crease actively participate in?']",224210,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7815778771766195, 0.684552431085911, 0.7795740472643435, 0.5402061664997164, 0.47946484433470826, 0.13781499138548253, 0.5549524542442215, 0.5726746224249312, 0.8183231139015686, 0.6266538983391688]","[0.012875052, 0.02849706, 0.011359203, 0.0823041, 0.055806536, 0.19274166, 0.03142138, 0.05422165, 0.011492867, 0.005252305]"
