Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
11348,Byzantine Empire,religion,Eastern Orthodox Church,140600,106,1146203,"[""Byzantium"",""Eastern Roman Empire"",""Roman Empire"",""Romania"",""Lower Empire""]","[""Eastern Church"",""Orthodox Church"",""Orthodox Catholic Church"",""Greek Church"",""Eastern Orthodox communion"",""Church of the Seven Councils""]",http://www.wikidata.org/entity/Q12544,http://www.wikidata.org/entity/Q35032,Byzantine Empire,Eastern Orthodox Church,218905,115591,What is the religion of Byzantine Empire?,"[""Eastern Orthodox Church"", ""Eastern Church"", ""Orthodox Church"", ""Orthodox Catholic Church"", ""Greek Church"", ""Eastern Orthodox communion"", ""Church of the Seven Councils""]","['What is the religion of Byzantine Empire?', 'What faith does Byzantine Empire follow?', 'What is the religious affiliation of Byzantine Empire?', 'Which religious doctrine does Byzantine Empire subscribe to?', 'What theology is Byzantine Empire aligned with?', 'What is the religious identity of Byzantine Empire?', 'What belief system does Byzantine Empire ascribe to?', 'What religious school of thought does Byzantine Empire follow?', ""What is Byzantine Empire's spirituality?"", 'What is the religious allegiance of Byzantine Empire?']",334496,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",,"[1.0, 1.0, 0.3333333333333333, 0.25, 1.0, 0.5, 0.5, 0.5, 0.28571428571428575, 0.25]","[0.2107296664948464, 0.15894241830307707, 0.40234538786478324, 0.34651911903771254, 0.15146525450316348, 0.09821978214087629, 0.0736887526682432, 0.0736887526682432, 0.34651135065860134, 0.3089837918373982]","[0.26791328, 0.33111975, 0.00078937394, 0.18613905, 0.25583938, 0.7722454, 0.8112776, 0.8112776, 0.073380366, 0.3276507]"
11200,Lord's Prayer,religion,Christianity,798512,106,1582175,"[""Our Father"",""Pater noster"",""Model Prayer"",""Our father who art in Heaven"",""Lords prayer"",""Lord\u2019s Prayer"",""Pater Hemon"",""Prayer"",""Luke 11:2"",""Luke 11:3"",""Luke 11:4"",""The Lord's Prayer"",""Abbun d'bishmayya"",""The Lord\u2019s Prayer"",""The lords prayer"",""Paters"",""Give us this day our daily bread""]","[""Christian faith""]",http://www.wikidata.org/entity/Q23393,http://www.wikidata.org/entity/Q5043,Lord's Prayer,Christianity,119361,213455,What is the religion of Lord's Prayer?,"[""Christianity"", ""Christian faith""]","[""What is the religion of Lord's Prayer?"", ""What faith does Lord's Prayer follow?"", ""What is the religious affiliation of Lord's Prayer?"", ""Which religious doctrine does Lord's Prayer subscribe to?"", ""What theology is Lord's Prayer aligned with?"", ""What is the religious identity of Lord's Prayer?"", ""What belief system does Lord's Prayer ascribe to?"", ""What religious school of thought does Lord's Prayer follow?"", ""What is Lord's Prayer's spirituality?"", ""What is the religious allegiance of Lord's Prayer?""]",332816,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1688531653387855, 0.0, 0.6164344810086876, 0.0, 0.4417973660692758, 0.36999403498026623, 0.0, 0.04483240506700447, 0.3093969338802852, 0.09625960102826447]","[0.088107966, 1.0, 0.05447209, 1.0, 0.00044471046, 0.17526221, 1.0, 0.8905484, 0.10274784, 0.741674]"
11335,Aung San Suu Kyi,religion,Buddhism,1187406,106,2558565,"[""aung hcan: cu. krany"",""Daw Aung San Suu Kyi"",""Daw Suu"",""Amay Suu"",""Dr. Suu Kyi"",""Ms. Suu Kyi"",""Miss Suu Kyi"",""The lady""]","[""Buddha Dharma""]",http://www.wikidata.org/entity/Q36740,http://www.wikidata.org/entity/Q748,Aung San Suu Kyi,Buddhism,127882,202198,What is the religion of Aung San Suu Kyi?,"[""Buddhism"", ""Buddha Dharma""]","['What is the religion of Aung San Suu Kyi?', 'What faith does Aung San Suu Kyi follow?', 'What is the religious affiliation of Aung San Suu Kyi?', 'Which religious doctrine does Aung San Suu Kyi subscribe to?', 'What theology is Aung San Suu Kyi aligned with?', 'What is the religious identity of Aung San Suu Kyi?', 'What belief system does Aung San Suu Kyi ascribe to?', 'What religious school of thought does Aung San Suu Kyi follow?', ""What is Aung San Suu Kyi's spirituality?"", 'What is the religious allegiance of Aung San Suu Kyi?']",330080,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.07830634810099876, 0.0, 0.0, 0.03430896783606701, 0.0, 0.0, 0.03023070107016702, 0.029536187357210242]","[1.0, 1.0, 0.7976887, 1.0, 1.0, 0.9174999, 1.0, 1.0, 0.9277132, 0.9294404]"
11052,Rumi,religion,Islam,1301510,106,1299818,"[""Jal\u0101laudd\u012bna R\u016bm\u012b"",""\u01e6al\u0101ladd\u012bn R\u016bm\u012b"",""Dzhalaliddin Rumi"",""Jalalu\u02bcddin Rumi"",""Gial\u00e2l ad-D\u00een R\u00fbm\u00ee"",""Jal\u00e1lu-\u02bcd-\u02bcD\u00edn Muhammad i R\u00fam\u00ed"",""Dzhaloluddin Rumi"",""Cel\u00e2leddin R\u00fbm\u00ee"",""\u0176al\u0101l al-D\u012bn R\u016bm\u012b"",""Jal\u0101ludd\u012bn Balkh\u012b Rum\u012b"",""Jolalud-Din Rumi"",""Zhaloliddin Rumi\u012d"",""Jalaladdin Rumi"",""Dschelal-Eddin Rumi"",""Jal\u0101ludd\u012bn Mu\u1e25ammad Balkh\u012b R\u016bm\u012b"",""Rum"",""Jal\u0101l ad-D\u012bn ar-R\u016bm\u012b"",""Dschalaluddin Rumi"",""Jalal-ud-din Rumi"",""Jal\u00e1luddin Rumi"",""Jal\u0101l al-D\u012bn Mu\u1e25ammad ibn Mu\u1e25ammad Balkh\u012b"",""Jal\u0101ladd\u012bn R\u016bm\u012b"",""R\u016bm\u012b"",""Dzhaloluddin Balkhii Rumi"",""Dschelaleddin Rumi"",""Jalal-e Din Rumi"",""Jallal ed-Din Muhammad Balkhy"",""Mawlana Rumi"",""Jal\u0101l al-D\u012bn R\u016bm\u012b"",""Cel\u00e2leddin-i R\u00fbm\u00ee"",""Dschelaladdin Rumi"",""Mevl\u00e2na"",""Tzalalountin Roumi"",""Djal\u00e2l-od-D\u00een R\u00fbm\u00ee"",""Jaloliddin Rumiy"",""Mevlana Jal\u00e1luddin Rumi"",""Jelaluddin Rumi"",""Mowlavi"",""\u1e0ejal\u0101l al-D\u012bn R\u016bm\u012b"",""Mowlana"",""Mawlana"",""Maulana"",""Molavi"",""Mevlevi"",""Mawlawi"",""Mevlana"",""Jalal ad-Din Muhammad Balkhi"",""Gialal ad-Din Rumi"",""Celaleddin Rumi"",""Jalaluddin Rumi"",""Celaleddin-i Rumi"",""Djalal-od-Din Rumi"",""Mevlana Jalaluddin Rumi""]","[""Islamic religion"",""Mohammedanism"",""Muslim religion"",""al-\u2019isl\u0101m"",""religion of the Muslims""]",http://www.wikidata.org/entity/Q43347,http://www.wikidata.org/entity/Q432,Rumi,Islam,92800,233485,What is the religion of Rumi?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]","['What is the religion of Rumi?', 'What faith does Rumi follow?', 'What is the religious affiliation of Rumi?', 'Which religious doctrine does Rumi subscribe to?', 'What theology is Rumi aligned with?', 'What is the religious identity of Rumi?', 'What belief system does Rumi ascribe to?', 'What religious school of thought does Rumi follow?', ""What is Rumi's spirituality?"", 'What is the religious allegiance of Rumi?']",326285,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.2857142857142857, 0.33333333333333337, 0, 0, 0, 0, 0, 0.2857142857142857, 0]","[0.5180129051602881, 0.5494599324109167, 0.42437801023511307, 0.10137966766294773, 0.09219726263907958, 0.3606178346463391, 0.0659851195846041, 0.1105124195993098, 0.3538956250092591, 0.29104737844115985]","[0.03314333, 0.025658363, 0.0047520134, 0.7505296, 0.7548488, 0.15600924, 0.8333312, 0.7438551, 0.13909432, 0.27242172]"
11122,Peter,religion,Christianity,1112132,106,1582175,"[""Saint Peter"",""Simon Peter"",""Shimon"",""Simeon"",""Simon"",""Petrus"",""Peter the Apostle"",""Pope Peter"",""Saint Peter the Apostle""]","[""Christian faith""]",http://www.wikidata.org/entity/Q33923,http://www.wikidata.org/entity/Q5043,Saint Peter,Christianity,112141,213455,What is the religion of Peter?,"[""Christianity"", ""Christian faith""]","['What is the religion of Peter?', 'What faith does Peter follow?', 'What is the religious affiliation of Peter?', 'Which religious doctrine does Peter subscribe to?', 'What theology is Peter aligned with?', 'What is the religious identity of Peter?', 'What belief system does Peter ascribe to?', 'What religious school of thought does Peter follow?', ""What is Peter's spirituality?"", 'What is the religious allegiance of Peter?']",325596,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.4, 0, 0, 0, 0, 0, 0, 0, 0]","[0.34373919950074533, 0.7337475421780412, 0.24619554810177702, 0.0, 0.0740412904777325, 0.19833182139488995, 0.28598194264530064, 0.5204751576137271, 0.19552235805009469, 0.1947496077591209]","[0.25593865, 0.0045987517, 0.34802753, 1.0, 0.82618105, 0.19558159, 0.36391538, 0.04804156, 0.4542094, 0.34978503]"
11303,Alī ibn Abī Ṭālib,religion,Islam,1252986,106,1299818,"[""Ali"",""Lion of God"",""Al-Murtaza"",""Haydar"",""Father of the Soil"",""Abu Turab"",""Leader of the Faithful"",""Door of the City of Knowledge""]","[""Islamic religion"",""Mohammedanism"",""Muslim religion"",""al-\u2019isl\u0101m"",""religion of the Muslims""]",http://www.wikidata.org/entity/Q39619,http://www.wikidata.org/entity/Q432,Ali,Islam,90064,233485,What is the religion of Alī ibn Abī Ṭālib?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]","['What is the religion of Alī ibn Abī Ṭālib?', 'What faith does Alī ibn Abī Ṭālib follow?', 'What is the religious affiliation of Alī ibn Abī Ṭālib?', 'Which religious doctrine does Alī ibn Abī Ṭālib subscribe to?', 'What theology is Alī ibn Abī Ṭālib aligned with?', 'What is the religious identity of Alī ibn Abī Ṭālib?', 'What belief system does Alī ibn Abī Ṭālib ascribe to?', 'What religious school of thought does Alī ibn Abī Ṭālib follow?', ""What is Alī ibn Abī Ṭālib's spirituality?"", 'What is the religious allegiance of Alī ibn Abī Ṭālib?']",323549,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.2857142857142857, 0.2857142857142857, 0.2222222222222222, 0.2857142857142857, 0.25, 0.33333333333333337, 0.2857142857142857, 0.25, 0.25]","[0.39653971521318243, 0.7246607341587629, 0.4605672328249861, 0.43440165325768293, 0.27076476237296, 0.4411173225196183, 0.22794332487857932, 0.5088207164512858, 0.3846996365531775, 0.42637242204442766]","[0.07831372, 0.0022934552, 0.0034370525, 0.00029262138, 0.0006373465, 0.0910385, 0.15408435, 0.07174598, 0.01937746, 0.096181]"
11196,Jesus in Islam,religion,Islam,1647183,106,1299818,"[""Isa"",""Jesus"",""\u02bf\u012as\u0101 ibn Maryam""]","[""Islamic religion"",""Mohammedanism"",""Muslim religion"",""al-\u2019isl\u0101m"",""religion of the Muslims""]",http://www.wikidata.org/entity/Q51664,http://www.wikidata.org/entity/Q432,Jesus in Islam,Islam,78584,233485,What is the religion of Jesus in Islam?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]","['What is the religion of Jesus in Islam?', 'What faith does Jesus in Islam follow?', 'What is the religious affiliation of Jesus in Islam?', 'Which religious doctrine does Jesus in Islam subscribe to?', 'What theology is Jesus in Islam aligned with?', 'What is the religious identity of Jesus in Islam?', 'What belief system does Jesus in Islam ascribe to?', 'What religious school of thought does Jesus in Islam follow?', ""What is Jesus in Islam's spirituality?"", 'What is the religious allegiance of Jesus in Islam?']",312069,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.18181818181818182, 0.25, 0.2222222222222222, 0, 0.4, 0, 0.2222222222222222, 0.25, 0.18181818181818182, 0.25]","[0.7281911107409912, 0.6196314002234504, 0.5752495544918179, 0.6220088636937192, 0.6240628575345106, 0.5200473228483514, 0.48272567985996245, 0.3502856879196658, 0.35890048673827635, 0.44663053075320164]","[0.0030773375, 0.03164212, 0.030257316, 0.0022937614, 0.0015444523, 0.0020071957, 0.16460289, 0.00032109892, 0.0039059184, 0.006967284]"
11155,Rama,religion,Hinduism,364508,106,2881412,"[""Ram"",""Ramachandra"",""Ramchandra"",""Shri Ram"",""Lord Ram"",""Shri Ramchandra"",""R\u00e2ma""]","[""Hindu Dharma"",""Sanatan Dharma"",""Hindu religion"",""Hindoo dharam"",""\ud83d\uded5"",""\u0950""]",http://www.wikidata.org/entity/Q160213,http://www.wikidata.org/entity/Q9089,Rama,Hinduism,93777,215784,What is the religion of Rama?,"[""Hinduism"", ""Hindu Dharma"", ""Sanatan Dharma"", ""Hindu religion"", ""Hindoo dharam"", ""🛕"", ""ॐ"", ""Jainism"", ""nirgrantha"", ""Jain dharma"", ""Jainatva"", ""Jaina"", ""Jain mata"", ""Jaini"", ""Jainy"", ""jainas""]","['What is the religion of Rama?', 'What faith does Rama follow?', 'What is the religious affiliation of Rama?', 'Which religious doctrine does Rama subscribe to?', 'What theology is Rama aligned with?', 'What is the religious identity of Rama?', 'What belief system does Rama ascribe to?', 'What religious school of thought does Rama follow?', ""What is Rama's spirituality?"", 'What is the religious allegiance of Rama?']",309561,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.1015990668139832, 0.0, 0.020942620746983314, 0.06701989702332102, 0.0, 0.0, 0.03202931824717241, 0.037985659497892565]","[1.0, 1.0, 0.72383064, 1.0, 0.9505337, 0.830411, 1.0, 1.0, 0.92322403, 0.90818447]"
11067,Seventh-day Adventist Church,religion,Christianity,22120,106,1582175,"[""Seventh-day Adventism"",""SDA""]","[""Christian faith""]",http://www.wikidata.org/entity/Q104319,http://www.wikidata.org/entity/Q5043,Seventh-day Adventist Church,Christianity,95550,213455,What is the religion of Seventh-day Adventist Church?,"[""Christianity"", ""Christian faith""]","['What is the religion of Seventh-day Adventist Church?', 'What faith does Seventh-day Adventist Church follow?', 'What is the religious affiliation of Seventh-day Adventist Church?', 'Which religious doctrine does Seventh-day Adventist Church subscribe to?', 'What theology is Seventh-day Adventist Church aligned with?', 'What is the religious identity of Seventh-day Adventist Church?', 'What belief system does Seventh-day Adventist Church ascribe to?', 'What religious school of thought does Seventh-day Adventist Church follow?', ""What is Seventh-day Adventist Church's spirituality?"", 'What is the religious allegiance of Seventh-day Adventist Church?']",309005,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0.4, 0]","[0.07908451536839864, 0.05599334301259278, 0.20347099092163412, 0.04152294549503339, 0.3055461836926542, 0.2887107614743322, 0.021974835247384628, 0.0, 0.4525565576784022, 0.2540140440594021]","[0.8175389, 0.8609159, 0.10842262, 0.89912134, 0.31267476, 0.030162156, 0.9480264, 1.0, 0.038971618, 0.056669917]"
11140,Iman,religion,Islam,865177,106,1299818,"[""Iman Mohamed Abdulmajid"",""Imaan Mohammed Abdulmajiid"",""Iman Abdulmajid"",""Zara Mohamed Abdulmajid"",""Zara Maxamed Cabdulmajiid""]","[""Islamic religion"",""Mohammedanism"",""Muslim religion"",""al-\u2019isl\u0101m"",""religion of the Muslims""]",http://www.wikidata.org/entity/Q256531,http://www.wikidata.org/entity/Q432,Iman (model),Islam,75156,233485,What is the religion of Iman?,"[""Islam"", ""Islamic religion"", ""Mohammedanism"", ""Muslim religion"", ""al-’islām"", ""religion of the Muslims""]","['What is the religion of Iman?', 'What faith does Iman follow?', 'What is the religious affiliation of Iman?', 'Which religious doctrine does Iman subscribe to?', 'What theology is Iman aligned with?', 'What is the religious identity of Iman?', 'What belief system does Iman ascribe to?', 'What religious school of thought does Iman follow?', ""What is Iman's spirituality?"", 'What is the religious allegiance of Iman?']",308641,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.28571428571428575, 0.25, 0, 0.22222222222222224, 0.33333333333333337, 0.28571428571428575, 0.25, 0, 0.2857142857142857, 0.2857142857142857]","[0.42077892567967545, 0.6633014999254356, 0.7143580115521584, 0.5057941285158104, 0.36249091595095984, 0.4235195247639514, 0.772917875003609, 0.16400014467228563, 0.4636296481772205, 0.4298250240225261]","[0.079213105, 0.021327393, 0.0066593774, 0.008260026, 0.0037903013, 0.033786107, 0.010029483, 0.09467076, 0.083651334, 0.079921104]"
