Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
2370,Proof,genre,comedy-drama,1115960,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q3407500,http://www.wikidata.org/entity/Q859369,Proof (1991 film),Comedy-drama,2161,36819,What genre is Proof?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","['What category does Proof belong to?', 'What kind of classification does Proof fall under?', 'What type does Proof fall under?', 'What group does Proof fall under?', 'What kind does Proof fall under?', 'What class does Proof fall under?', 'What style can Proof be categorized into?', 'Which division does Proof come under?', 'In what bracket does Proof reside?', 'What domain does  Proof fit within?']",38980,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.28571428571428575, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4664089360135539, 0.5053473999295222, 0.45266598061725927, 0.4520658221782659, 0.4747773066698785, 0.4390673521029384, 0.8152799928225841, 0.34262042194662745, 0.3562553365664006, 0.4983925841325196]","[0.07954608, 0.07499537, 0.027033325, 0.021703241, 0.067594044, 0.07848455, 0.002546698, 0.04286259, 0.015446462, 0.027118148]"
1789,Romance,genre,art film,556002,91,79248,"[""Romance X""]","[""arthouse cinema"",""arthouse film""]",http://www.wikidata.org/entity/Q1752790,http://www.wikidata.org/entity/Q1135802,Romance (1999 film),Art film,17290,21650,What genre is Romance?,"[""art film"", ""arthouse cinema"", ""arthouse film""]","['What category does Romance belong to?', 'What kind of classification does Romance fall under?', 'What type does Romance fall under?', 'What group does Romance fall under?', 'What kind does Romance fall under?', 'What class does Romance fall under?', 'What style can Romance be categorized into?', 'Which division does Romance come under?', 'In what bracket does Romance reside?', 'What domain does  Romance fit within?']",38940,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.5, 0, 0, 0.5, 0, 0, 0, 0.5, 0.28571428571428575]","[0.4888845260261378, 0.14014140479602227, 0.4716928334850441, 0.2977472817106017, 0.15865816818905296, 0.2707754244929771, 0.33464029706089626, 0.5815113480190269, 0.08960537026387759, 0.5716600895686756]","[0.024849012, 0.5647381, 0.020430075, 0.14792326, 0.3253782, 0.13546115, 0.30228114, 0.0058669294, 0.76308966, 0.0033794397]"
2306,Paddy Boom,genre,glam rock,2387134,91,2606504,[],"[""glitter rock""]",http://www.wikidata.org/entity/Q7123406,http://www.wikidata.org/entity/Q76092,Paddy Boom,Glam rock,1833,37019,What genre is Paddy Boom?,"[""glam rock"", ""glitter rock""]","['What category does Paddy Boom belong to?', 'What kind of classification does Paddy Boom fall under?', 'What type does Paddy Boom fall under?', 'What group does Paddy Boom fall under?', 'What kind does Paddy Boom fall under?', 'What class does Paddy Boom fall under?', 'What style can Paddy Boom be categorized into?', 'Which division does Paddy Boom come under?', 'In what bracket does Paddy Boom reside?', 'What domain does  Paddy Boom fit within?']",38852,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0.28571428571428575, 0, 0, 0, 0]","[0.1912861924189238, 0.09230604469627494, 0.15723807872778114, 0.4634336151529329, 0.1446764380060292, 0.4359832608548581, 0.5153717759713328, 0.4932671247976441, 0.5517584626441623, 0.19707234846826244]","[0.16236626, 0.78553075, 0.43526188, 0.10604356, 0.5389832, 0.079507835, 0.011251368, 0.08532329, 0.05769498, 0.4238815]"
1250,The Killer,genre,crime film,904617,91,2919224,"[""Killer""]","[""crime movie""]",http://www.wikidata.org/entity/Q269326,http://www.wikidata.org/entity/Q959790,The Killer (1989 film),Crime film,10552,28275,What genre is The Killer?,"[""action film"", ""action movie"", ""film action"", ""movie action"", ""action"", ""crime film"", ""crime movie""]","['What category does The Killer belong to?', 'What kind of classification does The Killer fall under?', 'What type does The Killer fall under?', 'What group does The Killer fall under?', 'What kind does The Killer fall under?', 'What class does The Killer fall under?', 'What style can The Killer be categorized into?', 'Which division does The Killer come under?', 'In what bracket does The Killer reside?', 'What domain does  The Killer fit within?']",38827,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.25996707601069785, 0.23754133852409626, 0.47515886721627876, 0.0, 0.20928506797961793, 0.1982836569474844, 0.546397161986491, 0.31033658126233954, 0.30131206232905083, 0.31314971555254706]","[0.09546435, 0.19171499, 0.039570272, 1.0, 0.20812358, 0.18539892, 0.005017081, 0.11688247, 0.09797248, 0.22740611]"
1950,Cookie,genre,comedy film,74894,91,336148,[],"[""comedy movie""]",http://www.wikidata.org/entity/Q1129611,http://www.wikidata.org/entity/Q157443,Cookie (film),Comedy film,1989,36816,What genre is Cookie?,"[""comedy film"", ""comedy movie""]","['What category does Cookie belong to?', 'What kind of classification does Cookie fall under?', 'What type does Cookie fall under?', 'What group does Cookie fall under?', 'What kind does Cookie fall under?', 'What class does Cookie fall under?', 'What style can Cookie be categorized into?', 'Which division does Cookie come under?', 'In what bracket does Cookie reside?', 'What domain does  Cookie fit within?']",38805,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7333863942080463, 0.496315278171976, 0.6205313193794184, 0.6221899244731461, 0.6681231937294604, 0.7607336008570348, 0.646965227914566, 0.6390618423782909, 0.6757550538888882, 0.44401003890738144]","[0.030270552, 0.04004989, 0.0030741433, 0.069806986, 0.029969946, 0.0032985902, 0.047269154, 0.0036887222, 0.0016753972, 0.014713647]"
2471,So Fine,genre,comedy film,117309,91,336148,[],"[""comedy movie""]",http://www.wikidata.org/entity/Q1198326,http://www.wikidata.org/entity/Q157443,So Fine (film),Comedy film,1863,36816,What genre is So Fine?,"[""comedy film"", ""comedy movie""]","['What category does So Fine belong to?', 'What kind of classification does So Fine fall under?', 'What type does So Fine fall under?', 'What group does So Fine fall under?', 'What kind does So Fine fall under?', 'What class does So Fine fall under?', 'What style can So Fine be categorized into?', 'Which division does So Fine come under?', 'In what bracket does So Fine reside?', 'What domain does  So Fine fit within?']",38679,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.20203946172300707, 0.2826351340777129, 0.0, 0.4725100900737502, 0.0, 0.0, 0.30660722814936825, 0.1332614118956186, 0.19325080404570122, 0.04732130863781639]","[0.21152095, 0.14321932, 1.0, 0.038934525, 1.0, 1.0, 0.00788235, 0.6689221, 0.17202774, 0.8840391]"
1606,Happy Christmas,genre,comedy-drama,329748,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q15655770,http://www.wikidata.org/entity/Q859369,Happy Christmas (film),Comedy-drama,1716,36819,What genre is Happy Christmas?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","['What category does Happy Christmas belong to?', 'What kind of classification does Happy Christmas fall under?', 'What type does Happy Christmas fall under?', 'What group does Happy Christmas fall under?', 'What kind does Happy Christmas fall under?', 'What class does Happy Christmas fall under?', 'What style can Happy Christmas be categorized into?', 'Which division does Happy Christmas come under?', 'In what bracket does Happy Christmas reside?', 'What domain does  Happy Christmas fit within?']",38535,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0.28571428571428575, 0]","[0.17717026166927372, 0.0, 0.13297379062738932, 0.0, 0.12510891955726283, 0.11963458047433967, 0.5166511200613193, 0.0, 0.43480173277452416, 0.0]","[0.57989275, 1.0, 0.686862, 1.0, 0.7029107, 0.7224654, 0.019849323, 1.0, 0.06573825, 1.0]"
2261,Kill,genre,death metal,2486040,91,1473195,[],"[""Death Metal""]",http://www.wikidata.org/entity/Q732834,http://www.wikidata.org/entity/Q483251,Kill (Cannibal Corpse album),Death metal,3060,35455,What genre is Kill?,"[""death metal"", ""Death Metal""]","['What category does Kill belong to?', 'What kind of classification does Kill fall under?', 'What type does Kill fall under?', 'What group does Kill fall under?', 'What kind does Kill fall under?', 'What class does Kill fall under?', 'What style can Kill be categorized into?', 'Which division does Kill come under?', 'In what bracket does Kill reside?', 'What domain does  Kill fit within?']",38515,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.6299743990209383, 0.26342115663211063, 0.1279813402773368, 0.4123084007977311, 0.2626935508965325, 0.23574927606876234, 0.428693773981281, 0.2353154798838368, 0.22824555039726224, 0.17138098090472187]","[0.053249672, 0.22351934, 0.62322986, 0.08169374, 0.16859499, 0.19520493, 0.022663556, 0.22332747, 0.17440118, 0.5594716]"
1562,Mark Castillo,genre,metalcore,2249788,91,617331,"[""Mark Edward Castillo""]","[""metallic hardcore""]",http://www.wikidata.org/entity/Q6767027,http://www.wikidata.org/entity/Q183862,Mark Castillo,Metalcore,1249,37122,What genre is Mark Castillo?,"[""metalcore"", ""metallic hardcore""]","['What category does Mark Castillo belong to?', 'What kind of classification does Mark Castillo fall under?', 'What type does Mark Castillo fall under?', 'What group does Mark Castillo fall under?', 'What kind does Mark Castillo fall under?', 'What class does Mark Castillo fall under?', 'What style can Mark Castillo be categorized into?', 'Which division does Mark Castillo come under?', 'In what bracket does Mark Castillo reside?', 'What domain does  Mark Castillo fit within?']",38371,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.593871110904318, 0.4133731297928962, 0.5485089859625368, 0.3241355905705434, 0.4494667027437939, 0.8521498352045752, 0.6721749284016757, 0.22213663457206606, 0.28474529477119226, 0.14113870203645484]","[0.00320025, 0.017859563, 0.0031383976, 0.032762777, 0.047446188, 0.0031400188, 0.021586305, 0.13679186, 0.13040245, 0.20519012]"
1361,Nothing,genre,comedy-drama,896063,91,2852854,[],"[""dramedy"",""comedic drama"",""tragicomedy"",""seriocomedy"",""comedy drama"",""dramatic comedy"",""Comedy-drama, dramedy""]",http://www.wikidata.org/entity/Q2662206,http://www.wikidata.org/entity/Q859369,Nothing (film),Comedy-drama,1521,36819,What genre is Nothing?,"[""comedy-drama"", ""dramedy"", ""comedic drama"", ""tragicomedy"", ""seriocomedy"", ""comedy drama"", ""dramatic comedy"", ""Comedy-drama, dramedy""]","['What category does Nothing belong to?', 'What kind of classification does Nothing fall under?', 'What type does Nothing fall under?', 'What group does Nothing fall under?', 'What kind does Nothing fall under?', 'What class does Nothing fall under?', 'What style can Nothing be categorized into?', 'Which division does Nothing come under?', 'In what bracket does Nothing reside?', 'What domain does  Nothing fit within?']",38340,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4707010217128, 0.5785778982037655, 0.15778005870966322, 0.38625921822818715, 0.13751108359121497, 0.6438956512727394, 0.47572297595095736, 0.12693027178453403, 0.0806984946219697, 0.5115504407026519]","[0.07601594, 0.11594655, 0.31139272, 0.067618035, 0.5784818, 0.03593736, 0.002184263, 0.15886945, 0.7905303, 0.0071264333]"
