Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
13761,Northern Mariana Islands,capital,Saipan,441483,422,1647899,"[""MP"",""NMI"",""Commonwealth of the Northern Maria Islands"",""CNMI"",""\ud83c\uddf2\ud83c\uddf5"",""the Northern Mariana Islands"",""nmi"",""mp""]","[""Saipan, Northern Mariana Islands"",""Saipan Island""]",http://www.wikidata.org/entity/Q16644,http://www.wikidata.org/entity/Q51679,Northern Mariana Islands,Saipan,49174,35587,What is the capital of Northern Mariana Islands?,"[""Saipan"", ""Saipan, Northern Mariana Islands"", ""Saipan Island""]","['What is the capital of Northern Mariana Islands?', 'What is the primary city in Northern Mariana Islands?', 'Which urban center holds a central role in Northern Mariana Islands?', 'Which city houses the main government of Northern Mariana Islands?', 'What city is the main administrative center of Northern Mariana Islands?', 'What urban area holds the capital status of Northern Mariana Islands?', 'Which city is the political focal point of Northern Mariana Islands?', 'Which city is the primary seat of authority for Northern Mariana Islands?', 'What is the principal city of Northern Mariana Islands?', 'What is the chief city of Northern Mariana Islands?']",84761,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.4, 0.25, 0.5, 0.25, 0.4, 0.2857142857142857, 0.33333333333333337, 0.2857142857142857, 0.25, 0.33333333333333337]","[0.32061304009908936, 0.4080780211889939, 0.4879086365933042, 0.19532054960592454, 0.5726260503921409, 0.15165871913243578, 0.39692130422320715, 0.4503742370540597, 0.23113848891883648, 0.578586132913613]","[0.0016591613, 0.006295191, 8.232367e-05, 0.009018339, 0.0022351583, 0.0039998945, 0.00053743244, 0.03750204, 0.010574017, 8.100648e-05]"
14188,Kiribati,capital,South Tarawa,2376316,422,165611,"[""Republic of Kiribati"",""\ud83c\uddf0\ud83c\uddee"",""ki"",""KIR""]",[],http://www.wikidata.org/entity/Q710,http://www.wikidata.org/entity/Q131233,Kiribati,South Tarawa,80370,4215,What is the capital of Kiribati?,"[""South Tarawa""]","['What is the capital of Kiribati?', 'What is the primary city in Kiribati?', 'Which urban center holds a central role in Kiribati?', 'Which city houses the main government of Kiribati?', 'What city is the main administrative center of Kiribati?', 'What urban area holds the capital status of Kiribati?', 'Which city is the political focal point of Kiribati?', 'Which city is the primary seat of authority for Kiribati?', 'What is the principal city of Kiribati?', 'What is the chief city of Kiribati?']",84585,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.6666666666666666, 0.6666666666666666, 0, 0]","[0.42184799903643333, 0.18674147314685707, 0.5724653305458042, 0.36233657127120417, 0.1888280125804923, 0.4695188927885693, 0.3616797035965197, 0.40864197875587627, 0.5850889181716552, 0.6615541872499738]","[0.00024186511, 0.007882027, 0.003863682, 0.0003716648, 0.053814508, 0.00025448712, 0.00030471804, 0.0068431534, 0.0028621785, 2.853048e-05]"
14045,Union of South Africa,capital,Pretoria,666760,422,1247280,"[""Dominion of South Africa"",""USA"",""South Africa under Apartheid""]","[""Pretoria, S. Africa"",""Pretoria, S Africa"",""Pretoria, Gauteng, South Africa"",""Pretoria, Gauteng"",""Pretoria, South Africa"",""ePitoli""]",http://www.wikidata.org/entity/Q193619,http://www.wikidata.org/entity/Q3926,Union of South Africa,Pretoria,33473,50661,What is the capital of Union of South Africa?,"[""Pretoria"", ""Pretoria, S. Africa"", ""Pretoria, S Africa"", ""Pretoria, Gauteng, South Africa"", ""Pretoria, Gauteng"", ""Pretoria, South Africa"", ""ePitoli"", ""Cape Town"", ""Kaapstad"", ""iKapa"", ""Kaap"", ""Cape"", ""Cape Town, South Africa"", ""Mother City"", ""Tavern of the Seas"", ""West side""]","['What is the capital of Union of South Africa?', 'What is the primary city in Union of South Africa?', 'Which urban center holds a central role in Union of South Africa?', 'Which city houses the main government of Union of South Africa?', 'What city is the main administrative center of Union of South Africa?', 'What urban area holds the capital status of Union of South Africa?', 'Which city is the political focal point of Union of South Africa?', 'Which city is the primary seat of authority for Union of South Africa?', 'What is the principal city of Union of South Africa?', 'What is the chief city of Union of South Africa?']",84134,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.4, 0, 0.4444444444444445, 0.5, 0.4444444444444445, 0, 0.5714285714285715, 0.4444444444444445]","[0.2403914621191581, 0.3790368867339092, 0.2086158245016133, 0.15446158695405623, 0.5995765325418644, 0.5375273356796548, 0.44409836918052753, 0.1567698787093114, 0.6496514940126332, 0.4860740344629806]","[0.020347526, 0.11281678, 0.0114355385, 0.4666852, 0.001322631, 0.0037228581, 0.00010838097, 0.4414143, 0.0037806083, 6.30349e-06]"
14024,Equatorial Guinea,capital,Malabo,2935490,422,1223794,"[""Republic of Equatorial Guinea"",""gq"",""\ud83c\uddec\ud83c\uddf6"",""GEQ""]","[""Port Clarence"",""Santa Isabel""]",http://www.wikidata.org/entity/Q983,http://www.wikidata.org/entity/Q3818,Equatorial Guinea,Malabo,74415,9603,What is the capital of Equatorial Guinea?,"[""Malabo"", ""Port Clarence"", ""Santa Isabel""]","['What is the capital of Equatorial Guinea?', 'What is the primary city in Equatorial Guinea?', 'Which urban center holds a central role in Equatorial Guinea?', 'Which city houses the main government of Equatorial Guinea?', 'What city is the main administrative center of Equatorial Guinea?', 'What urban area holds the capital status of Equatorial Guinea?', 'Which city is the political focal point of Equatorial Guinea?', 'Which city is the primary seat of authority for Equatorial Guinea?', 'What is the principal city of Equatorial Guinea?', 'What is the chief city of Equatorial Guinea?']",84018,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.5, 0.25, 0.25, 0.4, 0.5, 0.4, 0.25, 0.2857142857142857, 0.5]","[0.32614044924538715, 0.4183126299802062, 0.40406786935169015, 0.4602033435868276, 0.30604734441186976, 0.5549359980623374, 0.4944023134732156, 0.13839887295476427, 0.26359782582435753, 0.3676314703472755]","[0.036222942, 0.00018828249, 0.09712038, 0.014226908, 0.00026846863, 0.00039365995, 0.0002655044, 0.0023634313, 0.0025296872, 2.8628436e-05]"
13942,Tang Empire,capital,Chang'an,2925474,422,2172820,"[""Tang China"",""Tang"",""Tang dynasty"",""Tang Dynasty""]","[""Changan"",""Chang An""]",http://www.wikidata.org/entity/Q9683,http://www.wikidata.org/entity/Q6501000,Tang dynasty,Chang'an,67196,16628,What is the capital of Tang Empire?,"[""Chang'an"", ""Changan"", ""Chang An""]","['What is the capital of Tang Empire?', 'What is the primary city in Tang Empire?', 'Which urban center holds a central role in Tang Empire?', 'Which city houses the main government of Tang Empire?', 'What city is the main administrative center of Tang Empire?', 'What urban area holds the capital status of Tang Empire?', 'Which city is the political focal point of Tang Empire?', 'Which city is the primary seat of authority for Tang Empire?', 'What is the principal city of Tang Empire?', 'What is the chief city of Tang Empire?']",83824,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.33333333333333337, 0, 0.33333333333333337, 0.5, 0.33333333333333337, 0.2857142857142857, 0, 0, 0]","[0.3045250150080666, 0.4272996540216808, 0.6945906141079811, 0.411067642423817, 0.7128549256624435, 0.6244438801094745, 0.4768496730669281, 0.6321393519917413, 0.4281005613201339, 0.6935581541812453]","[0.0005134627, 0.04976618, 0.0012240453, 0.048656672, 4.2963053e-05, 0.0011859115, 2.7616818e-05, 3.5659305e-06, 0.00014129897, 0.0076294714]"
14083,American Samoa,capital,Pago Pago,441380,422,1647854,"[""as"",""East Samoa"",""Samoa (American)"",""Territory of American Samoa"",""\ud83c\udde6\ud83c\uddf8"",""U.S. Samoa"",""US Samoa"",""ASA""]",[],http://www.wikidata.org/entity/Q16641,http://www.wikidata.org/entity/Q51678,American Samoa,Pago Pago,75018,8729,What is the capital of American Samoa?,"[""Pago Pago""]","['What is the capital of American Samoa?', 'What is the primary city in American Samoa?', 'Which urban center holds a central role in American Samoa?', 'Which city houses the main government of American Samoa?', 'What city is the main administrative center of American Samoa?', 'What urban area holds the capital status of American Samoa?', 'Which city is the political focal point of American Samoa?', 'Which city is the primary seat of authority for American Samoa?', 'What is the principal city of American Samoa?', 'What is the chief city of American Samoa?']",83747,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.25, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5684116210592585, 0.5344911500092342, 0.33779731870598445, 0.41593460008448785, 0.31293075868092496, 0.4296432532399682, 0.4462699625254626, 0.38779160005296276, 0.33842830379846295, 0.5821588534941554]","[0.0016180112, 0.06611443, 0.087522075, 0.037124697, 0.047519747, 0.008959736, 0.0046460074, 0.15204585, 0.054699827, 9.2291646e-07]"
14213,Guanabara,capital,Rio de Janeiro,91165,422,2857444,"[""State of Guanabara"",""GB""]","[""Rio"",""Rio de Janeiro city"",""R\u00edo"",""R\u00edo de Janeiro""]",http://www.wikidata.org/entity/Q1155409,http://www.wikidata.org/entity/Q8678,Guanabara (state),Rio de Janeiro,876,82513,What is the capital of Guanabara?,"[""Rio de Janeiro"", ""Rio"", ""Rio de Janeiro city"", ""Río"", ""Río de Janeiro""]","['What is the capital of Guanabara?', 'What is the primary city in Guanabara?', 'Which urban center holds a central role in Guanabara?', 'Which city houses the main government of Guanabara?', 'What city is the main administrative center of Guanabara?', 'What urban area holds the capital status of Guanabara?', 'Which city is the political focal point of Guanabara?', 'Which city is the primary seat of authority for Guanabara?', 'What is the principal city of Guanabara?', 'What is the chief city of Guanabara?']",83389,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.5454545454545454, 0.7499999999999999, 0.5454545454545454, 0.5454545454545454, 0.6, 0.6]","[0.337536269784356, 0.3074370668902053, 0.18649223253866454, 0.3127382469436319, 0.3303435291665265, 0.40621024106754544, 0.30812453675808693, 0.3128543754372897, 0.06859560509599877, 0.43950218587775963]","[0.16327678, 0.16901135, 0.016088132, 0.14472428, 0.16166158, 0.0006744331, 0.16968393, 0.1375997, 0.00026984705, 0.0015561151]"
13845,Emilia-Romagna,capital,Bologna,143956,422,648163,[],"[""Bologna, Italy""]",http://www.wikidata.org/entity/Q1263,http://www.wikidata.org/entity/Q1891,Emilia-Romagna,Bologna,31940,51037,What is the capital of Emilia-Romagna?,"[""Bologna"", ""Bologna, Italy""]","['What is the capital of Emilia-Romagna?', 'What is the primary city in Emilia-Romagna?', 'Which urban center holds a central role in Emilia-Romagna?', 'Which city houses the main government of Emilia-Romagna?', 'What city is the main administrative center of Emilia-Romagna?', 'What urban area holds the capital status of Emilia-Romagna?', 'Which city is the political focal point of Emilia-Romagna?', 'Which city is the primary seat of authority for Emilia-Romagna?', 'What is the principal city of Emilia-Romagna?', 'What is the chief city of Emilia-Romagna?']",82977,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.33333333333333337, 0.25, 0.33333333333333337, 0.33333333333333337, 0.2857142857142857, 0.4, 0.4, 0.25, 0.33333333333333337, 0.25]","[0.35378481297914427, 0.16674305927840427, 0.43319227760210244, 0.4181276295154428, 0.4891579869557612, 0.4392829993370917, 0.4343861189036812, 0.10842268258710802, 0.5802983039246719, 0.48352610344854907]","[0.0024352905, 0.0053987484, 0.00032342883, 1.8839098e-06, 0.026816672, 2.0411767e-06, 0.02680826, 0.00082487956, 0.001079098, 0.0016212921]"
13953,Neutral Municipality,capital,Rio de Janeiro,2197166,422,2857444,"[""Munic\u00edpio Neutro"",""MN""]","[""Rio"",""Rio de Janeiro city"",""R\u00edo"",""R\u00edo de Janeiro""]",http://www.wikidata.org/entity/Q658161,http://www.wikidata.org/entity/Q8678,Neutral Municipality,Rio de Janeiro,394,82513,What is the capital of Neutral Municipality?,"[""Rio de Janeiro"", ""Rio"", ""Rio de Janeiro city"", ""Río"", ""Río de Janeiro""]","['What is the capital of Neutral Municipality?', 'What is the primary city in Neutral Municipality?', 'Which urban center holds a central role in Neutral Municipality?', 'Which city houses the main government of Neutral Municipality?', 'What city is the main administrative center of Neutral Municipality?', 'What urban area holds the capital status of Neutral Municipality?', 'Which city is the political focal point of Neutral Municipality?', 'Which city is the primary seat of authority for Neutral Municipality?', 'What is the principal city of Neutral Municipality?', 'What is the chief city of Neutral Municipality?']",82907,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.37658437697210834, 0.5393190198207631, 0.8414724395533602, 0.6751525543399142, 0.6345924924951378, 0.5860618446035698, 0.43542118449947387, 0.5842545172399786, 0.7175656830737424, 0.7429702798449521]","[0.010886776, 0.0009240557, 0.00038756832, 0.0023403438, 0.015152894, 0.0005243809, 0.15034814, 0.0018034449, 0.006461055, 0.0046792147]"
14149,Saint Lucia,capital,Castries,2602171,422,1281896,"[""lc"",""St. Lucia"",""St Lucia"",""\ud83c\uddf1\ud83c\udde8"",""Iyonola"",""Hewanorra"",""St. Lucia (island)""]",[],http://www.wikidata.org/entity/Q760,http://www.wikidata.org/entity/Q41699,Saint Lucia,Castries,75376,5275,What is the capital of Saint Lucia?,"[""Castries""]","['What is the capital of Saint Lucia?', 'What is the primary city in Saint Lucia?', 'Which urban center holds a central role in Saint Lucia?', 'Which city houses the main government of Saint Lucia?', 'What city is the main administrative center of Saint Lucia?', 'What urban area holds the capital status of Saint Lucia?', 'Which city is the political focal point of Saint Lucia?', 'Which city is the primary seat of authority for Saint Lucia?', 'What is the principal city of Saint Lucia?', 'What is the chief city of Saint Lucia?']",80651,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.33333333333333337, 0.2222222222222222, 0.25, 0.2857142857142857, 0.25, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.25]","[0.40853012262196, 0.47471636401928285, 0.6192034045326678, 0.5536933303375295, 0.4757014348860419, 0.5619725688775568, 0.5919472695309708, 0.5524125381472321, 0.6639641564564247, 0.40305665438203603]","[0.0001527876, 0.013084511, 0.008805095, 0.024322327, 4.4178273e-06, 0.0075329626, 0.001266751, 0.024594566, 0.0007840556, 0.00017406308]"
