Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
1323,Spy,genre,comedy film,428092,91,336148,[],"[""comedy movie""]",http://www.wikidata.org/entity/Q16389838,http://www.wikidata.org/entity/Q157443,Spy (2015 film),Comedy film,32512,36816,What genre is Spy?,"[""comedy film"", ""comedy movie""]","['What category does Spy belong to?', 'What kind of classification does Spy fall under?', 'What type does Spy fall under?', 'What group does Spy fall under?', 'What kind does Spy fall under?', 'What class does Spy fall under?', 'What style can Spy be categorized into?', 'Which division does Spy come under?', 'In what bracket does Spy reside?', 'What domain does  Spy fit within?']",69328,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",,"[0.25, 0.5, 0.2, 0.25, 1.0, 0.5, 0.5, 0.6666666666666666, 0.5, 0.28571428571428575]","[0.7552468276716107, 0.11046141420152764, 0.735172758989444, 0.6729191518907286, 0.13560078299791367, 0.09426418390128234, 0.25394030171296045, 0.4807742760578305, 0.06467436094372309, 0.38057779736363023]","[2.5657112e-06, 0.7447224, 6.679648e-07, 0.0024242895, 0.66047657, 0.7747594, 0.3813404, 0.023913037, 0.8370124, 0.0042999294]"
1191,Seam,genre,indie rock,2548250,91,611592,[],"[""Independent rock"",""Indie Rock""]",http://www.wikidata.org/entity/Q7440677,http://www.wikidata.org/entity/Q183504,Seam (band),Indie rock,1139,68145,What genre is Seam?,"[""indie rock"", ""Independent rock"", ""Indie Rock""]","['What category does Seam belong to?', 'What kind of classification does Seam fall under?', 'What type does Seam fall under?', 'What group does Seam fall under?', 'What kind does Seam fall under?', 'What class does Seam fall under?', 'What style can Seam be categorized into?', 'Which division does Seam come under?', 'In what bracket does Seam reside?', 'What domain does  Seam fit within?']",69284,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.3333333333333333, 0, 0.22222222222222224, 0]","[0.6624882702661308, 0.47456159246079177, 0.727897441022813, 0.5691496192356291, 0.4098717612786792, 0.5703960287901765, 0.334977121795104, 0.5811798447235006, 0.6923581887670587, 0.687907797422083]","[0.00034578488, 0.01166524, 4.7037058e-05, 0.003271875, 0.12460294, 0.0282946, 0.0007856159, 4.068921e-05, 0.00047405655, 0.00070517545]"
1332,Shockproof,genre,film noir,745012,91,627363,[],[],http://www.wikidata.org/entity/Q2132727,http://www.wikidata.org/entity/Q185867,Shockproof,Film noir,806,68425,What genre is Shockproof?,"[""film noir""]","['What category does Shockproof belong to?', 'What kind of classification does Shockproof fall under?', 'What type does Shockproof fall under?', 'What group does Shockproof fall under?', 'What kind does Shockproof fall under?', 'What class does Shockproof fall under?', 'What style can Shockproof be categorized into?', 'Which division does Shockproof come under?', 'In what bracket does Shockproof reside?', 'What domain does  Shockproof fit within?']",69231,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.5, 0.5, 0, 0, 0.3333333333333333, 0.5, 0.28571428571428575, 0, 0.5, 0.28571428571428575]","[0.15004856879371836, 0.13556309248688012, 0.5823047103043477, 0.4882950560721684, 0.45040836365646425, 0.1895392409671357, 0.38172282024967086, 0.8921647246397766, 0.10565091966919693, 0.5509257233042424]","[0.65171623, 0.58821124, 0.0051489556, 0.0075485175, 0.0038884426, 0.528888, 0.015234152, 0.00025020738, 0.7554656, 0.00042334019]"
2001,The Web,genre,film noir,927746,91,627363,"[""Web""]",[],http://www.wikidata.org/entity/Q2756294,http://www.wikidata.org/entity/Q185867,The Web (film),Film noir,722,68425,What genre is The Web?,"[""film noir""]","['What category does The Web belong to?', 'What kind of classification does The Web fall under?', 'What type does The Web fall under?', 'What group does The Web fall under?', 'What kind does The Web fall under?', 'What class does The Web fall under?', 'What style can The Web be categorized into?', 'Which division does The Web come under?', 'In what bracket does The Web reside?', 'What domain does  The Web fit within?']",69147,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0.22222222222222224, 0, 0, 0.5, 0]","[0.5246893182533107, 0.7261680671653488, 0.673161894163318, 0.5845451900679757, 0.587527248449715, 0.5960024151695098, 0.406462138816025, 0.42145520373446393, 0.19013816602456948, 0.18524497007619223]","[0.007903841, 0.0037213708, 0.001394082, 0.0017109808, 0.00010945167, 0.0013164114, 0.0039965888, 0.1155932, 0.41157472, 0.008202271]"
2254,Convicted,genre,film noir,1647231,91,627363,[],[],http://www.wikidata.org/entity/Q5166565,http://www.wikidata.org/entity/Q185867,Convicted (1950 film),Film noir,687,68425,What genre is Convicted?,"[""film noir""]","['What category does Convicted belong to?', 'What kind of classification does Convicted fall under?', 'What type does Convicted fall under?', 'What group does Convicted fall under?', 'What kind does Convicted fall under?', 'What class does Convicted fall under?', 'What style can Convicted be categorized into?', 'Which division does Convicted come under?', 'In what bracket does Convicted reside?', 'What domain does  Convicted fit within?']",69112,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.5, 0, 0, 0, 0, 0.5, 0, 0.5, 0.22222222222222224]","[0.349782751314462, 0.10500555652121359, 0.5575503416257694, 0.3886857026307296, 0.5713271886015362, 0.6871624901428424, 0.186556309177894, 0.5516074238248749, 0.07453600993024416, 0.6153287700688448]","[0.050019786, 0.75416636, 3.1447882e-05, 1.4507521e-05, 0.03905531, 0.0003664609, 0.53405404, 0.00020087403, 0.80880606, 0.005194605]"
1281,Born Ruffians,genre,indie rock,1533928,91,611592,[],"[""Independent rock"",""Indie Rock""]",http://www.wikidata.org/entity/Q4945845,http://www.wikidata.org/entity/Q183504,Born Ruffians,Indie rock,959,68145,What genre is Born Ruffians?,"[""indie rock"", ""Independent rock"", ""Indie Rock""]","['What category does Born Ruffians belong to?', 'What kind of classification does Born Ruffians fall under?', 'What type does Born Ruffians fall under?', 'What group does Born Ruffians fall under?', 'What kind does Born Ruffians fall under?', 'What class does Born Ruffians fall under?', 'What style can Born Ruffians be categorized into?', 'Which division does Born Ruffians come under?', 'In what bracket does Born Ruffians reside?', 'What domain does  Born Ruffians fit within?']",69104,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.22222222222222224, 0.5714285714285715, 0.5714285714285715, 0.4444444444444445, 0.4, 0.5, 0.4, 0.4, 0.4, 0.22222222222222224]","[0.44831371561958955, 0.4100690793244413, 0.41320377719250023, 0.45514184895955084, 0.3883984077465538, 0.21499337872290092, 0.2552407867731863, 0.373572953228653, 0.39965518953871887, 0.4850144867395225]","[0.043790083, 0.12678406, 0.00010093954, 0.007162032, 0.0032050358, 0.001307581, 0.009532447, 0.002435573, 0.10782807, 0.009724933]"
2687,The Well,genre,film noir,1224663,91,627363,"[""Well""]",[],http://www.wikidata.org/entity/Q3821358,http://www.wikidata.org/entity/Q185867,The Well (1951 film),Film noir,552,68425,What genre is The Well?,"[""film noir""]","['What category does The Well belong to?', 'What kind of classification does The Well fall under?', 'What type does The Well fall under?', 'What group does The Well fall under?', 'What kind does The Well fall under?', 'What class does The Well fall under?', 'What style can The Well be categorized into?', 'Which division does The Well come under?', 'In what bracket does The Well reside?', 'What domain does  The Well fit within?']",68977,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0]","[0.8161247151817543, 0.10003725300929123, 0.5953550800656889, 0.2958401991329279, 0.3298517524541462, 0.5553972348402019, 0.8024062211515648, 0.4109765053547521, 0.4880123596693846, 0.4974120659146849]","[0.0064765792, 0.76878536, 0.0038018283, 0.2541869, 0.0012035512, 0.00027357423, 0.0043627764, 0.073462166, 0.083377555, 0.00039718626]"
1904,The Association,genre,soft rock,741624,91,755115,[],"[""light rock""]",http://www.wikidata.org/entity/Q2118895,http://www.wikidata.org/entity/Q217191,The Association,Soft rock,22918,46004,What genre is The Association?,"[""soft rock"", ""light rock""]","['What category does The Association belong to?', 'What kind of classification does The Association fall under?', 'What type does The Association fall under?', 'What group does The Association fall under?', 'What kind does The Association fall under?', 'What class does The Association fall under?', 'What style can The Association be categorized into?', 'Which division does The Association come under?', 'In what bracket does The Association reside?', 'What domain does  The Association fit within?']",68922,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.22222222222222224, 0, 0, 0, 0, 0, 0, 0]","[0.4224551077568117, 0.7363845682131768, 0.39296994480156133, 0.29330315204046864, 0.7400337152735132, 0.07971133213419684, 0.7852186168389912, 0.7066865431808812, 0.16763915546744998, 0.49263724130413766]","[0.036516316, 2.6126914e-05, 0.006730536, 0.056139197, 0.0002732939, 0.81424874, 0.025668932, 0.014408418, 0.6086868, 0.10531133]"
2222,Ida,genre,indie rock,2002276,91,611592,[],"[""Independent rock"",""Indie Rock""]",http://www.wikidata.org/entity/Q5986894,http://www.wikidata.org/entity/Q183504,Ida (band),Indie rock,765,68145,What genre is Ida?,"[""indie rock"", ""Independent rock"", ""Indie Rock""]","['What category does Ida belong to?', 'What kind of classification does Ida fall under?', 'What type does Ida fall under?', 'What group does Ida fall under?', 'What kind does Ida fall under?', 'What class does Ida fall under?', 'What style can Ida be categorized into?', 'Which division does Ida come under?', 'In what bracket does Ida reside?', 'What domain does  Ida fit within?']",68910,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.1213780107055355, 0.34974831996362565, 0.5547153180343816, 0.31118504729393, 0.4222834989505432, 0.7937339266620574, 0.6621601873630536, 0.48460990496250145, 0.09124428598318855, 0.542340506697405]","[0.7157817, 0.28904542, 0.00042591224, 0.09181643, 0.115196966, 0.006385748, 0.0007411229, 0.0014308458, 0.7889055, 0.040902086]"
2648,The Good Life,genre,indie rock,268901,91,611592,[],"[""Independent rock"",""Indie Rock""]",http://www.wikidata.org/entity/Q1483286,http://www.wikidata.org/entity/Q183504,The Good Life (band),Indie rock,756,68145,What genre is The Good Life?,"[""indie rock"", ""Independent rock"", ""Indie Rock""]","['What category does The Good Life belong to?', 'What kind of classification does The Good Life fall under?', 'What type does The Good Life fall under?', 'What group does The Good Life fall under?', 'What kind does The Good Life fall under?', 'What class does The Good Life fall under?', 'What style can The Good Life be categorized into?', 'Which division does The Good Life come under?', 'In what bracket does The Good Life reside?', 'What domain does  The Good Life fit within?']",68901,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5892134221820324, 0.5914137734651423, 0.27955089433067926, 0.503522689030876, 0.5130766567127146, 0.5149355572203409, 0.7422298795900995, 0.4259833637441727, 0.4677197442985555, 0.6535517423669667]","[0.00029434887, 6.2142346e-05, 0.024578637, 0.001209726, 0.08415848, 0.0015487481, 7.056406e-07, 0.057573956, 0.00079626526, 0.02397396]"
