Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
53,Robby Krieger,occupation,guitarist,1028406,22,2850254,"[""Robert Alan Krieger""]","[""guitar player"",""guitarists""]",http://www.wikidata.org/entity/Q311900,http://www.wikidata.org/entity/Q855091,Robby Krieger,Guitarist,31792,6776,What is Robby Krieger's occupation?,"[""guitarist"", ""guitar player"", ""guitarists""]","['What does Robby Krieger do for a living?', ""What is Robby Krieger's occupation?"", ""What is Robby Krieger's profession?"", ""What is Robby Krieger's line of work?"", 'What job role is Robby Krieger engaged in?', 'What career path has Robby Krieger chosen?', 'What field of employment is Robby Krieger part of?', ""What is Robby Krieger's source of professional engagement?"", ""What is Robby Krieger's vocational pursuit?"", 'What field of work is Robby Krieger engaged in?']",38568,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",,"[0, 0.4, 0.5, 0.4, 1.0, 0, 0.5, 0.5, 0, 0.4]","[0.15726239156505947, 0.5905963287800653, 0.2247458329171325, 0.36316440422555607, 0.1532448366794014, 0.5437147722314618, 0.2658158617340058, 0.36932092622275003, 0.5085011300079072, 0.6020282392732146]","[0.43492827, 0.006507257, 0.0040719374, 0.0685008, 0.47789997, 0.035642352, 0.002740997, 0.007903608, 0.010970336, 0.030413404]"
478,Jeet Ganguly,occupation,composer,2052284,22,1189033,"[""Chandrajeet Ganguly"",""Jeet Gannguli""]",[],http://www.wikidata.org/entity/Q6172986,http://www.wikidata.org/entity/Q36834,Jeet Gannguli,Composer,7878,28389,What is Jeet Ganguly's occupation?,"[""composer""]","['What does Jeet Ganguly do for a living?', ""What is Jeet Ganguly's occupation?"", ""What is Jeet Ganguly's profession?"", ""What is Jeet Ganguly's line of work?"", 'What job role is Jeet Ganguly engaged in?', 'What career path has Jeet Ganguly chosen?', 'What field of employment is Jeet Ganguly part of?', ""What is Jeet Ganguly's source of professional engagement?"", ""What is Jeet Ganguly's vocational pursuit?"", 'What field of work is Jeet Ganguly engaged in?']",36267,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.4244366761070195, 0.5181568104221574, 0.5194037845205104, 0.4897858471807749, 0.48096676038477804, 0.4932299758789381, 0.6697910534152689, 0.43636194615360413, 0.3984418970631711, 0.5553029074050926]","[0.00021609373, 0.034585543, 0.0013352917, 0.01821598, 0.0053222966, 0.017897535, 0.012280916, 0.018098501, 0.18693061, 0.015549989]"
386,Paul Hindemith,occupation,composer,1925067,22,1189033,[],[],http://www.wikidata.org/entity/Q57244,http://www.wikidata.org/entity/Q36834,Paul Hindemith,Composer,6705,28389,What is Paul Hindemith's occupation?,"[""composer"", ""concertmaster"", ""principal violin"", ""principal violinist"", ""first chair"", ""leader""]","['What does Paul Hindemith do for a living?', ""What is Paul Hindemith's occupation?"", ""What is Paul Hindemith's profession?"", ""What is Paul Hindemith's line of work?"", 'What job role is Paul Hindemith engaged in?', 'What career path has Paul Hindemith chosen?', 'What field of employment is Paul Hindemith part of?', ""What is Paul Hindemith's source of professional engagement?"", ""What is Paul Hindemith's vocational pursuit?"", 'What field of work is Paul Hindemith engaged in?']",35094,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.25, 0.25, 0.4, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.4, 0.4, 0.4]","[0.47486447057377035, 0.6007365990372626, 0.5676530582701943, 0.5366649685237123, 0.540453223613302, 0.26698403548530514, 0.5421576071369472, 0.8284358843807113, 0.7196944448763568, 0.6686741753347208]","[0.02215257, 0.00082134013, 0.00022596764, 0.00057028123, 0.0059885294, 0.0013889152, 0.0009324652, 2.0561241e-05, 1.5243705e-07, 9.409963e-05]"
526,Claudio Naranjo,occupation,psychiatrist,60431,22,740075,[],"[""alienist"",""head-shrinker"",""shrinker""]",http://www.wikidata.org/entity/Q1098121,http://www.wikidata.org/entity/Q211346,Claudio Naranjo,Psychiatrist,2459,32596,What is Claudio Naranjo's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker""]","['What does Claudio Naranjo do for a living?', ""What is Claudio Naranjo's occupation?"", ""What is Claudio Naranjo's profession?"", ""What is Claudio Naranjo's line of work?"", 'What job role is Claudio Naranjo engaged in?', 'What career path has Claudio Naranjo chosen?', 'What field of employment is Claudio Naranjo part of?', ""What is Claudio Naranjo's source of professional engagement?"", ""What is Claudio Naranjo's vocational pursuit?"", 'What field of work is Claudio Naranjo engaged in?']",35055,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0.2857142857142857, 0.6666666666666666, 0, 0.33333333333333337, 0.5, 0, 0.4, 0.4, 0.2857142857142857]","[0.36810367621682816, 0.3712422996534027, 0.21251563048745883, 0.5737272665307195, 0.4265048764474547, 0.3875324288153668, 0.655431828585681, 0.31146882988167635, 0.5410658338779467, 0.5824924800822929]","[0.043981854, 0.03294406, 0.0018150052, 0.0220083, 0.07873803, 0.0014894961, 0.008581964, 0.05027213, 0.001019749, 1.2760885e-05]"
166,John Barnes,occupation,monk,2069200,22,2491733,[],"[""monks""]",http://www.wikidata.org/entity/Q6220774,http://www.wikidata.org/entity/Q733786,John Barnes (monk),Monk,69,33483,What is John Barnes's occupation?,"[""monk"", ""monks""]","['What does John Barnes do for a living?', ""What is John Barnes's occupation?"", ""What is John Barnes's profession?"", ""What is John Barnes's line of work?"", 'What job role is John Barnes engaged in?', 'What career path has John Barnes chosen?', 'What field of employment is John Barnes part of?', ""What is John Barnes's source of professional engagement?"", ""What is John Barnes's vocational pursuit?"", 'What field of work is John Barnes engaged in?']",33552,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5169362211802848, 0.5120014600173659, 0.4324711465565718, 0.5250788612889717, 0.5218911573995538, 0.39970373866539155, 0.6635748369697879, 0.6467816227595262, 0.6694990718739915, 0.7935054378059688]","[0.111935794, 0.12008413, 0.00020735284, 0.11059006, 0.011601988, 9.483563e-06, 0.00011541727, 0.0026594473, 0.0010373602, 1.4052866e-06]"
161,Johnson,occupation,composer,1152048,22,1189033,"[""Thattil Antony Johnson""]",[],http://www.wikidata.org/entity/Q3523016,http://www.wikidata.org/entity/Q36834,Johnson (composer),Composer,5158,28389,What is Johnson's occupation?,"[""composer""]","['What does Johnson do for a living?', ""What is Johnson's occupation?"", ""What is Johnson's profession?"", ""What is Johnson's line of work?"", 'What job role is Johnson engaged in?', 'What career path has Johnson chosen?', 'What field of employment is Johnson part of?', ""What is Johnson's source of professional engagement?"", ""What is Johnson's vocational pursuit?"", 'What field of work is Johnson engaged in?']",33547,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.8342914667957102, 0.48698768671170983, 0.6298921347833221, 0.62358195040084, 0.4024084751903427, 0.671513245716895, 0.4615401625844274, 0.44215853358382, 0.5537527505289624, 0.6972679680748722]","[0.002556762, 0.004344096, 0.006439353, 0.007904113, 0.018151134, 0.00029940388, 0.0001465768, 0.03443853, 0.017145272, 0.026655756]"
282,Tharman Shanmugaratnam,occupation,politician,2936189,22,2834605,[],"[""political leader"",""political figure"",""polit."",""pol""]",http://www.wikidata.org/entity/Q983752,http://www.wikidata.org/entity/Q82955,Tharman Shanmugaratnam,Politician,7412,25692,What is Tharman Shanmugaratnam's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","['What does Tharman Shanmugaratnam do for a living?', ""What is Tharman Shanmugaratnam's occupation?"", ""What is Tharman Shanmugaratnam's profession?"", ""What is Tharman Shanmugaratnam's line of work?"", 'What job role is Tharman Shanmugaratnam engaged in?', 'What career path has Tharman Shanmugaratnam chosen?', 'What field of employment is Tharman Shanmugaratnam part of?', ""What is Tharman Shanmugaratnam's source of professional engagement?"", ""What is Tharman Shanmugaratnam's vocational pursuit?"", 'What field of work is Tharman Shanmugaratnam engaged in?']",33104,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2857142857142857, 0, 0.2857142857142857, 0, 0.2857142857142857, 0.25, 0, 0.5, 0, 0]","[0.5382145830505236, 0.05952271703191208, 0.40271323376634727, 0.14909029501360252, 0.42691368741509206, 0.4103823252233943, 0.18747867497753534, 0.5248924139841143, 0.12825380662153413, 0.12269364525448566]","[5.331868e-05, 0.85129434, 0.1853457, 0.51034445, 0.01024502, 0.10960758, 0.55468917, 0.00016552086, 0.6220376, 0.64557505]"
277,Josh Mankiewicz,occupation,journalist,2094078,22,663400,"[""Josh"",""Joshua Paul Mankiewicz""]","[""journo"",""journalists""]",http://www.wikidata.org/entity/Q6289142,http://www.wikidata.org/entity/Q1930187,Josh Mankiewicz,Journalist,8042,24952,What is Josh Mankiewicz's occupation?,"[""journalist"", ""journo"", ""journalists""]","['What does Josh Mankiewicz do for a living?', ""What is Josh Mankiewicz's occupation?"", ""What is Josh Mankiewicz's profession?"", ""What is Josh Mankiewicz's line of work?"", 'What job role is Josh Mankiewicz engaged in?', 'What career path has Josh Mankiewicz chosen?', 'What field of employment is Josh Mankiewicz part of?', ""What is Josh Mankiewicz's source of professional engagement?"", ""What is Josh Mankiewicz's vocational pursuit?"", 'What field of work is Josh Mankiewicz engaged in?']",32994,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0.2222222222222222, 0, 0, 0, 0.25, 0, 0, 0]","[0.5989163537151538, 0.5838329836257933, 0.5257959889699173, 0.22127991284930723, 0.7155139589935116, 0.6712193175683885, 0.7884610520501203, 0.4325828441312291, 0.33252697265689524, 0.5746643980890391]","[0.0021594148, 0.0384794, 0.10593793, 0.043737184, 0.0029485892, 0.014672947, 1.9589123e-05, 0.0015096567, 0.0040929476, 0.011784334]"
482,Will Smith,occupation,screenwriter,2784618,22,945070,"[""William James Smith""]","[""scenarist"",""writer"",""screen writer"",""script writer"",""scriptwriter""]",http://www.wikidata.org/entity/Q8003106,http://www.wikidata.org/entity/Q28389,Will Smith (comedian),Screenwriter,5209,26544,What is Will Smith's occupation?,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter"", ""actor"", ""actress"", ""actors"", ""actresses""]","['What does Will Smith do for a living?', ""What is Will Smith's occupation?"", ""What is Will Smith's profession?"", ""What is Will Smith's line of work?"", 'What job role is Will Smith engaged in?', 'What career path has Will Smith chosen?', 'What field of employment is Will Smith part of?', ""What is Will Smith's source of professional engagement?"", ""What is Will Smith's vocational pursuit?"", 'What field of work is Will Smith engaged in?']",31753,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0.2222222222222222, 0, 0.25, 0, 0.25]","[0.5686605870335707, 0.5335441875727877, 0.5356650394336852, 0.6127688755257503, 0.7043255633586445, 0.6407620479573003, 0.6544719483875875, 0.6324515273786561, 0.38931368276566736, 0.6393606543076571]","[0.013791177, 0.00018566154, 0.0071725347, 0.006204627, 0.029898962, 5.9268772e-05, 0.0048371414, 0.0048238095, 0.00042712726, 0.0010934499]"
133,Reinhold Mack,occupation,composer,2050438,22,1189033,[],[],http://www.wikidata.org/entity/Q61679,http://www.wikidata.org/entity/Q36834,Reinhold Mack,Composer,3147,28389,What is Reinhold Mack's occupation?,"[""audio engineer"", ""recording engineer"", ""sound producer"", ""sound director"", ""sound engineer"", ""music engineer"", ""musical engineer"", ""record producer"", ""music producer"", ""composer""]","['What does Reinhold Mack do for a living?', ""What is Reinhold Mack's occupation?"", ""What is Reinhold Mack's profession?"", ""What is Reinhold Mack's line of work?"", 'What job role is Reinhold Mack engaged in?', 'What career path has Reinhold Mack chosen?', 'What field of employment is Reinhold Mack part of?', ""What is Reinhold Mack's source of professional engagement?"", ""What is Reinhold Mack's vocational pursuit?"", 'What field of work is Reinhold Mack engaged in?']",31536,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0.4, 0, 0.22222222222222224, 0.25, 0, 0, 0]","[0.4414110963564052, 0.1027225062685895, 0.8239594856313308, 0.5607366742916717, 0.5215287568388869, 0.8622641796122683, 0.699107747357107, 0.15861644256551868, 0.6258003259682141, 0.8005656741866362]","[0.12895532, 0.7199935, 3.8085227e-07, 1.1040407e-06, 8.02854e-10, 0.00019907107, 0.027093263, 0.32460314, 0.0034651894, 7.2966063e-06]"
