Unnamed: 0,subj,prop,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,paraphrases,pop,em_scores,start_scores,f1_scores,uncertainty_metric,prob
9990,Halloween,screenwriter,Debra Hill,763729,533,882314,[],[],http://www.wikidata.org/entity/Q221103,http://www.wikidata.org/entity/Q262102,Halloween (1978 film),Debra Hill,933638,183061,Who was the screenwriter for Halloween?,"[""Debra Hill"", ""John Carpenter"", ""John Howard Carpenter""]","['Who was the screenwriter for Halloween?', 'Who wrote the screenplay for Halloween?', 'Who was the scribe of the screenplay in Halloween?', ""Who took on the role of crafting Halloween's script?"", 'Who was responsible for composing the screenplay of Halloween?', 'Who was the wordsmith behind the screenplay of Halloween?', 'Who penned the script for Halloween?', 'Who authored the screenplay of Halloween?', ""Who was the primary influencer in shaping Halloween's screenplay composition?"", ""Who scripted Halloween's story?""]",1116699,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.4, 0.5714285714285715, 0.4444444444444445, 0.4444444444444445, 0.28571428571428575, 0.5, 0.5714285714285715, 0, 0.6666666666666666]","[0.3910159502031346, 0.4506849013452957, 0.3770513270284307, 0.5368699264655299, 0.44302603516081784, 0.5876977129831625, 0.3597191951054428, 0.43946958764119387, 0.4526780495530198, 0.5358876038554934]","[0.020918703, 3.668873e-06, 0.00022924392, 0.020275816, 0.062241953, 0.05684373, 1.8897732e-05, 0.00017845753, 0.0014321285, 0.037395515]"
8603,By the Sea,screenwriter,Angelina Jolie,580461,533,218585,[],"[""Angelina Jolie Voight""]",http://www.wikidata.org/entity/Q17986183,http://www.wikidata.org/entity/Q13909,By the Sea (2015 film),Angelina Jolie,13169,986064,Who was the screenwriter for By the Sea?,"[""Angelina Jolie"", ""Angelina Jolie Voight""]","['Who was the screenwriter for By the Sea?', 'Who wrote the screenplay for By the Sea?', 'Who was the scribe of the screenplay in By the Sea?', ""Who took on the role of crafting By the Sea's script?"", 'Who was responsible for composing the screenplay of By the Sea?', 'Who was the wordsmith behind the screenplay of By the Sea?', 'Who penned the script for By the Sea?', 'Who authored the screenplay of By the Sea?', ""Who was the primary influencer in shaping By the Sea's screenplay composition?"", ""Who scripted By the Sea's story?""]",999233,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0.5714285714285715, 0, 0, 0, 0, 0]","[0.5547855132059207, 0.6315057627612846, 0.2895499208498085, 0.3798034106649372, 0.16569830087639192, 0.2496587685754153, 0.4933371552962938, 0.2522925816696749, 0.1666332806104074, 0.23669864597768545]","[0.059178434, 0.00069686584, 9.410942e-05, 7.851634e-05, 0.59105086, 0.041179486, 0.00017750364, 0.3922394, 0.0046378863, 0.00013865205]"
8078,Halloween,screenwriter,John Carpenter,2881543,533,2912281,"[""Halloween 9""]","[""John Howard Carpenter""]",http://www.wikidata.org/entity/Q909063,http://www.wikidata.org/entity/Q95008,Halloween (2007 film),John Carpenter,318299,487945,Who was the screenwriter for Halloween?,"[""Rob Zombie"", ""Robert Bartleh Cummings"", ""Rob Straker"", ""John Carpenter"", ""John Howard Carpenter""]","['Who was the screenwriter for Halloween?', 'Who wrote the screenplay for Halloween?', 'Who was the scribe of the screenplay in Halloween?', ""Who took on the role of crafting Halloween's script?"", 'Who was responsible for composing the screenplay of Halloween?', 'Who was the wordsmith behind the screenplay of Halloween?', 'Who penned the script for Halloween?', 'Who authored the screenplay of Halloween?', ""Who was the primary influencer in shaping Halloween's screenplay composition?"", ""Who scripted Halloween's story?""]",806244,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0.28571428571428575, 0, 0, 0]","[0.0887875871902596, 0.2227826937351572, 0.48247889691711937, 0.5178476189140575, 0.46210900894035667, 0.155760626207502, 0.5879268731590741, 0.41012697536527715, 0.28867854501515205, 0.32146200309770334]","[0.00060809933, 0.004392417, 0.039591078, 0.0033682443, 0.04251741, 0.018544683, 0.08348642, 0.002448567, 0.004624987, 0.23322904]"
8987,Michael Jackson's Ghosts,screenwriter,Michael Jackson,1318331,533,942710,"[""Ghosts""]","[""MJ"",""The King of Pop"",""Michael Joe Jackson"",""Michael Joseph Jackson"",""M.J."",""M. J."",""King of Pop"",""King of Music"",""The King""]",http://www.wikidata.org/entity/Q44477,http://www.wikidata.org/entity/Q2831,Michael Jackson's Ghosts,Michael Jackson,8315,753723,Who was the screenwriter for Michael Jackson's Ghosts?,"[""Michael Jackson"", ""MJ"", ""The King of Pop"", ""Michael Joe Jackson"", ""Michael Joseph Jackson"", ""M.J."", ""M. J."", ""King of Pop"", ""King of Music"", ""The King"", ""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen""]","[""Who was the screenwriter for Michael Jackson's Ghosts?"", ""Who wrote the screenplay for Michael Jackson's Ghosts?"", ""Who was the scribe of the screenplay in Michael Jackson's Ghosts?"", ""Who took on the role of crafting Michael Jackson's Ghosts's script?"", ""Who was responsible for composing the screenplay of Michael Jackson's Ghosts?"", ""Who was the wordsmith behind the screenplay of Michael Jackson's Ghosts?"", ""Who penned the script for Michael Jackson's Ghosts?"", ""Who authored the screenplay of Michael Jackson's Ghosts?"", ""Who was the primary influencer in shaping Michael Jackson's Ghosts's screenplay composition?"", ""Who scripted Michael Jackson's Ghosts's story?""]",762038,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.2222222222222222, 0.5714285714285715, 0.4, 0, 0.5714285714285715, 0.5714285714285715, 0.4444444444444445, 0.4444444444444445, 0, 0.5]","[0.6477425331809781, 0.353746772345117, 0.463167887846701, 0.6463584753441505, 0.44976785731650376, 0.4858034643746928, 0.6915327410764147, 0.4408872692501741, 0.6997060686212315, 0.7694959660602287]","[0.007451161, 1.7183522e-09, 0.0056416164, 1.4794531e-05, 0.00031333542, 0.0017157013, 0.015668841, 0.0011555776, 0.0017014344, 0.000655108]"
8180,The Shining,screenwriter,Stephen King,630439,533,1255805,"[""Shining""]","[""Stephen Edwin King"",""Richard Bachman"",""John Swithen""]",http://www.wikidata.org/entity/Q186341,http://www.wikidata.org/entity/Q39829,The Shining (film),Stephen King,326522,290220,Who was the screenwriter for The Shining?,"[""Stanley Kubrick"", ""Stephen King"", ""Stephen Edwin King"", ""Richard Bachman"", ""John Swithen"", ""Diane Johnson""]","['Who was the screenwriter for The Shining?', 'Who wrote the screenplay for The Shining?', 'Who was the scribe of the screenplay in The Shining?', ""Who took on the role of crafting The Shining's script?"", 'Who was responsible for composing the screenplay of The Shining?', 'Who was the wordsmith behind the screenplay of The Shining?', 'Who penned the script for The Shining?', 'Who authored the screenplay of The Shining?', ""Who was the primary influencer in shaping The Shining's screenplay composition?"", ""Who scripted The Shining's story?""]",616742,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0.6666666666666666, 0.5714285714285715, 0.5714285714285715, 0.8, 0.5714285714285715, 0.5, 0.5, 0.6666666666666666, 0.5, 0.5]","[0.25387689719653994, 0.36449478799310164, 0.26363231534744147, 0.4315464928342214, 0.46394244866916934, 0.19033174125852348, 0.20193305693760477, 0.5336646742878551, 0.14774636462811308, 0.2785364803129476]","[0.0004173769, 0.038653348, 0.00074610015, 0.009097482, 0.005361892, 0.49932915, 0.42892686, 0.0024301042, 0.63138497, 6.799678e-05]"
8806,The Fog,screenwriter,John Carpenter,1562924,533,2912281,"[""Fog""]","[""John Howard Carpenter""]",http://www.wikidata.org/entity/Q500403,http://www.wikidata.org/entity/Q95008,The Fog,John Carpenter,100414,487945,Who was the screenwriter for The Fog?,"[""John Carpenter"", ""John Howard Carpenter""]","['Who was the screenwriter for The Fog?', 'Who wrote the screenplay for The Fog?', 'Who was the scribe of the screenplay in The Fog?', ""Who took on the role of crafting The Fog's script?"", 'Who was responsible for composing the screenplay of The Fog?', 'Who was the wordsmith behind the screenplay of The Fog?', 'Who penned the script for The Fog?', 'Who authored the screenplay of The Fog?', ""Who was the primary influencer in shaping The Fog's screenplay composition?"", ""Who scripted The Fog's story?""]",588359,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.5217459132542369, 0.6438394080546316, 0.5973075250956815, 0.5565245493893423, 0.4599738833008388, 0.528264001748667, 0.48871947361135737, 0.5703568003962162, 0.369183996268247, 0.5365158656206943]","[8.162321e-05, 0.002580323, 0.0060215844, 1.2402113e-05, 0.024145395, 0.0012817753, 0.0006494684, 0.006864046, 0.0025275098, 0.015809499]"
9486,They Live,screenwriter,John Carpenter,2466170,533,2912281,[],"[""John Howard Carpenter""]",http://www.wikidata.org/entity/Q72909,http://www.wikidata.org/entity/Q95008,They Live,John Carpenter,90266,487945,Who was the screenwriter for They Live?,"[""John Carpenter"", ""John Howard Carpenter""]","['Who was the screenwriter for They Live?', 'Who wrote the screenplay for They Live?', 'Who was the scribe of the screenplay in They Live?', ""Who took on the role of crafting They Live's script?"", 'Who was responsible for composing the screenplay of They Live?', 'Who was the wordsmith behind the screenplay of They Live?', 'Who penned the script for They Live?', 'Who authored the screenplay of They Live?', ""Who was the primary influencer in shaping They Live's screenplay composition?"", ""Who scripted They Live's story?""]",578211,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.7668815497399472, 0.4639414305086023, 0.5170024870623878, 0.7068234042002159, 0.4197840633849923, 0.6587671040384656, 0.223313163727369, 0.3602460437103484, 0.4915493666603906, 0.5885619173363779]","[1.8351577e-05, 0.08911092, 0.040435147, 0.0008864339, 0.012362326, 1.0761494e-05, 0.004042635, 0.03260535, 0.0015165131, 8.496906e-05]"
8581,Halloween,screenwriter,Rob Zombie,2881543,533,984575,"[""Halloween 9""]","[""Robert Bartleh Cummings"",""Rob Straker""]",http://www.wikidata.org/entity/Q909063,http://www.wikidata.org/entity/Q298255,Halloween (2007 film),Rob Zombie,318299,256783,Who was the screenwriter for Halloween?,"[""Rob Zombie"", ""Robert Bartleh Cummings"", ""Rob Straker"", ""John Carpenter"", ""John Howard Carpenter""]","['Who was the screenwriter for Halloween?', 'Who wrote the screenplay for Halloween?', 'Who was the scribe of the screenplay in Halloween?', ""Who took on the role of crafting Halloween's script?"", 'Who was responsible for composing the screenplay of Halloween?', 'Who was the wordsmith behind the screenplay of Halloween?', 'Who penned the script for Halloween?', 'Who authored the screenplay of Halloween?', ""Who was the primary influencer in shaping Halloween's screenplay composition?"", ""Who scripted Halloween's story?""]",575082,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.3351670635109353, 0.4577276217191619, 0.6051022839652512, 0.2407984992957706, 0.5434810321472674, 0.3918330502421142, 0.4816408997592566, 0.35413747335074897, 0.5893092060693769, 0.33534466371396904]","[0.07037737, 0.016252782, 5.9200956e-06, 0.042162996, 0.028350007, 0.09865785, 0.0480382, 0.036029346, 0.008951742, 0.21893223]"
9142,The Brave,screenwriter,Johnny Depp,1372822,533,1197167,"[""Brave""]","[""John Christopher \""Johnny\"" Depp II"",""John Christopher Depp II"",""John Christopher Depp""]",http://www.wikidata.org/entity/Q466243,http://www.wikidata.org/entity/Q37175,The Brave (film),Johnny Depp,5169,519893,Who was the screenwriter for The Brave?,"[""Johnny Depp"", ""John Christopher \""Johnny\"" Depp II"", ""John Christopher Depp II"", ""John Christopher Depp""]","['Who was the screenwriter for The Brave?', 'Who wrote the screenplay for The Brave?', 'Who was the scribe of the screenplay in The Brave?', ""Who took on the role of crafting The Brave's script?"", 'Who was responsible for composing the screenplay of The Brave?', 'Who was the wordsmith behind the screenplay of The Brave?', 'Who penned the script for The Brave?', 'Who authored the screenplay of The Brave?', ""Who was the primary influencer in shaping The Brave's screenplay composition?"", ""Who scripted The Brave's story?""]",525062,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.17461245091096353, 0.4450333264061973, 0.38682811837775777, 0.7421103102350768, 0.6106542147198584, 0.44026698524292074, 0.6851899701917892, 0.45540647468824935, 0.4555267163176139, 0.4130321502075103]","[0.110484436, 0.00017554025, 0.009820489, 0.00050237833, 0.052269544, 5.410974e-05, 0.0067117005, 0.0003409829, 0.0023119366, 5.005579e-05]"
9720,The Town,screenwriter,Ben Affleck,2448274,533,1472322,"[""Town""]","[""Benjami G\u00e9za Affleck"",""Benjamin G\u00e9za Affleck-Boldt"",""Benjami Geza Affleck"",""Benjamin Geza Affleck-Boldt""]",http://www.wikidata.org/entity/Q725539,http://www.wikidata.org/entity/Q483118,The Town (2010 film),Ben Affleck,63230,461302,Who was the screenwriter for The Town?,"[""Ben Affleck"", ""Benjami Géza Affleck"", ""Benjamin Géza Affleck-Boldt"", ""Benjami Geza Affleck"", ""Benjamin Geza Affleck-Boldt""]","['Who was the screenwriter for The Town?', 'Who wrote the screenplay for The Town?', 'Who was the scribe of the screenplay in The Town?', ""Who took on the role of crafting The Town's script?"", 'Who was responsible for composing the screenplay of The Town?', 'Who was the wordsmith behind the screenplay of The Town?', 'Who penned the script for The Town?', 'Who authored the screenplay of The Town?', ""Who was the primary influencer in shaping The Town's screenplay composition?"", ""Who scripted The Town's story?""]",524532,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,"[0, 0.5714285714285715, 0, 0.8, 0.4444444444444445, 0, 0.4444444444444445, 0.8, 0.5, 0.4444444444444445]","[0.6105406101046574, 0.4091664467987658, 0.4876968305098039, 0.21579376227676417, 0.28553528995634625, 0.388370704642409, 0.07125962189864096, 0.2129094117462582, 0.3405443978813707, 0.33554579159699605]","[0.01714231, 0.00012977963, 0.020443805, 0.00792216, 0.20481506, 0.11915243, 0.013744998, 0.004023548, 0.13944753, 0.1661216]"
